cve,descrip
1,Vendió o hizo algún producto para su venta
2,"Prestó algún servicio a cambio de un pago (cortar cabello, dar clases, lavar o planchar ropa ajena)"
3,Ayudó trabajando en las tierras o en el negocio de un familiar u otra persona
4,"Entonces, no trabajó"
