cve,descrip
1,No le interesa comprar
2,"Prefiere invertir en su persona (viajes, estudios, negocio)"
3,La mensualidad es menor que una hipoteca
4,"Por facilidad de poder mudarse, si cambia de ciudad o empleo"
5,No tiene acceso a crédito (hipotecario o bancario) / No tiene recursos
6,Otro (ESPECIFIQUE)
9,No sabe
