cve,descrip
1,"Hasta $150,000"
2,"De $151,000 a $350,000"
3,"De $351,000 a $700,000"
4,"De $701,000 a $1,100,000"
5,"De $1,101,000 a $3,000,000"
6,"Más de $3,000,000"
9,No sabe
