cve,descrip
1,Por inversión
2,Para aprovechar un crédito
3,"Para cambiar las características de la vivienda (tamaño, dimensión o tipo)"
4,Por las vías de acceso y cercanía a servicios
5,"Por motivos personales (independizarse, creció en ese lugar, cercanía a familia, etcétera)"
6,Por seguridad de la zona
7,"Para cambiarse a un mejor entorno (vecinos, medio ambiente)"
8,Para reducir los costos de la vivienda o servicios
9,Para uso vacacional
10,Otro (ESPECIFIQUE)
