"","vid","P4_4","P4_5","P4_6","P4_7_1","P4_7_2","P4_7_3","P4_8_1","P4_8_2","P4_8_3","P4_8_4","p2distance.3","strata.DH_2020...stratumID..."
"1","1_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"2","1_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"3","1_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"4","1_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"5","1_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"6","2_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"7","2_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"8","2_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"9","3_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"10","3_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"11","3_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"12","3_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"13","3_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"14","4_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"15","4_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"16","4_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"17","4_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"18","4_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"19","5_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"20","5_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"21","5_3",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"22","5_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"23","5_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"24","6_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"25","6_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"26","6_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"27","6_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"28","6_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"29","7_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"30","7_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"31","7_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"32","7_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"33","7_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"34","8_1",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"35","8_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"36","8_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"37","8_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"38","9_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"39","9_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"40","9_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"41","9_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"42","9_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"43","10_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"44","10_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"45","10_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"46","10_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"47","10_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"48","11_1",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"49","11_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"50","11_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"51","11_5",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"52","12_1",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"53","12_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"54","12_4",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"55","12_5",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"56","13_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"57","13_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"58","13_3",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"59","13_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"60","13_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"61","14_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"62","14_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"63","14_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"64","14_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"65","14_5",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"66","15_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"67","15_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"68","15_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"69","15_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"70","15_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"71","16_1",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"72","16_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"73","16_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"74","16_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"75","16_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"76","17_1",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"77","17_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"78","17_3",7,10,3,1,1,1,1,1,1,1,14.4433913736174,"Baja"
"79","18_1",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"80","18_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"81","18_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"82","18_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"83","19_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"84","19_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"85","19_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"86","19_4",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"87","19_5",8,10,3,2,2,2,2,2,2,2,44.4344150514134,"Muy Alta"
"88","20_1",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"89","20_2",8,10,2,2,2,2,2,2,2,2,42.6299642188157,"Muy Alta"
"90","20_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"91","20_4",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"92","20_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"93","21_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"94","21_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"95","21_4",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"96","21_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"97","22_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"98","22_2",7,10,3,1,1,1,1,1,1,1,14.4433913736174,"Baja"
"99","22_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"100","22_4",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"101","22_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"102","23_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"103","23_2",8,10,3,2,2,2,2,2,2,2,44.4344150514134,"Muy Alta"
"104","23_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"105","23_4",8,10,3,2,2,2,2,2,2,2,44.4344150514134,"Muy Alta"
"106","23_5",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"107","24_1",8,10,3,2,2,2,2,2,2,2,44.4344150514134,"Muy Alta"
"108","24_2",8,10,3,2,2,2,2,2,2,2,44.4344150514134,"Muy Alta"
"109","24_3",8,10,3,3,1,1,2,2,2,2,39.2615168585232,"Muy Alta"
"110","24_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"111","24_5",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"112","25_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"113","25_3",7,10,2,1,1,1,1,1,1,1,12.6389405410196,"Baja"
"114","25_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"115","26_1",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"116","26_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"117","26_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"118","27_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"119","27_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"120","27_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"121","27_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"122","27_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"123","28_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"124","28_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"125","28_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"126","28_4",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"127","28_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"128","29_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"129","29_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"130","29_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"131","29_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"132","30_1",8,10,3,3,1,1,1,1,1,1,19.3181581773161,"Alta"
"133","30_2",8,10,3,1,1,1,2,2,2,2,35.7301111653742,"Muy Alta"
"134","30_3",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"135","30_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"136","30_5",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"137","31_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"138","31_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"139","31_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"140","32_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"141","32_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"142","32_5",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"143","33_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"144","33_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"145","33_3",7,10,3,1,3,1,1,1,1,1,20.9155271910577,"Alta"
"146","33_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"147","33_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"148","34_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"149","34_2",8,10,3,3,3,3,1,1,1,1,33.1953602562456,"Muy Alta"
"150","34_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"151","34_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"152","35_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"153","35_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"154","35_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"155","35_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"156","35_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"157","36_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"158","36_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"159","36_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"160","36_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"161","36_5",8,10,3,1,1,1,1,3,1,1,29.1870265445245,"Alta"
"162","37_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"163","37_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"164","37_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"165","37_5",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"166","38_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"167","38_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"168","38_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"169","39_1",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"170","39_2",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"171","39_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"172","39_4",8,10,3,3,1,1,1,1,1,1,19.3181581773161,"Alta"
"173","39_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"174","40_1",7,10,2,1,1,1,1,1,1,1,12.6389405410196,"Baja"
"175","40_2",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"176","40_3",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"177","40_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"178","40_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"179","41_1",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"180","41_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"181","41_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"182","41_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"183","41_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"184","42_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"185","42_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"186","42_3",8,10,3,3,1,1,1,1,1,1,19.3181581773161,"Alta"
"187","42_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"188","42_5",8,10,3,1,3,1,1,1,1,1,22.2588883016075,"Alta"
"189","43_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"190","43_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"191","43_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"192","43_4",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"193","44_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"194","44_2",8,10,3,3,3,3,1,3,3,1,53.9945858306662,"Muy Alta"
"195","44_4",8,10,3,3,3,3,1,1,1,1,33.1953602562456,"Muy Alta"
"196","45_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"197","45_2",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"198","45_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"199","45_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"200","45_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"201","46_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"202","46_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"203","46_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"204","46_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"205","47_2",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"206","47_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"207","47_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"208","47_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"209","48_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"210","48_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"211","48_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"212","49_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"213","49_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"214","49_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"215","49_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"216","49_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"217","50_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"218","50_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"219","50_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"220","50_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"221","51_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"222","51_2",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"223","51_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"224","51_4",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"225","51_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"226","52_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"227","52_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"228","52_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"229","52_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"230","53_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"231","53_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"232","53_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"233","53_4",8,10,1,1,1,1,1,1,1,1,12.1778508189717,"Baja"
"234","53_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"235","54_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"236","54_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"237","54_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"238","54_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"239","54_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"240","55_1",8,3,2,1,1,1,1,1,1,1,11.824494838696,"Baja"
"241","55_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"242","55_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"243","55_5",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"244","56_1",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"245","56_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"246","56_3",8,3,2,1,1,1,1,1,1,1,11.824494838696,"Baja"
"247","56_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"248","57_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"249","57_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"250","57_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"251","57_5",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"252","58_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"253","58_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"254","58_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"255","58_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"256","59_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"257","59_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"258","59_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"259","59_4",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"260","59_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"261","60_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"262","60_2",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"263","60_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"264","60_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"265","60_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"266","61_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"267","61_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"268","61_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"269","61_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"270","61_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"271","62_2",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"272","62_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"273","62_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"274","63_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"275","63_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"276","63_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"277","63_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"278","63_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"279","64_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"280","64_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"281","64_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"282","64_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"283","64_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"284","65_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"285","65_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"286","65_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"287","65_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"288","65_5",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"289","66_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"290","66_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"291","66_3",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"292","66_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"293","66_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"294","67_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"295","67_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"296","67_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"297","67_5",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"298","68_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"299","68_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"300","68_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"301","68_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"302","68_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"303","69_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"304","69_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"305","69_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"306","69_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"307","69_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"308","70_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"309","70_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"310","70_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"311","71_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"312","71_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"313","71_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"314","71_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"315","71_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"316","72_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"317","72_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"318","72_3",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"319","72_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"320","72_5",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"321","73_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"322","73_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"323","73_3",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"324","73_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"325","73_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"326","74_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"327","74_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"328","74_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"329","75_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"330","75_2",8,10,3,1,1,3,1,1,1,1,23.1918187456564,"Alta"
"331","75_3",8,10,3,3,1,1,1,1,1,1,19.3181581773161,"Alta"
"332","75_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"333","76_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"334","76_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"335","76_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"336","76_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"337","76_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"338","77_1",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"339","77_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"340","77_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"341","77_4",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"342","77_5",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"343","78_1",8,10,2,1,1,1,1,1,1,1,13.9823016515695,"Baja"
"344","78_2",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
"345","78_3",8,10,3,1,1,1,1,1,1,1,15.7867524841672,"Media"
