"","vid","P6_5_1","P6_5_2","P6_5_3","P6_5_4","P6_5_5","P6_5_6","P6_9_2","P6_9_3","P6_9_4","P6_9_5","P6_9_6","P6_9_7","p2distance.3","estratos...stratumID..."
"32314","5065_16",4,4,4,4,4,4,1,4,4,4,2,2,21.29249349557,"Alta"
"32315","5065_17",1,2,4,4,4,4,4,4,4,4,4,3,21.5418214892635,"Alta"
"32316","5065_18",4,4,4,4,4,4,4,4,4,4,4,3,25.4303673933309,"Muy Alta"
"32317","5065_19",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"32318","5065_20",1,1,4,4,4,4,4,3,4,4,3,2,18.6306527176349,"Alta"
"32319","5066_1",4,4,4,4,4,4,3,3,3,3,3,3,21.4906215316264,"Alta"
"32320","5066_2",4,4,4,4,4,4,2,2,4,3,4,4,22.1271496139476,"Muy Alta"
"32321","5066_3",4,4,4,4,4,4,2,2,2,2,1,1,15.7853474764441,"Media"
"32322","5066_4",4,4,4,4,4,4,2,2,2,2,2,2,17.060180575083,"Media"
"32323","5066_5",4,4,4,4,4,4,2,2,2,2,2,2,17.060180575083,"Media"
"32324","5066_6",4,4,4,4,3,3,3,4,3,4,4,4,23.2022750551495,"Muy Alta"
"32325","5066_7",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"32326","5066_8",1,4,4,3,2,2,2,4,4,2,4,3,17.4545305679903,"Media"
"32327","5066_10",4,4,4,4,3,4,4,4,4,4,4,4,25.2187228215914,"Muy Alta"
"32328","5066_11",4,4,4,4,2,4,4,3,3,4,3,4,22.0300490700677,"Alta"
"32329","5066_13",4,4,3,3,4,4,4,4,4,4,4,4,24.425578060784,"Muy Alta"
"32330","5066_14",4,4,3,4,4,4,4,3,3,4,3,1,20.9779829001434,"Alta"
"32331","5066_15",3,2,3,4,4,3,4,3,4,4,4,3,20.797282389561,"Alta"
"32332","5066_16",4,4,4,4,4,4,4,4,4,2,3,1,22.1439508432162,"Muy Alta"
"32333","5066_17",4,4,4,4,4,4,1,3,4,4,4,4,23.0183929433365,"Muy Alta"
