"","vid","P6_5_1","P6_5_2","P6_5_3","P6_5_4","P6_5_5","P6_5_6","P6_9_2","P6_9_3","P6_9_4","P6_9_5","P6_9_6","P6_9_7","p2distance.3","estratos...stratumID..."
"1","1_1",4,4,4,4,4,3,4,1,1,4,4,1,18.89733812385,"Alta"
"2","1_2",2,4,4,4,4,2,4,4,1,4,4,1,19.4146488312764,"Alta"
"3","1_3",4,4,4,4,4,4,4,4,4,4,4,2,24.939672298492,"Muy Alta"
"4","1_4",3,4,3,4,4,4,2,4,4,4,4,4,22.795997720354,"Muy Alta"
"5","1_5",3,4,4,4,4,4,4,4,4,4,4,2,24.185202946122,"Muy Alta"
"6","2_1",4,4,4,4,4,4,3,4,3,4,3,2,22.5841373646172,"Muy Alta"
"7","2_2",4,4,1,1,4,1,4,4,4,4,4,1,18.6273714123946,"Alta"
"8","2_4",4,4,4,4,4,4,3,4,4,4,4,4,25.2280948897291,"Muy Alta"
"9","3_1",4,4,4,4,4,3,1,2,1,4,4,1,17.6422020780391,"Media"
"10","3_2",4,4,4,4,4,4,4,4,4,4,4,1,24.4489772036532,"Muy Alta"
"11","3_3",4,4,4,4,4,4,1,3,1,3,3,1,17.3664374817989,"Media"
"12","3_4",4,4,2,4,4,3,3,4,4,4,4,4,22.8137236162332,"Muy Alta"
"13","3_5",4,4,4,4,4,4,1,1,4,1,4,4,19.0895269093588,"Alta"
"14","4_1",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"15","4_2",4,4,4,4,4,4,1,4,4,4,4,3,23.3514645980089,"Muy Alta"
"16","4_3",4,4,4,4,4,4,3,2,2,2,3,3,19.0279812721625,"Alta"
"17","4_4",1,3,4,4,4,4,3,3,4,4,4,3,20.8376560647903,"Alta"
"18","4_5",4,4,4,4,4,4,1,3,3,3,3,3,20.104686334745,"Alta"
"19","5_1",4,4,4,4,2,1,2,4,4,4,1,4,19.4428814376305,"Alta"
"20","5_2",4,4,4,4,4,4,1,4,4,4,1,3,20.9990505866088,"Alta"
"21","5_3",1,1,4,4,1,1,1,2,3,4,4,1,11.7008252412924,"Baja"
"22","5_4",2,4,4,4,4,4,4,4,4,4,4,4,24.4121237834297,"Muy Alta"
"23","5_5",4,4,4,4,4,4,2,4,4,4,4,4,24.5351272912884,"Muy Alta"
"24","6_1",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"25","6_2",4,2,3,3,3,3,1,1,4,4,2,4,15.5345706594257,"Media"
"26","6_3",4,4,4,4,4,4,2,4,4,4,3,2,22.7695990978107,"Muy Alta"
"27","6_4",4,4,4,4,4,4,4,2,4,4,1,1,20.4490296932308,"Alta"
"28","6_5",3,4,1,3,3,3,4,1,1,4,1,1,11.623310228987,"Baja"
"29","7_1",3,4,4,4,4,4,2,2,4,4,4,4,22.133124439896,"Muy Alta"
"30","7_2",1,4,4,4,4,4,2,4,4,4,1,1,18.4472199382616,"Alta"
"31","7_3",4,4,4,4,4,4,2,3,3,3,4,3,21.5817919369857,"Alta"
"32","7_4",4,2,2,3,4,1,4,4,4,4,4,4,20.4806274861611,"Alta"
"33","7_5",4,4,4,3,3,3,1,3,3,3,2,4,18.153028714017,"Media"
"34","8_1",2,2,4,4,4,4,4,4,4,4,4,4,22.7869859364724,"Muy Alta"
"35","8_3",1,3,4,4,4,4,1,3,3,3,3,1,16.0473191644785,"Media"
"36","8_4",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"37","8_5",2,2,2,2,2,1,3,3,1,3,2,3,10.0847476158312,"Muy baja"
"38","9_1",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"39","9_2",4,2,3,4,4,3,1,4,4,4,3,4,20.003172787159,"Alta"
"40","9_3",4,4,3,4,3,4,2,4,4,4,1,1,19.023628110229,"Alta"
"41","9_4",4,4,3,4,4,4,1,2,4,4,2,3,19.1509948728221,"Alta"
"42","9_5",4,4,3,4,4,4,4,4,4,4,1,4,22.5839882582053,"Muy Alta"
"43","10_1",4,4,4,4,4,4,4,4,4,4,3,3,24.6462293895309,"Muy Alta"
"44","10_2",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"45","10_3",1,4,4,4,4,4,3,4,4,4,3,3,21.6898537339801,"Alta"
"46","10_4",4,4,3,4,4,4,4,4,4,4,2,1,21.8960409774888,"Alta"
"47","10_5",4,4,4,4,4,4,3,4,4,4,4,2,24.2467047000514,"Muy Alta"
"48","11_1",4,4,4,4,4,4,4,1,1,1,1,1,14.7086424138616,"Baja"
"49","11_2",4,4,4,4,4,4,1,4,3,4,3,2,21.1982021677358,"Alta"
"50","11_4",4,4,4,4,4,4,1,3,3,4,1,3,19.2968545054634,"Alta"
"51","11_5",4,4,4,4,4,4,1,2,4,4,1,1,18.3701268979087,"Media"
"52","12_1",4,4,4,4,4,4,1,3,3,2,1,1,16.7945759591488,"Media"
"53","12_3",4,4,4,4,4,2,4,4,4,4,4,4,25.0309608154356,"Muy Alta"
"54","12_4",4,4,4,4,4,4,1,3,4,4,1,4,20.6659789319365,"Alta"
"55","12_5",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"56","13_1",2,2,2,4,4,4,1,2,4,3,2,4,14.7625090190808,"Media"
"57","13_2",4,4,4,4,4,4,1,1,2,1,2,1,14.2923069539738,"Baja"
"58","13_3",3,4,4,4,4,4,4,4,4,4,2,3,23.1076220333608,"Muy Alta"
"59","13_4",4,4,4,4,4,4,4,2,4,1,2,4,20.423920446592,"Alta"
"60","13_5",3,4,4,4,4,4,2,3,3,4,3,3,20.8036287591341,"Alta"
"61","14_1",4,4,1,4,4,3,2,2,3,2,2,4,15.5209686043347,"Media"
"62","14_2",4,4,4,4,4,4,3,4,3,3,3,3,22.3143882811375,"Muy Alta"
"63","14_3",4,4,4,4,4,4,4,3,4,4,1,2,21.7634915375808,"Alta"
"64","14_4",2,4,4,4,4,4,3,3,3,3,4,4,21.2565159255252,"Alta"
"65","14_5",4,4,4,4,4,4,3,1,4,3,2,3,19.9373793604382,"Alta"
"66","15_1",4,4,4,4,4,4,1,1,4,1,1,1,15.2650276134422,"Media"
"67","15_2",4,4,4,4,4,4,2,3,4,2,2,2,19.6408059878625,"Alta"
"68","15_3",1,4,2,4,4,4,1,2,4,2,2,2,13.8913431456718,"Baja"
"69","15_4",4,4,4,4,4,4,4,2,2,1,4,4,20.2353377909236,"Alta"
"70","15_5",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"71","16_1",2,4,4,4,4,4,2,1,1,1,2,4,14.0699918005568,"Baja"
"72","16_2",4,4,4,4,4,4,3,2,3,2,3,3,19.9064106037967,"Alta"
"73","16_3",3,3,3,3,3,3,1,4,3,1,1,1,12.6479853241616,"Baja"
"74","16_4",4,4,4,4,4,4,1,4,4,4,4,4,23.8421596928477,"Muy Alta"
"75","16_5",4,4,4,4,4,4,2,4,4,1,1,1,18.4292954604164,"Media"
"76","17_1",4,4,4,4,4,4,1,1,2,1,1,1,13.5081689501738,"Baja"
"77","17_2",3,3,3,2,1,3,1,1,1,1,3,3,9.05398906765939,"Muy baja"
"78","17_3",4,4,4,4,4,4,2,1,4,4,4,4,22.0638270427549,"Alta"
"79","18_1",4,4,4,4,4,4,1,1,1,3,3,2,16.2095990776154,"Media"
"80","18_2",4,4,4,4,4,4,2,4,4,4,4,1,23.0630420067718,"Muy Alta"
"81","18_4",4,4,4,4,4,4,4,4,4,3,4,4,25.1606183098513,"Muy Alta"
"82","18_5",4,4,4,4,4,4,4,3,4,4,4,4,25.0972957386586,"Muy Alta"
"83","19_1",4,4,4,4,4,4,4,2,3,4,4,4,23.3950996575132,"Muy Alta"
"84","19_2",4,4,4,4,3,4,3,3,4,4,4,4,23.7019884736396,"Muy Alta"
"85","19_3",4,4,3,4,4,4,2,3,4,2,2,2,18.6561457692981,"Alta"
"86","19_4",4,4,4,4,4,4,4,4,3,4,4,3,24.5519380616967,"Muy Alta"
"87","19_5",3,4,3,3,3,3,1,3,3,3,3,3,16.7073420520438,"Media"
"88","20_1",4,2,4,2,2,1,1,1,3,3,3,1,12.089144539187,"Baja"
"89","20_2",4,4,4,1,2,1,4,3,4,4,1,2,17.4911870688587,"Media"
"90","20_3",4,4,4,3,4,4,1,4,2,4,3,1,19.3182535324413,"Alta"
"91","20_4",4,4,4,4,4,4,1,3,4,3,1,1,18.4334494691014,"Alta"
"92","20_5",4,4,4,3,2,2,2,2,4,2,3,2,16.7955720274392,"Media"
"93","21_1",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"94","21_3",4,4,4,4,4,4,3,4,3,3,4,3,23.0985262849376,"Muy Alta"
"95","21_4",2,4,4,4,4,1,4,4,4,4,4,3,22.5862761794896,"Muy Alta"
"96","21_5",4,3,3,2,3,3,1,2,2,3,4,4,15.7110552896073,"Media"
"97","22_1",4,4,4,4,4,3,4,4,4,4,3,3,24.2011785531638,"Muy Alta"
"98","22_2",4,4,4,4,4,4,1,3,4,4,3,1,20.7621696550199,"Alta"
"99","22_3",2,4,4,3,4,3,4,3,4,4,4,4,22.63248198873,"Muy Alta"
"100","22_4",4,4,4,3,4,2,1,4,4,4,4,1,20.9691485267756,"Alta"
"101","22_5",4,3,4,4,4,3,4,4,4,4,2,2,22.1137765310463,"Alta"
"102","23_1",4,4,4,4,4,4,2,4,4,4,4,2,23.5537371016107,"Muy Alta"
"103","23_2",4,4,4,4,4,4,2,3,4,2,4,2,21.2090819954626,"Alta"
"104","23_3",4,4,4,4,4,4,2,4,4,4,4,4,24.5351272912884,"Muy Alta"
"105","23_4",4,3,4,3,3,2,3,4,3,3,1,1,16.8488876122473,"Media"
"106","23_5",4,4,4,4,4,4,3,4,4,4,4,4,25.2280948897291,"Muy Alta"
"107","24_1",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"108","24_2",4,4,3,3,2,2,3,4,4,1,4,2,18.1751067318194,"Media"
"109","24_3",4,4,4,4,4,4,3,4,4,4,4,4,25.2280948897291,"Muy Alta"
"110","24_4",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"111","24_5",3,4,4,4,3,4,2,4,2,2,2,2,17.250905055157,"Media"
"112","25_2",4,4,4,4,3,4,4,3,3,3,3,4,21.9719445583276,"Alta"
"113","25_3",4,2,2,3,3,4,1,3,2,2,1,4,12.5806097525454,"Baja"
"114","25_4",4,3,3,3,3,4,1,1,1,2,3,4,13.4201520715319,"Baja"
"115","26_1",3,4,2,3,1,1,4,1,4,4,3,4,15.9888387286798,"Media"
"116","26_3",4,4,3,4,4,4,1,4,2,4,4,4,21.100640811015,"Alta"
"117","26_4",3,3,2,4,3,3,1,2,2,2,3,3,12.9582968593583,"Baja"
"118","27_1",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"119","27_2",4,4,4,4,4,4,2,2,3,2,3,3,19.213443005356,"Alta"
"120","27_3",4,4,4,4,4,4,2,2,2,2,2,1,16.5694854802441,"Media"
"121","27_4",4,4,4,4,4,4,4,4,2,2,2,2,20.0936492709867,"Alta"
"122","27_5",4,1,1,4,4,4,1,2,4,2,4,1,13.8099651265428,"Baja"
"123","28_1",4,3,1,4,3,3,1,1,1,4,3,2,12.0561031738167,"Baja"
"124","28_2",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"125","28_3",3,4,4,4,4,4,1,4,4,4,4,3,22.5969952456388,"Muy Alta"
"126","28_4",4,1,1,4,1,1,2,2,4,2,2,2,9.98318030338615,"Muy baja"
"127","28_5",4,4,4,4,4,4,4,4,4,4,2,4,24.3527864805697,"Muy Alta"
"128","29_1",4,4,4,3,3,3,2,4,4,4,4,4,22.8769125795216,"Muy Alta"
"129","29_2",4,4,4,4,4,3,4,4,4,4,2,2,22.9263454545249,"Muy Alta"
"130","29_4",4,4,4,3,3,3,4,4,4,2,4,4,22.741959419766,"Muy Alta"
"131","29_5",4,4,4,4,4,4,1,4,4,4,4,1,22.3700744083311,"Muy Alta"
"132","30_1",4,3,3,3,4,3,1,2,4,2,2,1,14.8802723578403,"Media"
"133","30_2",4,4,3,3,3,3,2,1,4,2,2,2,15.350397558509,"Media"
"134","30_3",4,4,4,4,4,4,1,3,4,2,3,4,20.7133665828996,"Alta"
"135","30_4",4,4,3,4,4,3,3,4,4,3,2,2,20.4882734592014,"Alta"
"136","30_5",4,4,3,3,2,2,1,2,3,3,3,3,15.4906541519572,"Media"
"137","31_3",4,4,4,4,4,4,4,4,4,3,4,3,24.6699232150124,"Muy Alta"
"138","31_4",4,3,3,3,3,3,4,4,4,4,2,2,19.9159524370822,"Alta"
"139","31_5",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"140","32_1",4,4,4,4,4,4,4,4,4,4,3,4,25.1369244843697,"Muy Alta"
"141","32_4",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"142","32_5",4,4,3,4,4,3,2,1,4,4,1,1,16.8096166919068,"Media"
"143","33_1",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"144","33_2",3,4,4,4,4,4,2,4,4,4,2,3,21.7216868364795,"Alta"
"145","33_3",1,3,3,4,4,4,1,3,4,2,2,1,14.3965060954299,"Baja"
"146","33_4",4,4,3,4,4,4,4,4,4,4,4,3,24.4457071747665,"Muy Alta"
"147","33_5",4,4,4,4,4,4,1,1,2,4,1,2,16.280196579968,"Media"
"148","34_1",4,3,3,3,3,3,2,2,3,4,4,3,18.0630255119832,"Media"
"149","34_2",4,4,4,3,3,3,3,2,4,4,4,4,21.9223466789399,"Alta"
"150","34_3",4,4,4,4,4,4,4,2,4,4,2,4,22.7052529815474,"Muy Alta"
"151","34_4",4,4,4,4,4,4,4,4,4,4,4,3,25.4303673933309,"Muy Alta"
"152","35_1",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"153","35_2",4,4,4,4,4,4,1,3,4,4,2,2,20.4687267460588,"Alta"
"154","35_3",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"155","35_4",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"156","35_5",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"157","36_1",4,4,3,3,3,4,1,4,3,3,4,3,19.5147669940921,"Alta"
"158","36_2",3,4,3,3,2,4,4,4,4,2,4,2,19.7641508289426,"Alta"
"159","36_3",4,4,3,4,4,4,3,4,4,4,4,3,23.7527395763258,"Muy Alta"
"160","36_4",4,4,4,4,3,4,4,4,4,4,1,1,21.3942235256748,"Alta"
"161","36_5",3,4,3,3,2,3,1,4,4,4,2,2,17.1928095462904,"Media"
"162","37_1",4,4,4,2,1,1,4,4,4,4,4,4,21.4572425616907,"Alta"
"163","37_3",4,4,4,4,3,3,4,4,4,4,4,2,23.7922817955466,"Muy Alta"
"164","37_4",4,4,4,4,4,4,3,3,4,4,3,3,23.129495041579,"Muy Alta"
"165","37_5",3,4,4,3,1,2,3,4,4,4,3,3,19.6908475574296,"Alta"
"166","38_1",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"167","38_4",3,4,4,3,4,3,2,3,3,3,3,3,19.0873095356272,"Alta"
"168","38_5",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"169","39_1",2,3,4,3,2,1,4,4,4,4,4,4,20.3488988088718,"Alta"
"170","39_2",3,3,3,2,3,2,4,4,4,4,3,3,19.4804411381625,"Alta"
"171","39_3",4,4,4,4,4,4,2,1,2,4,2,2,17.7573021822087,"Media"
"172","39_4",4,4,4,4,4,4,2,4,4,4,4,4,24.5351272912884,"Muy Alta"
"173","39_5",4,4,4,3,4,3,1,4,4,4,4,4,22.8862846476592,"Muy Alta"
"174","40_1",3,4,3,4,1,3,4,4,4,4,1,4,19.2774490697332,"Alta"
"175","40_2",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"176","40_3",4,4,4,4,4,3,1,2,4,4,1,2,18.4157711563805,"Media"
"177","40_4",3,3,3,3,3,3,2,2,2,2,1,1,11.5754342702642,"Baja"
"178","40_5",4,4,4,4,4,4,3,4,4,3,3,4,23.6835127076106,"Muy Alta"
"179","41_1",2,3,3,3,3,3,2,2,4,4,4,1,16.4511259491995,"Media"
"180","41_2",4,4,4,4,4,4,4,3,4,4,4,2,24.1159055489809,"Muy Alta"
"181","41_3",4,4,4,4,4,4,1,2,4,3,2,1,18.3938207233903,"Media"
"182","41_4",4,4,4,4,4,4,4,2,4,4,4,3,23.7828338943085,"Muy Alta"
"183","41_5",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"184","42_1",4,3,4,3,3,3,2,1,4,4,4,2,18.6116532178317,"Alta"
"185","42_2",4,4,4,4,4,4,3,3,3,3,3,3,21.4906215316264,"Alta"
"186","42_3",4,3,3,3,3,3,1,1,4,4,1,4,15.5630015791043,"Media"
"187","42_4",4,4,4,4,4,4,1,1,4,2,2,1,16.8096097955606,"Media"
"188","42_5",4,4,4,4,4,4,2,2,4,4,3,2,21.1220655987883,"Alta"
"189","43_1",3,4,4,4,4,4,4,4,4,4,2,2,22.616926938522,"Muy Alta"
"190","43_2",3,3,4,4,4,4,1,3,3,3,1,1,15.9879818616186,"Media"
"191","43_3",3,3,4,4,4,4,2,2,4,4,3,1,19.0643322281008,"Alta"
"192","43_4",4,4,4,4,4,4,4,3,4,4,4,3,24.6066006438197,"Muy Alta"
"193","44_1",4,4,4,4,4,4,4,4,4,4,4,2,24.939672298492,"Muy Alta"
"194","44_2",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"195","44_4",4,4,4,4,4,4,4,4,3,4,4,4,25.0426331565356,"Muy Alta"
"196","45_1",4,4,4,4,4,4,3,4,4,4,3,2,23.4625666962513,"Muy Alta"
"197","45_2",4,4,4,4,4,4,2,3,4,4,4,2,22.7299703520995,"Muy Alta"
"198","45_3",4,4,4,4,4,4,3,3,4,4,3,2,22.6387999467402,"Muy Alta"
"199","45_4",3,4,4,4,4,4,3,4,4,4,3,2,22.7080973438813,"Muy Alta"
"200","45_5",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"201","46_1",4,4,2,2,3,2,1,1,4,4,4,4,16.7874492502301,"Media"
"202","46_2",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"203","46_3",2,4,4,4,2,2,3,4,4,4,4,4,21.4243751790982,"Alta"
"204","46_4",4,4,4,4,1,1,4,1,4,4,4,4,20.0075907308,"Alta"
"205","47_2",4,2,1,1,3,1,4,1,4,4,4,4,15.300678934842,"Media"
"206","47_3",4,4,1,3,4,1,4,4,4,1,4,3,18.3490774847597,"Media"
"207","47_4",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"208","47_5",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"209","48_1",4,4,4,4,4,1,4,1,4,4,4,4,22.114609730535,"Alta"
"210","48_3",4,4,4,4,2,4,1,1,4,4,4,4,19.9661801111575,"Alta"
"211","48_4",4,1,4,4,4,2,1,4,4,4,4,4,20.5143512496777,"Alta"
"212","49_1",4,2,4,4,4,3,1,4,1,4,4,1,17.6645977301043,"Media"
"213","49_2",4,4,4,4,1,1,1,1,4,1,1,1,11.822856104606,"Baja"
"214","49_3",3,3,1,4,4,4,4,4,4,4,4,4,21.4000435566279,"Alta"
"215","49_4",4,3,4,4,4,4,1,1,4,4,1,1,16.7337912249189,"Media"
"216","49_5",4,3,3,3,3,2,2,4,2,2,2,2,14.8072193839285,"Media"
"217","50_1",3,3,4,4,4,2,4,3,3,2,2,2,17.6911719045269,"Media"
"218","50_3",4,4,4,4,4,4,2,1,4,4,1,1,18.2393277468382,"Media"
"219","50_4",3,4,4,4,2,2,1,3,4,3,3,3,17.9338653081184,"Media"
"220","50_5",1,3,3,4,4,4,4,4,1,2,2,2,15.1545827401994,"Media"
"221","51_1",3,4,4,4,4,4,4,4,4,4,4,4,25.1665931357997,"Muy Alta"
"222","51_2",4,4,4,3,4,2,4,4,4,4,3,4,23.7359986028142,"Muy Alta"
"223","51_3",4,4,4,4,4,4,1,2,4,3,2,3,19.375210913068,"Alta"
"224","51_4",3,4,4,4,4,2,3,4,4,4,4,4,23.5835238646249,"Muy Alta"
"225","51_5",4,4,3,3,3,4,3,3,3,3,1,3,17.7245214300622,"Media"
"226","52_2",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"227","52_3",4,4,4,4,4,3,4,3,2,4,4,4,22.8953862390231,"Muy Alta"
"228","52_4",3,4,3,4,4,4,4,4,4,4,3,3,22.9070998185965,"Muy Alta"
"229","52_5",4,4,4,4,4,4,4,4,4,4,4,3,25.4303673933309,"Muy Alta"
"230","53_1",2,4,3,3,4,3,1,3,4,4,3,1,17.312695686527,"Media"
"231","53_2",2,4,3,3,3,3,1,1,4,2,1,1,11.8736581566893,"Baja"
"232","53_3",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"233","53_4",1,1,3,3,3,2,4,2,4,4,2,2,13.9348221976254,"Baja"
"234","53_5",4,4,4,4,4,2,3,3,4,4,4,4,23.5142264674838,"Muy Alta"
"235","54_1",4,4,4,4,3,1,3,3,4,1,3,1,17.8292801412664,"Media"
"236","54_2",4,4,1,2,1,1,4,1,4,4,1,1,12.2074623615474,"Baja"
"237","54_3",4,4,4,4,3,4,4,4,4,4,1,2,21.8849186205137,"Alta"
"238","54_4",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"239","54_5",3,3,3,3,3,3,1,2,4,4,1,1,14.1602136917289,"Baja"
"240","55_1",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"241","55_2",4,4,4,4,4,4,1,1,1,1,1,1,12.6297396185396,"Baja"
"242","55_4",4,4,4,3,4,4,2,2,2,2,2,3,17.0400514611004,"Media"
"243","55_5",4,4,4,4,4,4,2,2,2,2,2,2,17.060180575083,"Media"
"244","56_1",3,4,4,4,4,4,4,4,4,4,4,4,25.1665931357997,"Muy Alta"
"245","56_2",3,3,3,3,3,3,3,1,4,4,1,1,14.722382139099,"Baja"
"246","56_3",2,4,4,4,4,1,4,4,4,4,3,3,21.8021381756896,"Alta"
"247","56_5",4,4,4,4,4,4,2,2,2,2,2,2,17.060180575083,"Media"
"248","57_1",3,4,3,3,3,3,4,4,4,4,4,4,22.5237182054685,"Muy Alta"
"249","57_2",4,4,4,4,4,4,1,1,4,1,1,1,15.2650276134422,"Media"
"250","57_4",3,4,3,3,3,3,4,4,4,4,1,1,18.6992189095519,"Alta"
"251","57_5",1,4,4,4,4,4,4,4,4,4,4,4,23.6576544310596,"Muy Alta"
"252","58_1",1,4,4,4,4,4,4,4,2,4,1,1,18.0762964718746,"Media"
"253","58_2",4,4,4,4,4,3,4,4,4,4,4,4,25.4760116518027,"Muy Alta"
"254","58_3",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"255","58_5",3,4,3,4,3,1,2,3,4,3,3,3,17.8994615182059,"Media"
"256","59_1",4,3,3,4,2,2,4,4,4,4,2,1,18.7886910481193,"Alta"
"257","59_2",3,3,2,4,4,2,4,4,4,4,4,4,21.4946021024582,"Alta"
"258","59_3",4,2,4,4,4,3,4,2,4,4,1,1,18.3788410099065,"Media"
"259","59_4",4,4,4,4,4,4,1,1,4,4,2,2,18.8211932470364,"Alta"
"260","59_5",4,4,4,4,4,4,1,4,4,1,1,1,17.7363278619757,"Media"
"261","60_1",3,4,4,4,4,2,4,4,4,4,3,2,22.5109632695879,"Muy Alta"
"262","60_2",3,3,3,3,3,2,3,3,4,3,3,3,17.7140868207136,"Media"
"263","60_3",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"264","60_4",4,4,4,4,4,3,4,1,4,1,1,1,16.8988795723971,"Media"
"265","60_5",4,4,4,4,4,4,2,2,4,3,1,1,18.3026503180309,"Media"
"266","61_1",4,4,4,4,4,4,3,4,4,4,4,2,24.2467047000514,"Muy Alta"
"267","61_2",1,4,4,4,4,2,4,4,4,4,4,4,22.7675527583255,"Muy Alta"
"268","61_3",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"269","61_4",4,4,4,4,4,4,2,4,4,4,4,4,24.5351272912884,"Muy Alta"
"270","61_5",2,4,4,4,3,1,4,4,4,4,4,4,22.3746316077501,"Muy Alta"
"271","62_2",4,4,4,4,4,4,4,2,4,4,4,4,24.2735289891474,"Muy Alta"
"272","62_3",4,4,4,4,4,4,4,4,1,4,4,3,22.7950793984283,"Muy Alta"
"273","62_5",4,4,4,4,4,4,2,3,4,3,3,2,21.185388169981,"Alta"
"274","63_1",4,4,4,4,4,1,4,4,4,4,4,3,24.0952148842297,"Muy Alta"
"275","63_2",4,4,4,4,4,4,4,2,3,4,4,4,23.3950996575132,"Muy Alta"
"276","63_3",4,4,2,4,2,2,2,2,4,4,1,2,15.2896881481687,"Media"
"277","63_4",4,4,4,4,4,4,2,2,4,4,1,1,19.0630944963494,"Alta"
"278","63_5",4,4,4,4,4,4,3,3,4,3,4,3,23.1531888670606,"Muy Alta"
"279","64_1",4,2,3,2,4,4,1,3,1,3,3,3,14.7163811883122,"Baja"
"280","64_2",3,2,3,2,3,2,3,4,4,3,4,4,18.4892935365637,"Alta"
"281","64_3",4,4,3,3,4,3,2,3,2,3,4,4,19.2535224364375,"Alta"
"282","64_4",4,1,4,4,4,4,4,2,4,3,4,4,21.0753780403931,"Alta"
"283","64_5",4,1,4,4,4,3,4,4,1,4,4,4,20.4030168864643,"Alta"
"284","65_1",1,1,4,4,4,3,4,4,2,2,4,1,16.0250645198348,"Media"
"285","65_2",3,1,3,3,3,4,4,4,4,4,4,4,20.5310622713997,"Alta"
"286","65_3",4,4,3,4,4,4,1,4,1,4,4,1,18.7501261948642,"Alta"
"287","65_4",3,1,3,3,4,2,4,4,4,4,4,4,20.3433002652439,"Alta"
"288","65_5",3,4,3,3,2,2,4,4,4,4,4,4,21.3763277025231,"Alta"
"289","66_1",1,1,4,4,4,4,2,4,4,4,2,2,17.2843462664647,"Media"
"290","66_2",4,3,4,4,3,3,2,3,4,4,1,1,17.9269018194366,"Media"
"291","66_3",1,4,4,4,4,4,4,4,4,4,3,4,22.8735164272596,"Muy Alta"
"292","66_4",4,4,4,4,4,4,1,3,4,4,4,1,21.54630765882,"Alta"
"293","66_5",1,4,4,4,3,4,2,4,4,4,4,3,21.0786844727611,"Alta"
"294","67_1",3,3,3,3,3,3,3,3,3,3,1,1,14.7310421281688,"Baja"
"295","67_2",4,4,4,4,2,2,1,1,4,1,1,1,12.9702466075514,"Baja"
"296","67_3",3,3,3,3,3,3,3,2,4,4,1,1,15.5461488886102,"Media"
"297","67_5",4,4,4,4,4,4,1,1,1,1,1,1,12.6297396185396,"Baja"
"298","68_1",2,4,4,4,4,4,4,4,4,4,1,1,20.587624487513,"Alta"
"299","68_2",4,4,4,4,4,4,1,1,4,2,1,1,16.0254717917606,"Media"
"300","68_3",4,4,2,4,4,3,4,4,4,4,2,3,21.447720112235,"Alta"
"301","68_4",4,4,4,4,4,4,2,4,4,4,3,4,23.7509892874884,"Muy Alta"
"302","68_5",3,4,4,4,4,4,1,1,1,1,1,1,11.8752702661695,"Baja"
