uid,vid,X.U.FEFF.FOLIO,VIV_SEL,HOGAR,C_DENEVI,P3A2_2,P3A2_3,P3A3,P3A4,P3A5,P3A6,P3A7,P3A8_1,P3A8_2,P3A8_3,P3A9,P3A10,P3A11,ENT,TLOC,EST_DIS,UPM_DIS,FACTOR
2586_5_1,2586_5,2586,5,1,1,8,NA,3,4,NA,5,1,1,NA,NA,1,1,NA,9,2,138,2586,1338
2587_1_1,2587_1,2587,1,1,1,1,NA,3,4,NA,5,2,NA,NA,NA,NA,NA,NA,9,2,138,2587,1186
2590_5_1,2590_5,2590,5,1,1,1,NA,1,4,NA,5,1,1,NA,NA,1,2,1,9,3,139,2590,1994
2591_3_1,2591_3,2591,3,1,1,2,NA,3,4,NA,3,1,1,NA,NA,2,1,NA,9,3,139,2591,2058
2591_4_1,2591_4,2591,4,1,1,1,NA,1,3,NA,5,NA,1,NA,NA,1,2,1,9,3,139,2591,2058
2592_1_1,2592_1,2592,1,1,1,1,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,9,3,139,2592,1795
2593_3_1,2593_3,2593,3,1,1,1,NA,4,2,NA,3,NA,4,NA,NA,5,2,3,9,1,136,2593,1611
2593_4_1,2593_4,2593,4,1,1,1,NA,1,3,NA,5,NA,1,NA,NA,4,2,2,9,1,136,2593,1611
2594_1_1,2594_1,2594,1,1,1,1,NA,4,4,NA,5,1,1,4,NA,2,1,NA,9,1,136,2594,2167
2595_1_1,2595_1,2595,1,1,1,1,NA,3,4,NA,2,1,2,NA,NA,2,2,1,9,1,135,2595,1576
2595_1_1,2595_1,2595,1,1,2,1,NA,3,4,NA,2,1,1,2,NA,2,2,1,9,1,135,2595,1576
2596_2_1,2596_2,2596,2,1,1,2,NA,3,2,NA,3,NA,2,NA,NA,3,1,NA,9,1,137,2596,1932
2598_2_1,2598_2,2598,2,1,1,3,NA,2,3,NA,5,NA,7,NA,NA,1,1,NA,9,1,135,2598,1370
2598_2_1,2598_2,2598,2,1,2,4,NA,2,3,NA,5,NA,1,NA,NA,2,1,NA,9,1,135,2598,1370
2598_4_1,2598_4,2598,4,1,1,2,NA,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,135,2598,1370
2599_3_1,2599_3,2599,3,1,1,2,NA,2,2,NA,2,NA,1,NA,NA,3,2,3,9,1,136,2599,2509
2599_5_1,2599_5,2599,5,1,1,1,NA,3,4,NA,5,1,1,NA,NA,2,2,9,9,1,136,2599,2509
2600_4_1,2600_4,2600,4,1,1,1,NA,3,2,NA,5,NA,4,NA,NA,5,2,1,9,1,136,2600,1697
2601_4_1,2601_4,2601,4,1,1,2,NA,1,2,NA,1,NA,1,2,NA,6,1,NA,9,1,136,2601,2265
2602_3_1,2602_3,2602,3,1,1,3,NA,3,2,NA,5,NA,2,NA,NA,3,1,NA,9,1,136,2602,2066
2602_4_1,2602_4,2602,4,1,1,1,NA,3,3,NA,5,NA,4,NA,NA,9,2,9,9,1,136,2602,2066
2602_5_1,2602_5,2602,5,1,1,6,NA,2,2,NA,5,NA,2,NA,NA,5,2,1,9,1,136,2602,2066
2603_1_1,2603_1,2603,1,1,1,1,NA,3,4,NA,8,2,NA,NA,NA,NA,NA,NA,9,4,140,2603,1763
2603_6_1,2603_6,2603,6,1,1,1,NA,2,3,NA,8,NA,1,NA,NA,3,1,NA,9,4,140,2603,1763
2605_1_1,2605_1,2605,1,1,1,1,NA,3,4,NA,3,1,1,NA,NA,1,2,1,9,1,136,2605,16
2605_5_1,2605_5,2605,5,1,1,1,NA,1,4,NA,3,1,1,NA,NA,1,1,NA,9,1,136,2605,16
2606_2_1,2606_2,2606,2,1,1,2,NA,4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,136,2606,21
2606_5_1,2606_5,2606,5,1,1,2,NA,3,4,NA,5,1,1,5,NA,1,2,2,9,1,136,2606,21
2607_2_1,2607_2,2607,2,1,1,1,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,9,1,136,2607,7
2608_2_1,2608_2,2608,2,1,1,1,2,3,4,NA,5,2,NA,NA,NA,NA,NA,NA,9,1,136,2608,7
2608_4_1,2608_4,2608,4,1,1,1,3,2,4,NA,3,1,1,5,NA,1,1,NA,9,1,136,2608,7
2608_5_1,2608_5,2608,5,1,1,3,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,9,1,136,2608,7
2609_1_1,2609_1,2609,1,1,1,1,NA,3,4,NA,5,1,1,NA,NA,9,2,1,9,1,136,2609,37
2609_1_1,2609_1,2609,1,1,2,3,NA,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,9,1,136,2609,37
2609_2_1,2609_2,2609,2,1,1,2,NA,4,4,NA,8,1,4,6,NA,9,2,2,9,1,136,2609,37
2609_3_1,2609_3,2609,3,1,1,3,NA,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,9,1,136,2609,37
2609_4_1,2609_4,2609,4,1,1,2,NA,3,2,NA,5,NA,1,NA,NA,3,1,NA,9,1,136,2609,37
2609_5_1,2609_5,2609,5,1,1,1,NA,3,4,NA,5,2,NA,NA,NA,NA,NA,NA,9,1,136,2609,37
2609_7_1,2609_7,2609,7,1,1,2,NA,2,4,NA,5,1,1,NA,NA,9,1,NA,9,1,136,2609,37
2609_8_1,2609_8,2609,8,1,1,1,NA,3,3,NA,8,NA,2,NA,NA,3,2,9,9,1,136,2609,37
2610_1_1,2610_1,2610,1,1,1,3,NA,3,2,NA,5,NA,2,NA,NA,1,2,1,9,1,136,2610,8
2610_2_1,2610_2,2610,2,1,1,3,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,9,1,136,2610,8
2610_4_1,2610_4,2610,4,1,1,3,NA,2,4,NA,5,1,4,NA,NA,1,2,1,9,1,136,2610,8
2611_3_1,2611_3,2611,3,1,1,1,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,9,1,136,2611,8
2611_5_1,2611_5,2611,5,1,1,2,NA,2,4,NA,5,1,1,NA,NA,1,2,2,9,1,136,2611,8
2612_3_1,2612_3,2612,3,1,1,2,NA,1,4,NA,5,1,1,NA,NA,1,1,NA,9,1,136,2612,8
2612_4_1,2612_4,2612,4,1,1,1,NA,1,4,NA,5,1,1,NA,NA,1,2,3,9,1,136,2612,8
2613_8_1,2613_8,2613,8,1,1,1,NA,3,4,NA,5,1,1,NA,NA,2,2,1,9,1,136,2613,26
2617_2_1,2617_2,2617,2,1,1,1,NA,2,2,NA,1,NA,1,NA,NA,1,2,1,9,1,136,2617,19
2617_5_1,2617_5,2617,5,1,1,2,NA,4,4,NA,5,2,NA,NA,NA,NA,NA,NA,9,1,136,2617,19
2621_2_1,2621_2,2621,2,1,1,4,NA,3,4,NA,3,2,NA,NA,NA,NA,NA,NA,9,1,136,2621,10
2622_1_1,2622_1,2622,1,1,1,3,NA,2,2,NA,5,NA,3,NA,NA,9,2,9,10,1,143,2622,265
2622_1_1,2622_1,2622,1,1,2,4,NA,2,2,NA,5,NA,6,NA,NA,5,2,9,10,1,143,2622,265
2622_2_1,2622_2,2622,2,1,1,3,NA,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,10,1,143,2622,265
2622_3_1,2622_3,2622,3,1,1,2,NA,3,4,NA,5,1,1,NA,NA,1,1,NA,10,1,143,2622,265
2622_4_1,2622_4,2622,4,1,1,3,NA,2,2,NA,5,NA,1,NA,NA,3,1,NA,10,1,143,2622,265
2624_3_1,2624_3,2624,3,1,1,2,1,2,3,NA,5,NA,1,3,NA,4,2,1,10,1,144,2624,343
2625_4_1,2625_4,2625,4,1,1,1,NA,3,4,NA,2,2,NA,NA,NA,NA,NA,NA,10,1,144,2625,397
2626_1_1,2626_1,2626,1,1,1,1,NA,3,4,NA,5,2,NA,NA,NA,NA,NA,NA,10,1,143,2626,277
2626_5_1,2626_5,2626,5,1,1,3,NA,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,10,1,143,2626,277
2627_1_1,2627_1,2627,1,1,1,3,NA,3,4,NA,5,1,4,NA,NA,3,2,1,10,1,143,2627,188
2629_1_1,2629_1,2629,1,1,1,1,NA,2,2,NA,5,NA,3,NA,NA,4,1,NA,10,1,144,2629,349
2629_3_1,2629_3,2629,3,1,1,1,NA,3,2,NA,5,NA,2,NA,NA,4,2,1,10,1,144,2629,349
2629_5_1,2629_5,2629,5,1,1,1,NA,3,2,NA,1,NA,1,NA,NA,5,1,NA,10,1,144,2629,349
2630_4_1,2630_4,2630,4,1,1,1,NA,2,4,NA,1,1,1,NA,NA,1,2,9,10,1,143,2630,165
2631_1_1,2631_1,2631,1,1,1,2,NA,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,10,1,143,2631,253
2632_1_2,2632_1,2632,1,2,1,1,2,3,4,NA,5,1,2,NA,NA,9,2,2,10,1,143,2632,257
2632_3_1,2632_3,2632,3,1,1,1,NA,3,4,NA,5,1,3,NA,NA,3,1,NA,10,1,143,2632,257
2632_5_1,2632_5,2632,5,1,1,5,NA,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,143,2632,257
2632_5_1,2632_5,2632,5,1,2,4,NA,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,143,2632,257
2633_5_1,2633_5,2633,5,1,1,4,3,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,10,1,143,2633,253
2637_3_1,2637_3,2637,3,1,1,1,NA,3,4,NA,5,2,NA,NA,NA,NA,NA,NA,10,1,143,2637,303
2638_5_1,2638_5,2638,5,1,1,1,NA,4,2,NA,5,NA,4,NA,NA,5,1,NA,10,1,144,2638,729
2639_2_1,2639_2,2639,2,1,1,3,NA,2,4,NA,5,1,1,6,NA,3,2,1,10,1,144,2639,537
2639_3_1,2639_3,2639,3,1,1,4,NA,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,10,1,144,2639,537
2639_4_1,2639_4,2639,4,1,1,1,2,3,3,NA,1,NA,2,NA,NA,5,2,1,10,1,144,2639,537
2640_3_1,2640_3,2640,3,1,1,1,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,10,1,142,2640,260
2641_2_1,2641_2,2641,2,1,1,1,NA,3,4,NA,5,1,5,NA,NA,9,1,NA,10,1,142,2641,274
2645_2_1,2645_2,2645,2,1,1,3,NA,3,2,NA,5,NA,9,NA,NA,3,2,9,10,1,143,2645,277
2645_3_1,2645_3,2645,3,1,1,3,NA,6,4,NA,5,1,1,NA,NA,9,2,2,10,1,143,2645,277
2645_4_1,2645_4,2645,4,1,1,3,NA,3,4,NA,3,2,NA,NA,NA,NA,NA,NA,10,1,143,2645,277
2646_2_1,2646_2,2646,2,1,1,1,NA,3,4,NA,8,1,1,NA,NA,1,1,NA,10,1,142,2646,323
2646_5_1,2646_5,2646,5,1,1,1,NA,3,4,NA,5,1,1,2,NA,9,2,1,10,1,142,2646,323
2650_1_1,2650_1,2650,1,1,1,2,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,10,1,143,2650,253
2650_1_1,2650_1,2650,1,1,2,3,NA,3,4,NA,5,2,NA,NA,NA,NA,NA,NA,10,1,143,2650,253
2650_3_1,2650_3,2650,3,1,1,1,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,10,1,143,2650,253
2650_5_1,2650_5,2650,5,1,1,2,NA,2,2,NA,5,NA,2,NA,NA,3,2,1,10,1,143,2650,253
2653_4_1,2653_4,2653,4,1,1,3,NA,2,2,NA,5,NA,2,NA,NA,2,2,1,10,1,143,2653,264
2654_1_1,2654_1,2654,1,1,1,5,NA,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,143,2654,257
2656_1_1,2656_1,2656,1,1,1,4,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,10,1,143,2656,244
2656_2_1,2656_2,2656,2,1,1,4,NA,4,4,NA,3,2,NA,NA,NA,NA,NA,NA,10,1,143,2656,244
2656_3_1,2656_3,2656,3,1,1,2,NA,1,3,NA,5,NA,4,6,NA,2,2,1,10,1,143,2656,244
2657_1_1,2657_1,2657,1,1,1,1,NA,3,4,NA,3,1,1,NA,NA,9,2,1,10,1,143,2657,271
2657_2_1,2657_2,2657,2,1,1,1,NA,3,2,NA,5,NA,2,NA,NA,2,2,3,10,1,143,2657,271
2658_2_3,2658_2,2658,2,3,1,1,NA,2,2,NA,4,NA,1,NA,NA,9,2,4,10,1,143,2658,271
2659_2_1,2659_2,2659,2,1,1,4,NA,2,3,NA,5,NA,2,NA,NA,3,1,NA,10,1,142,2659,260
2659_5_1,2659_5,2659,5,1,1,2,1,4,4,NA,7,2,NA,NA,NA,NA,NA,NA,10,1,142,2659,260
2661_1_1,2661_1,2661,1,1,1,3,NA,3,2,NA,5,NA,2,NA,NA,9,2,1,10,1,143,2661,239
2661_2_1,2661_2,2661,2,1,1,9,NA,3,2,NA,2,NA,2,NA,NA,2,1,NA,10,1,143,2661,239
2661_4_1,2661_4,2661,4,1,1,1,NA,3,2,NA,5,NA,2,NA,NA,2,1,NA,10,1,143,2661,239
2662_1_1,2662_1,2662,1,1,1,2,NA,4,2,NA,2,NA,2,NA,NA,3,2,1,10,1,143,2662,277
2662_2_1,2662_2,2662,2,1,1,1,NA,2,2,NA,5,NA,1,NA,NA,2,2,2,10,1,143,2662,277
2662_4_1,2662_4,2662,4,1,1,1,NA,2,2,NA,5,NA,1,NA,NA,3,2,1,10,1,143,2662,277
2663_1_1,2663_1,2663,1,1,1,1,NA,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,10,1,143,2663,289
2664_5_1,2664_5,2664,5,1,1,3,NA,2,1,6,NA,NA,NA,NA,NA,NA,NA,NA,10,1,143,2664,288
2665_3_1,2665_3,2665,3,1,1,4,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,10,1,143,2665,260
2666_5_1,2666_5,2666,5,1,1,1,2,3,2,NA,5,NA,3,NA,NA,3,2,1,10,1,143,2666,327
2667_1_1,2667_1,2667,1,1,1,3,NA,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,10,1,143,2667,282
2667_1_1,2667_1,2667,1,1,2,4,NA,2,3,NA,5,NA,2,NA,NA,2,2,2,10,1,143,2667,282
2668_1_1,2668_1,2668,1,1,1,1,2,3,4,NA,1,1,1,NA,NA,2,2,1,10,1,142,2668,317
2668_5_1,2668_5,2668,5,1,1,1,2,2,3,NA,8,NA,2,4,NA,3,2,4,10,1,142,2668,317
2669_4_1,2669_4,2669,4,1,1,2,3,2,2,NA,5,NA,2,NA,NA,9,2,1,10,1,143,2669,252
2669_4_1,2669_4,2669,4,1,2,3,NA,3,2,NA,5,NA,2,NA,NA,9,2,1,10,1,143,2669,252
2669_5_1,2669_5,2669,5,1,1,1,2,3,2,NA,5,NA,1,2,NA,3,2,1,10,1,143,2669,252
2670_2_1,2670_2,2670,2,1,1,3,NA,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,10,1,143,2670,296
2671_1_2,2671_1,2671,1,2,1,1,NA,3,4,NA,5,2,NA,NA,NA,NA,NA,NA,10,1,142,2671,331
2671_5_1,2671_5,2671,5,1,1,2,NA,2,4,NA,1,1,1,NA,NA,1,2,1,10,1,142,2671,331
2677_1_1,2677_1,2677,1,1,1,2,NA,2,4,NA,5,1,1,4,NA,9,2,1,10,1,142,2677,297
2678_1_1,2678_1,2678,1,1,1,1,NA,2,4,NA,5,1,1,NA,NA,2,2,9,10,1,142,2678,292
2678_4_1,2678_4,2678,4,1,1,3,NA,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,142,2678,292
2678_4_1,2678_4,2678,4,1,2,2,NA,4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,142,2678,292
2680_4_1,2680_4,2680,4,1,1,2,NA,2,2,NA,1,NA,2,NA,NA,3,1,NA,10,1,142,2680,295
2681_1_1,2681_1,2681,1,1,1,1,NA,3,2,NA,8,NA,2,NA,NA,3,2,1,10,1,142,2681,318
2681_4_1,2681_4,2681,4,1,1,4,NA,1,2,NA,5,NA,2,NA,NA,9,2,1,10,1,142,2681,318
2681_5_1,2681_5,2681,5,1,1,1,NA,5,4,NA,8,2,NA,NA,NA,NA,NA,NA,10,1,142,2681,318
2684_3_1,2684_3,2684,3,1,1,2,NA,2,2,NA,5,NA,2,NA,NA,3,1,NA,10,1,142,2684,402
2684_5_1,2684_5,2684,5,1,1,2,NA,2,4,NA,5,1,1,NA,NA,1,1,NA,10,1,142,2684,402
2685_1_1,2685_1,2685,1,1,1,7,NA,2,1,6,NA,NA,NA,NA,NA,NA,NA,NA,10,1,142,2685,357
2685_1_1,2685_1,2685,1,1,2,3,NA,3,4,NA,5,2,NA,NA,NA,NA,NA,NA,10,1,142,2685,357
2685_1_1,2685_1,2685,1,1,3,12,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,10,1,142,2685,357
2685_1_1,2685_1,2685,1,1,4,4,NA,4,4,NA,5,1,1,NA,NA,2,1,NA,10,1,142,2685,357
2685_4_1,2685_4,2685,4,1,1,3,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,10,1,142,2685,357
2687_2_1,2687_2,2687,2,1,1,2,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,10,1,143,2687,358
2688_2_1,2688_2,2688,2,1,1,1,NA,1,2,NA,1,NA,3,NA,NA,5,1,NA,10,1,143,2688,298
2688_2_1,2688_2,2688,2,1,2,1,NA,3,2,NA,1,NA,2,NA,NA,4,1,NA,10,1,143,2688,298
2688_3_1,2688_3,2688,3,1,1,1,NA,2,2,NA,2,NA,3,NA,NA,3,1,NA,10,1,143,2688,298
2689_1_1,2689_1,2689,1,1,1,1,2,2,4,NA,5,1,4,NA,NA,1,2,1,10,1,142,2689,290
2691_4_2,2691_4,2691,4,2,1,1,NA,4,2,NA,5,NA,2,NA,NA,3,2,1,10,1,143,2691,275
2692_2_1,2692_2,2692,2,1,1,1,NA,3,3,NA,5,NA,2,NA,NA,2,1,NA,10,1,143,2692,266
2692_5_1,2692_5,2692,5,1,1,4,NA,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,10,1,143,2692,266
2694_5_1,2694_5,2694,5,1,1,3,NA,2,4,NA,3,2,NA,NA,NA,NA,NA,NA,10,1,142,2694,305
2695_1_1,2695_1,2695,1,1,1,1,NA,2,4,NA,1,2,NA,NA,NA,NA,NA,NA,10,1,142,2695,261
2697_4_1,2697_4,2697,4,1,1,1,NA,1,3,NA,5,NA,4,NA,NA,2,2,1,10,1,143,2697,285
2698_1_1,2698_1,2698,1,1,1,1,NA,3,1,6,NA,NA,NA,NA,NA,NA,NA,NA,10,1,143,2698,307
2698_4_1,2698_4,2698,4,1,1,2,NA,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,10,1,143,2698,307
2699_2_1,2699_2,2699,2,1,1,3,5,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,10,1,143,2699,336
2699_2_1,2699_2,2699,2,1,2,5,NA,3,4,NA,5,2,NA,NA,NA,NA,NA,NA,10,1,143,2699,336
2700_3_1,2700_3,2700,3,1,1,1,NA,2,1,6,NA,NA,NA,NA,NA,NA,NA,NA,10,1,143,2700,395
2700_5_1,2700_5,2700,5,1,1,1,NA,4,4,NA,5,1,1,NA,NA,3,2,1,10,1,143,2700,395
2701_4_1,2701_4,2701,4,1,1,4,NA,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,10,1,142,2701,309
2702_3_1,2702_3,2702,3,1,1,2,1,1,4,NA,5,2,NA,NA,NA,NA,NA,NA,10,1,142,2702,316
2702_5_1,2702_5,2702,5,1,1,1,NA,3,4,NA,5,1,4,NA,NA,1,2,1,10,1,142,2702,316
2703_4_1,2703_4,2703,4,1,1,1,NA,4,3,NA,5,NA,3,NA,NA,3,1,NA,10,1,143,2703,356
2704_2_2,2704_2,2704,2,2,1,1,NA,2,4,NA,5,1,2,NA,NA,1,2,1,10,1,142,2704,301
2705_3_1,2705_3,2705,3,1,1,2,NA,3,3,NA,5,NA,2,NA,NA,2,1,NA,10,1,142,2705,341
2705_5_1,2705_5,2705,5,1,1,1,NA,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,10,1,142,2705,341
2707_1_1,2707_1,2707,1,1,1,1,NA,3,3,NA,8,NA,2,NA,NA,2,2,1,10,1,143,2707,321
2707_2_1,2707_2,2707,2,1,1,3,1,3,4,NA,5,2,NA,NA,NA,NA,NA,NA,10,1,143,2707,321
2708_3_1,2708_3,2708,3,1,1,1,NA,3,2,NA,5,NA,1,NA,NA,2,2,2,10,1,142,2708,338
2709_4_1,2709_4,2709,4,1,1,1,NA,1,4,NA,5,2,NA,NA,NA,NA,NA,NA,10,1,142,2709,373
2709_4_1,2709_4,2709,4,1,2,2,NA,2,2,NA,5,NA,1,NA,NA,3,2,1,10,1,142,2709,373
2711_1_1,2711_1,2711,1,1,1,1,NA,3,2,NA,2,NA,2,NA,NA,9,1,NA,10,1,142,2711,246
2711_5_1,2711_5,2711,5,1,1,1,NA,3,3,NA,5,NA,2,NA,NA,2,1,NA,10,1,142,2711,246
2712_4_1,2712_4,2712,4,1,1,1,NA,4,3,NA,3,NA,2,NA,NA,1,2,1,10,1,142,2712,277
2713_1_1,2713_1,2713,1,1,1,2,NA,2,4,NA,5,1,4,6,NA,1,1,NA,10,1,142,2713,261
2714_1_1,2714_1,2714,1,1,1,2,NA,2,3,NA,5,NA,2,NA,NA,2,1,NA,10,1,142,2714,441
2714_4_1,2714_4,2714,4,1,1,1,NA,2,4,NA,5,1,6,NA,NA,3,1,NA,10,1,142,2714,441
2717_5_1,2717_5,2717,5,1,1,1,2,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,10,1,144,2717,348
2718_4_1,2718_4,2718,4,1,1,2,NA,3,4,NA,3,1,1,4,NA,3,2,1,10,1,142,2718,266
2719_2_1,2719_2,2719,2,1,1,2,NA,3,2,NA,5,NA,3,NA,NA,3,2,1,10,1,144,2719,396
2724_5_1,2724_5,2724,5,1,1,2,NA,3,2,NA,5,NA,2,NA,NA,3,2,1,10,1,144,2724,389
2727_1_1,2727_1,2727,1,1,1,2,NA,2,3,NA,1,NA,2,NA,NA,3,2,1,10,1,144,2727,441
2728_1_1,2728_1,2728,1,1,1,1,NA,3,3,NA,2,NA,2,NA,NA,2,1,NA,10,1,143,2728,276
2728_2_1,2728_2,2728,2,1,1,3,NA,2,2,NA,2,NA,2,NA,NA,3,2,1,10,1,143,2728,276
2729_1_1,2729_1,2729,1,1,1,1,2,3,2,NA,7,NA,3,NA,NA,4,1,NA,10,1,143,2729,277
2729_5_1,2729_5,2729,5,1,1,1,NA,2,3,NA,5,NA,2,NA,NA,3,2,9,10,1,143,2729,277
2730_4_1,2730_4,2730,4,1,1,3,4,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,10,1,142,2730,285
2732_5_1,2732_5,2732,5,1,1,1,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,10,1,144,2732,386
2734_1_1,2734_1,2734,1,1,1,1,2,3,2,NA,5,NA,2,NA,NA,3,1,NA,10,1,143,2734,331
2737_2_1,2737_2,2737,2,1,1,3,NA,3,4,NA,5,2,NA,NA,NA,NA,NA,NA,10,1,142,2737,282
2737_4_1,2737_4,2737,4,1,1,1,NA,1,2,NA,4,NA,2,NA,NA,2,2,1,10,1,142,2737,282
2738_3_1,2738_3,2738,3,1,1,1,NA,3,4,NA,3,2,NA,NA,NA,NA,NA,NA,10,1,144,2738,395
2739_3_1,2739_3,2739,3,1,1,4,3,2,4,NA,3,1,4,NA,NA,3,1,NA,10,1,143,2739,392
2739_4_1,2739_4,2739,4,1,1,1,NA,3,4,NA,5,2,NA,NA,NA,NA,NA,NA,10,1,143,2739,392
2740_2_1,2740_2,2740,2,1,1,4,NA,1,4,NA,3,1,1,NA,NA,1,2,2,10,1,141,2740,628
2746_2_1,2746_2,2746,2,1,1,1,NA,4,4,NA,5,2,NA,NA,NA,NA,NA,NA,10,1,145,2746,223
2747_1_1,2747_1,2747,1,1,1,2,NA,3,2,NA,8,NA,2,NA,NA,3,2,1,10,1,145,2747,195
2748_3_1,2748_3,2748,3,1,1,2,NA,1,4,NA,5,2,NA,NA,NA,NA,NA,NA,10,1,145,2748,300
2748_5_2,2748_5,2748,5,2,1,2,NA,3,4,NA,3,1,1,NA,NA,4,2,8,10,1,145,2748,300
2750_1_1,2750_1,2750,1,1,1,2,NA,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,10,1,146,2750,213
2750_1_1,2750_1,2750,1,1,2,3,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,10,1,146,2750,213
2754_1_1,2754_1,2754,1,1,1,1,NA,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,10,1,145,2754,261
2755_4_1,2755_4,2755,4,1,1,1,NA,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,145,2755,323
2756_1_1,2756_1,2756,1,1,1,1,2,3,3,NA,5,NA,3,NA,NA,4,2,1,10,1,146,2756,267
2756_3_1,2756_3,2756,3,1,1,2,NA,3,3,NA,2,NA,2,NA,NA,2,1,NA,10,1,146,2756,267
2758_5_1,2758_5,2758,5,1,1,5,NA,2,3,NA,5,NA,2,NA,NA,3,2,1,10,1,146,2758,250
2759_5_1,2759_5,2759,5,1,1,2,NA,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,10,1,146,2759,265
2761_1_1,2761_1,2761,1,1,1,3,NA,3,2,NA,2,NA,2,NA,NA,3,1,NA,10,1,145,2761,257
2761_3_2,2761_3,2761,3,2,1,1,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,10,1,145,2761,257
2761_4_1,2761_4,2761,4,1,1,2,NA,2,3,NA,2,NA,2,NA,NA,2,2,1,10,1,145,2761,257
2763_1_1,2763_1,2763,1,1,1,1,NA,3,3,NA,7,NA,3,NA,NA,3,2,1,10,1,145,2763,205
2765_3_1,2765_3,2765,3,1,1,1,NA,4,2,NA,3,NA,3,NA,NA,4,1,NA,10,1,147,2765,346
2767_1_1,2767_1,2767,1,1,1,4,3,2,1,6,NA,NA,NA,NA,NA,NA,NA,NA,10,1,145,2767,305
2767_2_1,2767_2,2767,2,1,1,3,4,2,2,NA,5,NA,2,NA,NA,3,2,1,10,1,145,2767,305
2767_4_1,2767_4,2767,4,1,1,2,NA,1,4,NA,5,2,NA,NA,NA,NA,NA,NA,10,1,145,2767,305
2767_5_1,2767_5,2767,5,1,1,1,NA,8,4,NA,1,2,NA,NA,NA,NA,NA,NA,10,1,145,2767,305
2768_1_1,2768_1,2768,1,1,1,2,1,3,4,NA,1,2,NA,NA,NA,NA,NA,NA,10,1,145,2768,262
2768_5_1,2768_5,2768,5,1,1,1,2,2,3,NA,10,NA,1,6,NA,4,1,NA,10,1,145,2768,262
2770_5_1,2770_5,2770,5,1,1,3,NA,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,10,1,145,2770,280
2771_2_1,2771_2,2771,2,1,1,1,NA,2,2,NA,5,NA,2,NA,NA,3,1,NA,10,1,147,2771,337
2772_3_1,2772_3,2772,3,1,1,3,NA,2,2,NA,5,NA,2,NA,NA,2,2,1,10,1,145,2772,266
2772_5_1,2772_5,2772,5,1,1,2,NA,2,3,NA,5,NA,2,NA,NA,2,1,NA,10,1,145,2772,266
2773_2_1,2773_2,2773,2,1,1,1,NA,4,2,NA,7,NA,2,NA,NA,3,2,1,10,1,146,2773,283
2773_4_1,2773_4,2773,4,1,1,3,NA,4,4,NA,5,1,4,NA,NA,4,2,1,10,1,146,2773,283
2775_3_1,2775_3,2775,3,1,1,2,NA,3,3,NA,1,NA,2,NA,NA,2,2,1,10,1,146,2775,271
