"","vid","ingreso_viv","P5_2","prop_gasto","indice_aseq"
"189","1037_5",11800,2500,0.211864406779661,2
"190","1038_1",16000,2400,0.15,2
"191","1038_2",10800,1246,0.11537037037037,2
"192","1038_3",25200,4500,0.178571428571429,2
"193","1039_3",NA,NA,NA,NA
"194","1039_5",5400,NA,NA,NA
"195","104_1",NA,NA,NA,NA
"196","104_2",7200,1600,0.222222222222222,2
"197","104_3",NA,NA,NA,NA
"198","104_4",3200,NA,NA,NA
"199","104_5",4800,NA,NA,NA
"200","1040_1",10000,0,0,2
"201","1040_2",12000,6000,0.5,1
"202","1040_3",16000,NA,NA,NA
"203","1040_4",8000,NA,NA,NA
"204","1040_5",12000,NA,NA,NA
"205","1041_2",8000,0,0,2
"206","1041_3",12000,NA,NA,NA
"207","1041_4",12000,2000,0.166666666666667,2
"208","1041_5",NA,2000,NA,NA
"209","1042_10",14800,1100,0.0743243243243243,2
"210","1042_11",4000,NA,NA,NA
"211","1042_12",1520,NA,NA,NA
"212","1042_13",10000,3200,0.32,1
"213","1042_15",NA,NA,NA,NA
"214","1042_17",4000,4000,1,1
"215","1042_18",12000,NA,NA,NA
"216","1042_19",4400,2000,0.454545454545455,1
"217","1042_20",400,0,0,2
"218","1042_3",6400,0,0,2
"219","1042_4",2400,NA,NA,NA
"220","1042_5",3000,NA,NA,NA
"221","1042_6",7600,NA,NA,NA
"222","1042_7",NA,3000,NA,NA
"223","1042_8",NA,NA,NA,NA
"224","1042_9",NA,2700,NA,NA
"225","1043_1",7600,NA,NA,NA
"226","1043_10",5000,NA,NA,NA
"227","1043_12",4000,0,0,2
"228","1043_13",4800,NA,NA,NA
"229","1043_14",2000,800,0.4,1
"230","1043_15",9600,0,0,2
"231","1043_16",4800,NA,NA,NA
"232","1043_17",9000,NA,NA,NA
"233","1043_18",7200,800,0.111111111111111,2
"234","1043_19",NA,1000,NA,NA
"235","1043_2",2000,1000,0.5,1
"236","1043_20",2000,NA,NA,NA
"237","1043_3",2000,NA,NA,NA
"238","1043_4",8000,NA,NA,NA
"239","1043_5",NA,0,NA,NA
"240","1043_6",16400,NA,NA,NA
"241","1043_7",5200,NA,NA,NA
"242","1043_9",8000,NA,NA,NA
"243","1044_1",8000,0,0,2
