"","vid","ingreso_viv","P5_2","prop_gasto","indice_aseq"
"2561","1395_1",12000,1200,0.1,2
"2562","1395_2",NA,NA,NA,NA
"2563","1395_3",4000,2000,0.5,1
"2564","1395_4",8000,4000,0.5,1
"2565","1395_5",21000,2500,0.119047619047619,2
"2566","1396_1",7520,NA,NA,NA
"2567","1396_3",NA,1092,NA,NA
"2568","1396_4",34852,1400,0.0401698611270515,2
"2569","1396_5",11200,3200,0.285714285714286,2
"2570","1397_2",10800,2000,0.185185185185185,2
"2571","1397_3",4800,2500,0.520833333333333,1
"2572","1397_4",NA,NA,NA,NA
"2573","1397_5",NA,NA,NA,NA
"2574","1398_1",2400,NA,NA,NA
"2575","1398_2",17200,2000,0.116279069767442,2
"2576","1398_4",19600,NA,NA,NA
"2577","1398_5",6000,3000,0.5,1
"2578","1399_1",5200,1600,0.307692307692308,1
"2579","1399_2",8000,2140,0.2675,2
"2580","1399_3",7600,2400,0.315789473684211,1
"2581","1399_4",4000,2000,0.5,1
"2582","1399_5",12000,2000,0.166666666666667,2
"2583","14_1",5000,3000,0.6,1
"2584","14_2",38000,2500,0.0657894736842105,2
"2585","14_3",NA,NA,NA,NA
"2586","14_4",20000,0,0,2
"2587","14_5",10000,1500,0.15,2
"2588","140_1",20000,4000,0.2,2
"2589","140_3",17500,1500,0.0857142857142857,2
"2590","140_4",14000,2000,0.142857142857143,2
"2591","1400_1",NA,NA,NA,NA
"2592","1400_10",NA,NA,NA,NA
"2593","1400_11",NA,NA,NA,NA
"2594","1400_12",5200,NA,NA,NA
"2595","1400_13",25000,7000,0.28,2
"2596","1400_14",NA,0,NA,NA
"2597","1400_15",5200,NA,NA,NA
"2598","1400_16",NA,NA,NA,NA
"2599","1400_18",17600,0,0,2
"2600","1400_19",14800,1000,0.0675675675675676,2
"2601","1400_2",11000,1000,0.0909090909090909,2
"2602","1400_20",15200,0,0,2
"2603","1400_3",18000,3200,0.177777777777778,2
"2604","1400_5",NA,NA,NA,NA
"2605","1400_6",65000,NA,NA,NA
"2606","1400_8",NA,4500,NA,NA
"2607","1400_9",15000,NA,NA,NA
"2608","1401_10",NA,NA,NA,NA
"2609","1401_11",12000,NA,NA,NA
"2610","1401_12",13600,0,0,2
"2611","1401_13",10000,NA,NA,NA
"2612","1401_16",17000,NA,NA,NA
"2613","1401_17",9600,1600,0.166666666666667,2
"2614","1401_18",4600,NA,NA,NA
"2615","1401_19",4800,900,0.1875,2
"2616","1401_2",NA,NA,NA,NA
"2617","1401_3",18000,NA,NA,NA
"2618","1401_4",NA,NA,NA,NA
"2619","1401_5",NA,NA,NA,NA
"2620","1401_6",24000,500,0.0208333333333333,2
"2621","1401_7",10000,2500,0.25,2
"2622","1401_8",12000,0,0,2
"2623","1402_1",20000,8000,0.4,1
"2624","1402_10",4800,1500,0.3125,1
"2625","1402_11",12000,NA,NA,NA
"2626","1402_12",14000,NA,NA,NA
"2627","1402_14",1400,1400,1,1
"2628","1402_16",1200,4400,3.66666666666667,1
"2629","1402_17",NA,0,NA,NA
"2630","1402_18",8400,NA,NA,NA
"2631","1402_19",15000,2400,0.16,2
"2632","1402_2",9600,NA,NA,NA
"2633","1402_20",10000,1500,0.15,2
"2634","1402_3",2800,NA,NA,NA
"2635","1402_4",40000,2500,0.0625,2
"2636","1402_6",64000,12000,0.1875,2
"2637","1402_7",11400,NA,NA,NA
"2638","1402_8",5200,NA,NA,NA
"2639","1402_9",7200,1000,0.138888888888889,2
"2640","1403_10",NA,NA,NA,NA
"2641","1403_12",NA,1100,NA,NA
"2642","1403_17",NA,800,NA,NA
"2643","1403_18",11000,0,0,2
"2644","1403_19",4200,NA,NA,NA
"2645","1403_2",NA,NA,NA,NA
"2646","1403_3",NA,NA,NA,NA
"2647","1403_4",NA,0,NA,NA
"2648","1403_5",5600,NA,NA,NA
"2649","1403_6",NA,NA,NA,NA
"2650","1403_7",2000,0,0,2
"2651","1403_9",4800,0,0,2
"2652","1404_1",18000,NA,NA,NA
"2653","1404_11",NA,NA,NA,NA
"2654","1404_13",6000,NA,NA,NA
"2655","1404_15",6800,0,0,2
"2656","1404_16",8000,NA,NA,NA
"2657","1404_18",6400,NA,NA,NA
"2658","1404_19",NA,NA,NA,NA
"2659","1404_2",44000,NA,NA,NA
"2660","1404_20",12600,NA,NA,NA
"2661","1404_3",NA,NA,NA,NA
"2662","1404_4",NA,NA,NA,NA
"2663","1404_6",NA,NA,NA,NA
"2664","1404_7",NA,NA,NA,NA
"2665","1404_9",NA,0,NA,NA
"2666","1405_1",4800,NA,NA,NA
"2667","1405_10",13600,NA,NA,NA
"2668","1405_11",7600,NA,NA,NA
"2669","1405_12",NA,NA,NA,NA
"2670","1405_13",9200,NA,NA,NA
"2671","1405_14",26800,NA,NA,NA
"2672","1405_15",7000,NA,NA,NA
"2673","1405_16",NA,NA,NA,NA
"2674","1405_17",NA,NA,NA,NA
"2675","1405_18",NA,NA,NA,NA
"2676","1405_20",5200,NA,NA,NA
"2677","1405_3",7200,0,0,2
"2678","1405_4",15600,NA,NA,NA
"2679","1405_5",7200,NA,NA,NA
"2680","1405_6",NA,NA,NA,NA
"2681","1405_7",6000,NA,NA,NA
"2682","1405_8",4800,NA,NA,NA
"2683","1405_9",4400,NA,NA,NA
"2684","1406_1",18400,0,0,2
"2685","1406_2",7200,NA,NA,NA
"2686","1406_3",17200,NA,NA,NA
"2687","1406_4",NA,NA,NA,NA
"2688","1406_5",18000,NA,NA,NA
"2689","1407_1",14000,NA,NA,NA
"2690","1407_10",NA,NA,NA,NA
"2691","1407_11",12000,NA,NA,NA
"2692","1407_12",NA,NA,NA,NA
"2693","1407_13",1200,NA,NA,NA
"2694","1407_14",34000,NA,NA,NA
"2695","1407_15",13000,NA,NA,NA
"2696","1407_16",NA,NA,NA,NA
"2697","1407_17",6000,0,0,2
"2698","1407_18",NA,NA,NA,NA
"2699","1407_19",12000,0,0,2
"2700","1407_2",9600,0,0,2
"2701","1407_20",NA,NA,NA,NA
"2702","1407_3",4800,NA,NA,NA
"2703","1407_4",4000,NA,NA,NA
"2704","1407_5",1972,NA,NA,NA
"2705","1407_6",7600,NA,NA,NA
"2706","1407_7",4800,NA,NA,NA
"2707","1407_8",10400,NA,NA,NA
"2708","1407_9",5960,NA,NA,NA
"2709","1408_1",NA,NA,NA,NA
"2710","1408_10",11600,1000,0.0862068965517241,2
"2711","1408_12",NA,NA,NA,NA
"2712","1408_13",4400,NA,NA,NA
"2713","1408_14",6000,NA,NA,NA
"2714","1408_15",7200,500,0.0694444444444444,2
"2715","1408_16",NA,NA,NA,NA
"2716","1408_18",32000,NA,NA,NA
"2717","1408_19",4800,0,0,2
"2718","1408_20",NA,NA,NA,NA
"2719","1408_3",NA,NA,NA,NA
"2720","1408_4",9400,800,0.0851063829787234,2
"2721","1408_5",NA,0,NA,NA
"2722","1408_6",4800,NA,NA,NA
"2723","1408_8",16000,NA,NA,NA
"2724","1408_9",4800,700,0.145833333333333,2
"2725","1409_1",10000,1500,0.15,2
"2726","1409_2",12200,0,0,2
"2727","1409_3",10800,NA,NA,NA
"2728","1409_4",7200,NA,NA,NA
"2729","1409_5",32000,1000,0.03125,2
"2730","141_1",18000,2000,0.111111111111111,2
"2731","141_2",2400,NA,NA,NA
"2732","141_3",6000,1500,0.25,2
"2733","141_4",13600,1400,0.102941176470588,2
"2734","141_5",5200,1400,0.269230769230769,2
"2735","1410_1",11200,2000,0.178571428571429,2
"2736","1410_2",10000,NA,NA,NA
"2737","1410_3",4800,0,0,2
"2738","1410_4",16000,3500,0.21875,2
"2739","1410_5",12000,2600,0.216666666666667,2
"2740","1411_1",10000,0,0,2
"2741","1411_10",4800,NA,NA,NA
"2742","1411_11",3200,NA,NA,NA
"2743","1411_12",4800,NA,NA,NA
"2744","1411_13",NA,NA,NA,NA
"2745","1411_14",24000,NA,NA,NA
"2746","1411_15",18400,NA,NA,NA
"2747","1411_16",7200,NA,NA,NA
"2748","1411_17",12000,NA,NA,NA
"2749","1411_18",1200,0,0,2
"2750","1411_19",4400,NA,NA,NA
"2751","1411_2",1200,NA,NA,NA
"2752","1411_20",5200,NA,NA,NA
"2753","1411_3",7200,NA,NA,NA
"2754","1411_4",6000,NA,NA,NA
"2755","1411_5",14400,NA,NA,NA
"2756","1411_6",30000,NA,NA,NA
"2757","1411_7",NA,NA,NA,NA
"2758","1411_8",8000,NA,NA,NA
"2759","1411_9",9600,NA,NA,NA
"2760","1412_1",5200,NA,NA,NA
"2761","1412_10",8800,NA,NA,NA
"2762","1412_11",10000,NA,NA,NA
"2763","1412_12",NA,NA,NA,NA
"2764","1412_13",6000,NA,NA,NA
"2765","1412_14",8800,NA,NA,NA
"2766","1412_15",12800,NA,NA,NA
"2767","1412_16",16800,NA,NA,NA
"2768","1412_18",7600,NA,NA,NA
"2769","1412_20",17600,NA,NA,NA
"2770","1412_4",3600,NA,NA,NA
"2771","1412_5",4800,NA,NA,NA
"2772","1412_6",NA,NA,NA,NA
"2773","1412_7",30000,NA,NA,NA
"2774","1412_8",14400,NA,NA,NA
"2775","1412_9",2800,NA,NA,NA
"2776","1413_1",3200,NA,NA,NA
"2777","1413_10",8000,NA,NA,NA
"2778","1413_11",12800,NA,NA,NA
"2779","1413_12",18000,NA,NA,NA
"2780","1413_13",6000,NA,NA,NA
"2781","1413_14",8000,NA,NA,NA
"2782","1413_16",4800,NA,NA,NA
"2783","1413_17",NA,NA,NA,NA
"2784","1413_18",8000,NA,NA,NA
"2785","1413_2",NA,NA,NA,NA
"2786","1413_20",6000,NA,NA,NA
"2787","1413_3",10000,NA,NA,NA
"2788","1413_4",NA,NA,NA,NA
"2789","1413_5",4000,NA,NA,NA
"2790","1413_7",4000,NA,NA,NA
"2791","1413_8",5600,NA,NA,NA
"2792","1414_1",NA,NA,NA,NA
"2793","1414_10",4000,NA,NA,NA
"2794","1414_11",NA,NA,NA,NA
"2795","1414_14",4400,NA,NA,NA
"2796","1414_16",6600,0,0,2
"2797","1414_17",4800,NA,NA,NA
"2798","1414_18",2000,0,0,2
"2799","1414_19",NA,NA,NA,NA
"2800","1414_2",4000,NA,NA,NA
"2801","1414_20",3000,0,0,2
"2802","1414_21",NA,NA,NA,NA
"2803","1414_3",4000,NA,NA,NA
"2804","1414_4",2500,NA,NA,NA
"2805","1414_5",5000,500,0.1,2
"2806","1414_6",4000,NA,NA,NA
"2807","1414_7",2400,0,0,2
"2808","1414_8",4800,NA,NA,NA
"2809","1414_9",2000,NA,NA,NA
"2810","1415_1",9200,NA,NA,NA
"2811","1415_10",5200,NA,NA,NA
"2812","1415_11",6000,NA,NA,NA
"2813","1415_12",6400,NA,NA,NA
"2814","1415_13",1200,NA,NA,NA
"2815","1415_14",6200,NA,NA,NA
"2816","1415_16",NA,NA,NA,NA
"2817","1415_17",6400,NA,NA,NA
"2818","1415_19",NA,NA,NA,NA
"2819","1415_2",NA,NA,NA,NA
"2820","1415_21",4800,0,0,2
"2821","1415_3",6000,NA,NA,NA
"2822","1415_4",5200,NA,NA,NA
"2823","1415_5",4800,NA,NA,NA
"2824","1415_6",NA,NA,NA,NA
"2825","1416_1",4000,NA,NA,NA
"2826","1416_10",4000,0,0,2
"2827","1416_11",9600,NA,NA,NA
"2828","1416_12",8000,NA,NA,NA
"2829","1416_13",4000,NA,NA,NA
"2830","1416_14",6000,NA,NA,NA
"2831","1416_15",3200,0,0,2
"2832","1416_16",6000,NA,NA,NA
"2833","1416_17",8800,NA,NA,NA
"2834","1416_19",NA,0,NA,NA
"2835","1416_2",800,NA,NA,NA
"2836","1416_20",NA,NA,NA,NA
"2837","1416_3",7200,NA,NA,NA
"2838","1416_4",4000,NA,NA,NA
"2839","1416_5",4000,NA,NA,NA
"2840","1416_6",7600,NA,NA,NA
"2841","1416_7",8000,0,0,2
"2842","1416_8",9600,NA,NA,NA
"2843","1416_9",7600,NA,NA,NA
"2844","1417_1",3600,NA,NA,NA
"2845","1417_10",NA,0,NA,NA
"2846","1417_11",9600,NA,NA,NA
"2847","1417_12",NA,NA,NA,NA
"2848","1417_13",4000,NA,NA,NA
"2849","1417_14",12000,NA,NA,NA
"2850","1417_15",4000,NA,NA,NA
"2851","1417_16",NA,NA,NA,NA
"2852","1417_17",15000,NA,NA,NA
"2853","1417_18",7200,NA,NA,NA
"2854","1417_19",15200,NA,NA,NA
"2855","1417_2",1000,NA,NA,NA
"2856","1417_20",14000,NA,NA,NA
"2857","1417_7",NA,NA,NA,NA
"2858","1417_8",7400,0,0,2
"2859","1417_9",1000,NA,NA,NA
"2860","1418_1",7600,NA,NA,NA
"2861","1418_10",NA,NA,NA,NA
"2862","1418_11",7200,0,0,2
"2863","1418_12",NA,NA,NA,NA
"2864","1418_13",800,NA,NA,NA
"2865","1418_14",3400,NA,NA,NA
"2866","1418_15",3200,500,0.15625,2
"2867","1418_16",4800,NA,NA,NA
"2868","1418_17",NA,0,NA,NA
"2869","1418_18",NA,NA,NA,NA
"2870","1418_19",6000,NA,NA,NA
"2871","1418_2",2800,0,0,2
"2872","1418_20",NA,NA,NA,NA
"2873","1418_3",4400,NA,NA,NA
"2874","1418_5",NA,NA,NA,NA
"2875","1418_7",NA,NA,NA,NA
"2876","1418_8",4800,NA,NA,NA
"2877","1418_9",3600,NA,NA,NA
"2878","1419_1",6000,NA,NA,NA
"2879","1419_10",NA,NA,NA,NA
"2880","1419_11",NA,NA,NA,NA
"2881","1419_12",3000,300,0.1,2
"2882","1419_14",4000,NA,NA,NA
"2883","1419_15",8000,NA,NA,NA
"2884","1419_16",4000,0,0,2
"2885","1419_17",10800,NA,NA,NA
"2886","1419_18",11200,NA,NA,NA
"2887","1419_19",5600,0,0,2
"2888","1419_2",7200,0,0,2
"2889","1419_20",4000,200,0.05,2
"2890","1419_3",7200,NA,NA,NA
"2891","1419_4",8400,NA,NA,NA
"2892","1419_5",3200,NA,NA,NA
"2893","1419_6",NA,NA,NA,NA
"2894","1419_7",NA,NA,NA,NA
"2895","1419_8",18000,NA,NA,NA
"2896","1419_9",NA,NA,NA,NA
"2897","142_1",NA,NA,NA,NA
"2898","142_2",14000,NA,NA,NA
"2899","142_3",11200,NA,NA,NA
"2900","142_4",8000,2000,0.25,2
"2901","142_5",1600,NA,NA,NA
"2902","1420_1",17200,3000,0.174418604651163,2
"2903","1420_2",6400,1493,0.23328125,2
"2904","1420_3",6800,1500,0.220588235294118,2
"2905","1420_4",2000,1632,0.816,1
"2906","1420_5",10800,1600,0.148148148148148,2
"2907","1421_1",16800,NA,NA,NA
"2908","1421_2",4000,NA,NA,NA
"2909","1421_3",12000,3200,0.266666666666667,2
"2910","1421_4",8800,NA,NA,NA
"2911","1421_5",16000,NA,NA,NA
"2912","1422_4",5600,NA,NA,NA
"2913","1423_2",8000,NA,NA,NA
"2914","1424_1",10000,2000,0.2,2
"2915","1424_2",5600,2300,0.410714285714286,1
"2916","1424_3",6000,1600,0.266666666666667,2
"2917","1424_4",19200,1600,0.0833333333333333,2
"2918","1424_5",12000,1500,0.125,2
"2919","1425_1",16800,1200,0.0714285714285714,2
"2920","1425_2",8000,2000,0.25,2
"2921","1425_3",7200,1500,0.208333333333333,2
"2922","1425_5",12000,3200,0.266666666666667,2
"2923","1426_1",5200,1200,0.230769230769231,2
"2924","1426_2",10000,1200,0.12,2
"2925","1426_4",2800,1500,0.535714285714286,1
"2926","1426_5",6800,NA,NA,NA
"2927","1427_1",20000,6000,0.3,2
"2928","1427_2",18000,7500,0.416666666666667,1
"2929","1427_3",56000,7000,0.125,2
"2930","1427_4",52800,NA,NA,NA
"2931","1427_5",32000,7000,0.21875,2
"2932","1428_1",11600,1800,0.155172413793103,2
"2933","1428_2",8800,2800,0.318181818181818,1
"2934","1428_3",10000,800,0.08,2
"2935","1428_4",20000,3200,0.16,2
"2936","1428_5",26200,2300,0.0877862595419847,2
"2937","1429_1",NA,NA,NA,NA
"2938","1429_3",1e+05,18000,0.18,2
"2939","1429_4",10000,22000,2.2,1
"2940","1429_5",NA,20000,NA,NA
"2941","143_1",2000,0,0,2
"2942","143_3",1600,NA,NA,NA
"2943","143_4",16000,2500,0.15625,2
"2944","143_5",2000,NA,NA,NA
"2945","1430_1",NA,NA,NA,NA
"2946","1430_2",50000,25000,0.5,1
"2947","1430_3",NA,NA,NA,NA
"2948","1430_4",NA,NA,NA,NA
"2949","1430_5",NA,NA,NA,NA
"2950","1431_3",32000,1200,0.0375,2
"2951","1431_4",22000,2000,0.0909090909090909,2
"2952","1431_5",NA,0,NA,NA
"2953","1432_1",8400,1240,0.147619047619048,2
"2954","1432_4",8000,1800,0.225,2
"2955","1433_1",20000,1300,0.065,2
"2956","1433_2",6000,3000,0.5,1
"2957","1433_3",NA,800,NA,NA
"2958","1433_4",8000,NA,NA,NA
"2959","1433_5",26000,NA,NA,NA
"2960","1434_1",8800,2786,0.316590909090909,1
"2961","1434_2",42500,2800,0.0658823529411765,2
"2962","1434_3",45000,3000,0.0666666666666667,2
"2963","1434_4",24500,3900,0.159183673469388,2
"2964","1434_5",13000,0,0,2
"2965","1435_1",4800,1500,0.3125,1
"2966","1435_5",8000,1130,0.14125,2
"2967","1436_1",NA,NA,NA,NA
"2968","1437_1",NA,1500,NA,NA
"2969","1437_2",4800,1500,0.3125,1
"2970","1437_4",5600,2000,0.357142857142857,1
"2971","1437_5",NA,1200,NA,NA
"2972","1438_1",8000,1690,0.21125,2
"2973","1438_2",8800,1000,0.113636363636364,2
"2974","1438_3",3600,1800,0.5,1
"2975","1438_5",10000,6020,0.602,1
"2976","1439_1",4000,6000,1.5,1
"2977","1439_2",10000,3500,0.35,1
"2978","1439_3",NA,NA,NA,NA
"2979","1439_4",16000,1500,0.09375,2
"2980","1439_5",12000,NA,NA,NA
"2981","144_1",23000,7000,0.304347826086957,1
"2982","144_4",10600,2200,0.207547169811321,2
"2983","144_5",15600,NA,NA,NA
"2984","1440_1",8000,1350,0.16875,2
"2985","1440_2",30000,NA,NA,NA
"2986","1440_3",NA,NA,NA,NA
"2987","1440_4",6000,NA,NA,NA
"2988","1441_1",NA,NA,NA,NA
"2989","1441_2",9200,1700,0.184782608695652,2
"2990","1441_3",25000,2000,0.08,2
"2991","1441_5",5000,NA,NA,NA
"2992","1442_1",NA,NA,NA,NA
"2993","1442_3",19500,3300,0.169230769230769,2
"2994","1442_4",20000,0,0,2
"2995","1442_5",50000,NA,NA,NA
"2996","1443_1",10800,1200,0.111111111111111,2
"2997","1443_2",15000,NA,NA,NA
"2998","1443_4",1200,NA,NA,NA
"2999","1443_5",5200,NA,NA,NA
"3000","1444_1",12000,0,0,2
"3001","1444_2",30000,NA,NA,NA
"3002","1444_3",20000,NA,NA,NA
"3003","1444_4",8000,1800,0.225,2
"3004","1444_5",25000,NA,NA,NA
"3005","1445_1",27000,NA,NA,NA
"3006","1445_2",13200,NA,NA,NA
"3007","1445_3",10000,NA,NA,NA
"3008","1445_4",11000,2500,0.227272727272727,2
"3009","1445_5",NA,NA,NA,NA
"3010","1446_1",31000,NA,NA,NA
"3011","1446_2",6000,NA,NA,NA
"3012","1446_3",6000,0,0,2
"3013","1446_4",NA,NA,NA,NA
"3014","1446_5",16800,0,0,2
"3015","1447_1",6400,NA,NA,NA
"3016","1447_2",16800,1500,0.0892857142857143,2
"3017","1447_3",10400,1600,0.153846153846154,2
"3018","1447_4",6600,0,0,2
"3019","1447_5",21200,1500,0.0707547169811321,2
"3020","1448_1",22700,NA,NA,NA
"3021","1448_2",4000,NA,NA,NA
"3022","1448_3",4000,NA,NA,NA
"3023","1448_4",2800,700,0.25,2
"3024","1448_5",8800,NA,NA,NA
"3025","1449_1",NA,3000,NA,NA
"3026","1449_3",10000,0,0,2
"3027","1449_5",NA,NA,NA,NA
"3028","145_1",46000,1500,0.0326086956521739,2
"3029","145_3",40000,1200,0.03,2
"3030","1450_1",3600,NA,NA,NA
"3031","1450_3",NA,0,NA,NA
"3032","1450_4",15600,NA,NA,NA
"3033","1450_5",20000,NA,NA,NA
"3034","1451_1",40000,NA,NA,NA
"3035","1451_3",10800,NA,NA,NA
"3036","1451_4",10800,NA,NA,NA
"3037","1451_5",18000,2800,0.155555555555556,2
"3038","1452_2",3600,NA,NA,NA
"3039","1452_3",8000,NA,NA,NA
"3040","1452_4",5200,1300,0.25,2
"3041","1452_5",8000,1900,0.2375,2
"3042","1453_1",38000,3800,0.1,2
"3043","1453_2",8400,1500,0.178571428571429,2
"3044","1453_3",NA,NA,NA,NA
"3045","1454_1",4400,0,0,2
"3046","1454_2",10000,1500,0.15,2
"3047","1454_4",NA,NA,NA,NA
"3048","1455_1",6400,NA,NA,NA
"3049","1455_2",5800,NA,NA,NA
"3050","1455_3",8800,NA,NA,NA
"3051","1455_5",19000,0,0,2
"3052","1456_1",NA,NA,NA,NA
"3053","1456_4",11000,NA,NA,NA
"3054","1456_5",NA,NA,NA,NA
"3055","1457_1",31000,NA,NA,NA
"3056","1457_3",20000,NA,NA,NA
"3057","1457_4",NA,10000,NA,NA
"3058","1457_5",NA,NA,NA,NA
"3059","1458_1",NA,NA,NA,NA
"3060","1458_2",NA,4500,NA,NA
"3061","1458_3",NA,NA,NA,NA
"3062","1458_4",34000,3200,0.0941176470588235,2
"3063","1458_5",23200,3000,0.129310344827586,2
"3064","1459_1",4000,NA,NA,NA
"3065","1459_2",10800,NA,NA,NA
"3066","1459_3",9800,NA,NA,NA
"3067","1459_4",NA,NA,NA,NA
"3068","1459_5",29000,NA,NA,NA
"3069","146_1",NA,NA,NA,NA
"3070","146_2",10000,3000,0.3,2
"3071","146_3",18000,3500,0.194444444444444,2
"3072","146_4",4800,NA,NA,NA
"3073","146_5",10000,NA,NA,NA
"3074","1460_1",NA,NA,NA,NA
"3075","1460_2",10800,0,0,2
"3076","1460_3",17000,NA,NA,NA
"3077","1460_4",8000,NA,NA,NA
"3078","1460_5",15200,NA,NA,NA
"3079","1461_1",15000,2500,0.166666666666667,2
"3080","1461_2",NA,NA,NA,NA
"3081","1461_3",8000,0,0,2
"3082","1461_4",NA,NA,NA,NA
"3083","1461_5",8000,4000,0.5,1
"3084","1462_1",17800,0,0,2
"3085","1462_2",400,NA,NA,NA
"3086","1462_3",14000,NA,NA,NA
"3087","1462_4",NA,0,NA,NA
"3088","1463_1",7000,NA,NA,NA
"3089","1463_2",24000,0,0,2
"3090","1463_3",8000,900,0.1125,2
"3091","1463_4",12800,NA,NA,NA
"3092","1464_1",8800,1300,0.147727272727273,2
"3093","1464_2",11200,1200,0.107142857142857,2
"3094","1464_3",3200,1500,0.46875,1
"3095","1465_1",22000,NA,NA,NA
"3096","1465_2",6000,200,0.0333333333333333,2
"3097","1465_3",4000,200,0.05,2
"3098","1466_1",4000,0,0,2
"3099","1466_2",20000,NA,NA,NA
"3100","1466_3",6000,NA,NA,NA
"3101","1466_4",1200,0,0,2
"3102","1466_5",4600,NA,NA,NA
"3103","1467_1",2000,NA,NA,NA
"3104","1467_2",9600,3000,0.3125,1
"3105","1467_3",33000,6300,0.190909090909091,2
"3106","1467_4",NA,NA,NA,NA
"3107","1467_5",15000,NA,NA,NA
"3108","1468_1",17000,6300,0.370588235294118,1
"3109","1468_3",NA,NA,NA,NA
"3110","1468_4",10000,2000,0.2,2
"3111","1468_5",NA,NA,NA,NA
"3112","1469_3",2000,3800,1.9,1
"3113","1469_5",10000,0,0,2
"3114","147_1",12000,1200,0.1,2
"3115","147_2",11000,NA,NA,NA
"3116","147_3",9800,NA,NA,NA
"3117","147_4",9600,2000,0.208333333333333,2
"3118","147_5",9600,2200,0.229166666666667,2
"3119","1470_2",6000,NA,NA,NA
"3120","1470_3",1200,NA,NA,NA
"3121","1471_1",NA,1700,NA,NA
"3122","1471_2",NA,0,NA,NA
"3123","1471_3",1600,0,0,2
"3124","1471_4",6800,1200,0.176470588235294,2
"3125","1472_1",12000,NA,NA,NA
"3126","1472_2",11200,NA,NA,NA
"3127","1472_3",20000,NA,NA,NA
"3128","1472_4",4400,NA,NA,NA
"3129","1472_5",NA,NA,NA,NA
"3130","1473_1",2800,NA,NA,NA
"3131","1473_2",4800,1500,0.3125,1
"3132","1473_3",23700,NA,NA,NA
"3133","1473_5",12000,1800,0.15,2
"3134","1474_1",30000,NA,NA,NA
"3135","1474_3",20000,NA,NA,NA
"3136","1474_4",80000,NA,NA,NA
"3137","1474_5",8800,3500,0.397727272727273,1
"3138","1475_2",84000,NA,NA,NA
"3139","1475_4",NA,NA,NA,NA
"3140","1475_5",8000,2000,0.25,2
"3141","1476_2",41000,7500,0.182926829268293,2
"3142","1476_3",4000,6000,1.5,1
"3143","1476_4",45000,15000,0.333333333333333,1
"3144","1476_5",9400,NA,NA,NA
"3145","1477_2",40000,5500,0.1375,2
"3146","1477_3",NA,NA,NA,NA
"3147","1477_4",60000,20000,0.333333333333333,1
"3148","1478_1",85000,NA,NA,NA
"3149","1478_2",14000,NA,NA,NA
"3150","1478_3",NA,NA,NA,NA
"3151","1478_4",20000,NA,NA,NA
"3152","1478_5",38000,7000,0.184210526315789,2
"3153","1479_1",20000,NA,NA,NA
"3154","1479_2",8000,NA,NA,NA
"3155","1479_5",800,NA,NA,NA
"3156","148_1",5000,NA,NA,NA
"3157","148_2",6600,NA,NA,NA
"3158","148_3",10000,2000,0.2,2
"3159","148_4",16800,NA,NA,NA
"3160","148_5",5800,NA,NA,NA
"3161","1480_2",23200,NA,NA,NA
"3162","1480_3",8000,NA,NA,NA
"3163","1480_4",1000,2100,2.1,1
"3164","1480_5",5200,NA,NA,NA
"3165","1481_1",21400,3500,0.163551401869159,2
"3166","1481_2",8000,2200,0.275,2
"3167","1481_3",47000,2500,0.0531914893617021,2
"3168","1481_4",NA,NA,NA,NA
"3169","1481_5",10000,1000,0.1,2
"3170","1482_1",10000,NA,NA,NA
"3171","1482_2",22000,NA,NA,NA
"3172","1482_3",15600,1200,0.0769230769230769,2
"3173","1482_4",21000,3500,0.166666666666667,2
"3174","1482_5",6000,NA,NA,NA
"3175","1483_1",2400,0,0,2
"3176","1483_2",4800,0,0,2
"3177","1483_3",40000,NA,NA,NA
"3178","1483_4",3600,1250,0.347222222222222,1
"3179","1484_1",38000,NA,NA,NA
"3180","1484_2",NA,NA,NA,NA
"3181","1484_4",13200,2200,0.166666666666667,2
"3182","1485_1",20400,1656,0.0811764705882353,2
"3183","1485_2",NA,2000,NA,NA
"3184","1485_3",NA,NA,NA,NA
"3185","1485_4",10400,2000,0.192307692307692,2
"3186","1486_1",16000,0,0,2
"3187","1486_2",3600,NA,NA,NA
"3188","1486_3",NA,NA,NA,NA
"3189","1486_4",5000,NA,NA,NA
"3190","1486_5",16600,1600,0.0963855421686747,2
"3191","1487_1",12000,NA,NA,NA
"3192","1487_2",5400,0,0,2
"3193","1487_4",200,NA,NA,NA
"3194","1487_5",4400,1400,0.318181818181818,1
"3195","1488_1",NA,NA,NA,NA
"3196","1488_2",56000,NA,NA,NA
"3197","1488_3",4400,NA,NA,NA
"3198","1488_5",10400,2200,0.211538461538462,2
"3199","1489_1",15000,3700,0.246666666666667,2
"3200","1489_2",5600,12000,2.14285714285714,1
"3201","1489_3",NA,7000,NA,NA
"3202","1489_4",5600,NA,NA,NA
"3203","1489_5",9000,1900,0.211111111111111,2
"3204","149_1",11600,NA,NA,NA
"3205","149_2",20000,NA,NA,NA
"3206","149_3",13600,NA,NA,NA
"3207","149_4",8000,NA,NA,NA
"3208","149_5",4000,NA,NA,NA
"3209","1490_1",11600,1000,0.0862068965517241,2
"3210","1490_3",NA,NA,NA,NA
"3211","1490_4",NA,NA,NA,NA
"3212","1490_5",NA,1300,NA,NA
"3213","1491_2",38000,1700,0.0447368421052632,2
"3214","1491_3",NA,NA,NA,NA
"3215","1491_5",NA,NA,NA,NA
