Estado,mala_acc,mala_habit,mala_serv,mala_ubi,mala_aseq,mala_cul,mala_ten,mala_satis
Aguascalientes,0.17701786304995037,0.10483170691366192,0.00650481723453523,0.20841517118756203,0.012319612140258021,0.4286072403241813,0.2017268648693351,0.10351110238174
Baja California,0.1848182021513794,0.1826776565481474,0.027966009883204843,0.15518169300557066,0.010352377490896129,0.5490010204723529,0.22373332121813644,0.1047312173676007
Baja California Sur,0.14447101781517327,0.17084474404887298,0.07599846342581693,0.20644617653254688,0.006703924460030483,0.5763722805321834,0.24011863013585463,0.13879560671962066
Campeche,0.1616350686974284,0.22251520352923815,0.07901563458715526,0.22386274494574884,0.005766855917920359,0.4727151988691526,0.09524826605981997,0.20385932754964933
CDMX,0.18295463653269078,0.1302266739511357,0.0052115081865716254,0.09902306740364317,0.002502626894249951,0.4419818510835893,0.2689520585365423,0.031659498621661786
Chiapas,0.10641779994544676,0.3673275639140893,0.09598254296068269,0.31229396407278964,0.004253736366116057,0.5508581509282908,0.13888335877970762,0.2012490568310231
Chihuahua,0.16466666608293792,0.22687580499841078,0.019646558087284372,0.21889652503364465,0.009584242126010107,0.4781964182988452,0.16425251054432996,0.09449400787858675
Coahuila,0.11611016227332707,0.1485284187949319,0.008881562978556266,0.22761294479529376,0.015698852126941255,0.4125403256058219,0.1477858980639296,0.08473673061392012
Colima,0.14593499477169744,0.1871645172533984,0.016556291390728475,0.2018299058905542,0.012652492157546184,0.435051411641687,0.25383408853258976,0.10347682119205298
Durango,0.1343425695516847,0.23934220949119453,0.03195736883796478,0.23401931524496114,0.005402907688491667,0.39076764896502614,0.10897630801974732,0.14037958377007337
Guanajuato,0.1548859524139757,0.17996822554817235,0.04302979485304316,0.23402640305639966,0.004926931369705834,0.4379465130060901,0.1560453416384017,0.10297065906769724
Guerrero,0.1170963930262119,0.33311526483070036,0.167705688498023,0.32333414665071286,0.003949739116907803,0.5324455032960663,0.09488217375229478,0.20631979568330913
Hidalgo,0.12754094037112113,0.27299726811348124,0.05975141116350825,0.23547087991018967,0.005565299789827953,0.535509273360197,0.09919047002218417,0.17127213020630935
Jalisco,0.1450143668316561,0.10570484205158183,0.012346888949985386,0.18806846122690055,0.012516012534225844,0.4636787588583898,0.26231935216126934,0.058835926706175094
Mexico,0.19842844297479167,0.19684022251100708,0.03650483293820786,0.16433050307353878,0.00964142227858456,0.5408705456410501,0.16262434008996093,0.035405045992172514
Michoacan,0.10431262287476123,0.20989453136516478,0.07596162350630065,0.2709536865919681,0.007483043864835047,0.4624668519389191,0.1698616044204656,0.09977236650389397
Morelos,0.12455531445837258,0.28724734663010315,0.034289569858342396,0.20753263918158782,0.0016026891875718739,0.4452145678202907,0.1554868688760882,0.12608168511320295
Nayarit,0.1342121346816313,0.1953355928436493,0.028480942326925215,0.27275252805867317,0.00962329147683076,0.38047283031447937,0.19296588509834425,0.11252916990776753
Nuevo Leon,0.18965580544295074,0.14819897497013088,0.008132826536416247,0.1441072820457261,0.015527727870520008,0.38905150128053495,0.1815079314921317,0.07108880081135659
Oaxaca,0.12324048821925157,0.34387803460455135,0.20292573881164216,0.30116779183618725,0.0013797111816515402,0.5606992444225869,0.0654651942594,0.2006903026780525
Puebla,0.14660031486226816,0.25105488182177305,0.07404740180364108,0.24892414289759518,0.005296258359523302,0.5453683667131619,0.13971401370151942,0.14549270351557356
Queretaro,0.14137734156221962,0.1922973515915524,0.03924278537529945,0.20081926356905286,0.0065976092729035825,0.48333680734920503,0.15817345308115,0.14114473354298263
Quintana Roo,0.2153915298061152,0.09285806373058109,0.03998202250410044,0.21196971758858035,0.027539231766450123,0.5955636410517193,0.26141320307408017,0.1675756881226767
San Luis Potosi,0.13214285252343388,0.1981728887526467,0.11765246083144815,0.23612625512039973,0.008641462723748695,0.3886123086196036,0.14058512571575654,0.11782966190810637
Sinaloa,0.15952918215333337,0.16976515896940217,0.03345699487389884,0.26907221393562414,0.018526051789499547,0.4635325941456054,0.10163425621697675,0.1642496456465227
Sonora,0.16243237448796197,0.1707937615750244,0.03963904170201896,0.1927429728768098,0.016767249637353914,0.498939431261461,0.144711753382416,0.13922074426836722
Tabasco,0.10919623609822723,0.3451625714231283,0.1171478522869323,0.27631792982471565,0.007094318829620577,0.6272793485126257,0.08862109948019936,0.22869616062675033
Tamaulipas,0.18073746273449479,0.18057880526172781,0.03278319408844157,0.24972591209045947,0.009451045144226292,0.4852809567330621,0.1775329618025009,0.13239633586741936
Tlaxcala,0.1723998224494234,0.25327768493113956,0.02124350942418203,0.2817096094781026,0.006512173832739015,0.5550749376636608,0.09898742548684904,0.18042534683432684
Veracruz,0.1415726235459357,0.2983236634579879,0.11367794172445829,0.281648819128649,0.005041486884546578,0.46763584615203035,0.10611318222361608,0.14678440814798702
Yucatan,0.1514219679460463,0.09892623043988936,0.050143598681468574,0.2055090364869473,0.012698821657257607,0.4470821808812943,0.11083241768650778,0.1887879361952033
Zacatecas,0.1655610273170947,0.2460526025219177,0.030152595896914956,0.29286928869553697,0.004286376785990327,0.4503102709626129,0.11866925777885741,0.1422564759401983
