vid,estr_acc,estr_habit,estr_serv,estr_ubi,estr_aseq,estr_cul,estr_ten,estr_satis
1_1,Baja,Media,Muy Alta,Alta,Muy Alta,Alta,Muy Alta,Muy baja
1_2,Media,Media,Muy Alta,Alta,Muy Alta,Alta,Muy Alta,Baja
1_3,Media,Media,Muy Alta,Muy Alta,NA,Alta,Baja,NA
1_4,Muy baja,Media,Muy Alta,Muy Alta,NA,Alta,Baja,NA
1_5,Muy baja,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Muy Alta,Muy baja
2_1,Media,Media,Muy Alta,Muy Alta,Muy Alta,Baja,Baja,NA
2_2,Media,Media,Muy Alta,Alta,Muy Alta,Alta,Muy Alta,Baja
2_4,Media,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Muy Alta,Muy baja
3_1,Media,Media,Muy Alta,Media,Muy Alta,Baja,Baja,NA
3_2,Media,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Baja,NA
3_3,Media,Media,Muy Alta,Media,Muy Alta,Alta,Media,Media
3_4,Muy baja,Media,Muy Alta,Muy Alta,NA,Baja,Baja,NA
3_5,Media,Media,Muy Alta,Alta,NA,Alta,Muy Alta,Muy baja
4_1,Baja,Media,Muy Alta,Muy Alta,NA,Alta,Muy baja,NA
4_2,Muy baja,Media,Muy Alta,Muy Alta,NA,Alta,Muy Alta,Muy baja
4_3,Muy baja,Media,Muy Alta,Alta,Muy Alta,Baja,Baja,NA
4_4,Baja,Media,Muy Alta,Alta,NA,Baja,Muy baja,NA
4_5,Baja,Media,Muy Alta,Alta,NA,Baja,Baja,NA
5_1,Media,Media,Muy Alta,Alta,Muy Alta,Baja,Baja,NA
5_2,Media,Media,Muy Alta,Alta,NA,Baja,Baja,NA
5_3,Muy baja,Baja,Muy Alta,Baja,NA,Alta,Muy Alta,Baja
5_4,Muy Alta,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Muy Alta,Muy baja
5_5,Muy Alta,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Baja,NA
6_1,Media,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Baja,NA
6_2,Media,Media,Muy Alta,Media,Muy Alta,Alta,Baja,NA
6_3,Muy Alta,Media,Media,Muy Alta,NA,Baja,Baja,NA
6_4,Media,Media,Muy Alta,Alta,Muy Alta,Baja,Muy baja,NA
6_5,Muy Alta,Media,Muy Alta,Baja,Muy Alta,Baja,Baja,NA
7_1,Muy baja,Media,Muy Alta,Muy Alta,NA,Alta,Muy baja,NA
7_2,Muy Alta,Media,Muy Alta,Alta,Muy Alta,Alta,Muy Alta,Baja
7_3,Baja,Media,Muy Alta,Alta,Muy Alta,Baja,Muy baja,NA
7_4,Baja,Media,Muy Alta,Alta,NA,Alta,Muy baja,NA
7_5,Muy Alta,Media,Muy Alta,Media,Muy Alta,Baja,Baja,NA
8_1,Muy Alta,Baja,Muy Alta,Muy Alta,Muy Alta,Baja,Baja,NA
8_3,Muy Alta,Media,Muy Alta,Media,NA,Alta,Baja,NA
8_4,Baja,Media,Muy Alta,Muy Alta,NA,Alta,Muy Alta,Muy baja
8_5,Baja,Media,Muy Alta,Muy baja,NA,Baja,Baja,NA
9_1,Muy Alta,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Baja,NA
9_2,Media,Media,Muy Alta,Alta,Muy Alta,Alta,Baja,NA
9_3,Muy baja,Media,Alta,Alta,Muy Alta,Baja,Muy baja,NA
9_4,Muy baja,Media,Muy Alta,Alta,NA,Baja,Muy Alta,Muy baja
9_5,Media,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Baja,NA
10_1,Baja,Media,Muy Alta,Muy Alta,NA,Alta,Muy Alta,Muy baja
10_2,Media,Media,Muy Alta,Muy Alta,NA,Alta,Baja,NA
10_3,Baja,Media,Muy Alta,Alta,NA,Alta,Muy baja,NA
10_4,Muy baja,Media,Muy Alta,Alta,Muy Alta,Alta,Baja,NA
10_5,Media,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Muy baja,NA
11_1,Media,Baja,Muy Alta,Baja,Muy Alta,Baja,Muy Alta,Alta
11_2,Alta,Media,Muy Alta,Alta,Muy Alta,Alta,Muy baja,NA
11_4,Muy baja,Media,Muy Alta,Alta,Muy Alta,Alta,Baja,NA
11_5,Muy Alta,Baja,Muy Alta,Media,NA,Alta,Muy Alta,Alta
12_1,Muy baja,Baja,Muy baja,Media,Muy Alta,Alta,Muy Alta,Muy Alta
12_3,Media,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Baja,NA
12_4,Media,Baja,Alta,Alta,Muy Alta,Alta,Baja,NA
12_5,Media,Baja,Muy Alta,Muy Alta,Muy Alta,Alta,Muy baja,NA
13_1,Muy baja,Media,Muy Alta,Media,NA,Alta,Muy baja,NA
13_2,Muy baja,Media,Muy Alta,Baja,Muy Alta,Alta,Muy Alta,Muy baja
13_3,Media,Baja,Muy Alta,Muy Alta,NA,Alta,Baja,NA
13_4,Media,Media,Muy Alta,Alta,Muy Alta,Alta,Baja,NA
13_5,Muy Alta,Media,Muy Alta,Alta,NA,Baja,Baja,NA
14_1,Baja,Media,Muy Alta,Media,Muy Alta,Alta,Baja,NA
14_2,Media,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Baja,NA
14_3,Baja,Media,Muy Alta,Alta,NA,Alta,Muy Alta,Muy baja
14_4,Media,Media,Muy Alta,Alta,Muy Alta,Alta,Muy baja,NA
14_5,Muy Alta,Baja,Muy Alta,Alta,Muy Alta,Alta,Baja,NA
15_1,Muy baja,Media,Muy Alta,Media,NA,Baja,Muy Alta,Muy baja
15_2,Muy baja,Media,Muy Alta,Alta,NA,Alta,Muy Alta,Muy baja
15_3,Alta,Media,Muy Alta,Baja,NA,Alta,Muy Alta,Baja
15_4,Muy Alta,Media,Muy Alta,Alta,NA,Baja,Baja,NA
15_5,Muy baja,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Muy Alta,Muy baja
16_1,Baja,Baja,Muy Alta,Baja,Muy Alta,Baja,Muy Alta,Muy baja
16_2,Muy baja,Media,Muy Alta,Alta,Muy Alta,Baja,Baja,NA
16_3,Alta,Media,Muy Alta,Baja,Muy Alta,Alta,Muy Alta,Alta
16_4,Media,Media,Muy Alta,Muy Alta,NA,Baja,Muy Alta,Muy baja
16_5,Media,Media,Muy Alta,Media,Muy Alta,Baja,Muy Alta,Media
17_1,Alta,Baja,Media,Baja,Muy Alta,Alta,Baja,NA
17_2,Muy Alta,Media,Muy Alta,Muy baja,Muy Alta,Baja,Muy Alta,Muy Alta
17_3,Muy baja,Baja,Muy Alta,Alta,NA,Baja,Muy Alta,Muy baja
18_1,Muy baja,Baja,Muy Alta,Media,Muy Alta,Baja,Muy Alta,Baja
18_2,Muy baja,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Baja,NA
18_4,Media,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Muy Alta,Muy baja
18_5,Media,Media,Muy Alta,Muy Alta,Muy Alta,Baja,Baja,NA
19_1,Media,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Muy baja,NA
19_2,Media,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Baja,NA
19_3,Muy baja,Media,Muy Alta,Alta,NA,Alta,Baja,NA
19_4,Media,Baja,Muy Alta,Muy Alta,Muy Alta,Baja,Muy baja,NA
19_5,Baja,Muy Alta,Muy Alta,Media,Muy Alta,Baja,Muy Alta,Muy baja
20_1,Muy baja,Baja,Alta,Baja,Muy Alta,Baja,Muy baja,NA
20_2,Baja,Muy Alta,Muy Alta,Media,Muy Alta,Baja,Muy Alta,Muy Alta
20_3,Media,Media,Alta,Alta,Muy Alta,Baja,Muy Alta,Muy baja
20_4,Muy baja,Baja,Muy Alta,Alta,Muy Alta,Alta,Muy Alta,Muy baja
20_5,Muy baja,Media,Alta,Media,NA,Alta,Muy baja,NA
21_1,Media,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Muy Alta,Muy baja
21_3,Baja,Media,Muy Alta,Muy Alta,Muy Alta,Baja,Muy Alta,Baja
21_4,Muy baja,Baja,Muy Alta,Muy Alta,NA,Alta,Muy baja,NA
21_5,Baja,Media,Muy Alta,Media,Muy Alta,Baja,Baja,NA
22_1,Media,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Muy Alta,Muy baja
22_2,Baja,Baja,Muy Alta,Alta,Muy Alta,Baja,Alta,Muy baja
22_3,Muy baja,Media,Muy Alta,Muy Alta,NA,Alta,Muy Alta,Baja
22_4,Media,Baja,Muy Alta,Alta,Muy Alta,Baja,Muy baja,NA
22_5,Muy baja,Media,Muy Alta,Alta,Muy Alta,Alta,Muy baja,NA
23_1,Baja,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Baja,NA
23_2,Media,Muy Alta,Muy Alta,Alta,NA,Alta,Muy Alta,Muy baja
23_3,Media,Media,Muy Alta,Muy Alta,NA,Alta,Muy Alta,Muy baja
23_4,Baja,Muy Alta,Muy Alta,Media,Muy Alta,Baja,Muy baja,NA
23_5,Media,Baja,Muy Alta,Muy Alta,Muy Alta,Alta,Muy baja,NA
24_1,Media,Muy Alta,Muy Alta,Muy Alta,NA,Alta,Muy Alta,Muy baja
24_2,Media,Muy Alta,Muy Alta,Media,NA,Baja,Muy Alta,Baja
24_3,Baja,Muy Alta,Muy Alta,Muy Alta,Muy Alta,Alta,Muy Alta,Muy baja
24_4,Media,Media,Muy Alta,Muy Alta,Muy Alta,Baja,Baja,NA
24_5,Muy baja,Baja,Muy Alta,Media,Muy Alta,Alta,Alta,Muy baja
25_2,Media,Media,Muy Alta,Alta,Muy Alta,Alta,Baja,NA
25_3,Media,Baja,Muy Alta,Baja,Muy Alta,Alta,Baja,NA
25_4,Media,Media,Muy Alta,Baja,NA,Alta,Muy Alta,Baja
26_1,Alta,Baja,Muy Alta,Media,NA,Alta,Muy Alta,Media
26_3,Muy baja,Media,Muy Alta,Alta,Muy Alta,Baja,Baja,NA
26_4,Muy baja,Media,Muy Alta,Baja,Muy Alta,Baja,Muy baja,NA
27_1,Media,Media,Muy Alta,Muy Alta,NA,Baja,Muy Alta,Muy baja
27_2,Muy baja,Media,Muy Alta,Alta,Muy Alta,Alta,Media,Muy baja
27_3,Muy Alta,Media,Muy Alta,Media,NA,Alta,Muy baja,NA
27_4,Muy Alta,Media,Muy Alta,Alta,Muy Alta,Alta,Muy Alta,Muy baja
27_5,Muy baja,Media,Muy Alta,Baja,NA,Baja,Muy baja,NA
28_1,Alta,Media,Muy Alta,Baja,Muy Alta,Baja,Baja,NA
28_2,Media,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Muy Alta,Muy baja
28_3,Muy baja,Media,Muy Alta,Muy Alta,Muy Alta,Baja,Baja,NA
28_4,Media,Baja,Media,Muy baja,NA,Baja,Baja,NA
28_5,Muy baja,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Muy Alta,Muy baja
29_1,Muy baja,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Muy Alta,Muy baja
29_2,Muy baja,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Muy Alta,Muy baja
29_4,Muy baja,Media,Muy Alta,Muy Alta,Muy Alta,Baja,Media,Muy baja
29_5,Media,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Muy Alta,Muy baja
30_1,Muy baja,Alta,Muy Alta,Media,Muy Alta,Alta,Baja,NA
30_2,Muy baja,Muy Alta,Muy Alta,Media,Muy Alta,Alta,Baja,NA
30_3,Media,Baja,Muy Alta,Alta,Muy Alta,Baja,Muy Alta,Baja
30_4,Media,Media,Muy Alta,Alta,Muy Alta,Baja,Baja,NA
30_5,Baja,Baja,Muy Alta,Media,NA,Baja,Muy Alta,Media
31_3,Baja,Media,Muy Alta,Muy Alta,NA,Alta,Muy Alta,Muy baja
31_4,Media,Media,Muy Alta,Alta,Muy Alta,Alta,Muy Alta,Muy baja
31_5,Muy baja,Media,Muy Alta,Muy Alta,NA,Alta,Muy Alta,Muy baja
32_1,Media,Media,Muy Alta,Muy Alta,NA,Alta,Muy baja,NA
32_4,Media,Media,Muy Alta,Muy Alta,NA,Baja,Muy baja,NA
32_5,Media,Baja,Muy Alta,Media,Muy Alta,Baja,Baja,NA
33_1,Media,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Baja,NA
33_2,Muy baja,Media,Muy Alta,Alta,Muy Alta,Baja,Muy Alta,Muy baja
33_3,Muy baja,Alta,Muy Alta,Baja,Muy Alta,Alta,Muy baja,NA
33_4,Baja,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Baja,NA
33_5,Alta,Media,Muy Alta,Media,Muy Alta,Baja,Muy Alta,Baja
34_1,Muy baja,Media,Muy Alta,Media,NA,Alta,Muy Alta,Muy baja
34_2,Muy baja,Muy Alta,Muy Alta,Alta,NA,Alta,Muy Alta,Muy baja
34_3,Alta,Media,Muy Alta,Muy Alta,NA,Baja,Muy Alta,Media
34_4,Alta,Media,Muy Alta,Muy Alta,NA,Alta,Media,Muy baja
35_1,Media,Media,Muy Alta,Muy Alta,NA,Alta,Muy Alta,Muy baja
35_2,Alta,Media,Muy Alta,Alta,Muy Alta,Alta,Baja,NA
35_3,Media,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Muy Alta,Muy baja
35_4,Media,Media,Muy Alta,Muy Alta,NA,Alta,Muy Alta,Muy baja
35_5,Baja,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Muy Alta,Muy baja
36_1,Media,Media,Muy Alta,Alta,Muy Alta,Alta,Muy Alta,Baja
36_2,Muy baja,Media,Muy Alta,Alta,NA,Baja,Muy baja,NA
36_3,Baja,Media,Muy Alta,Muy Alta,NA,Alta,Muy Alta,Muy baja
36_4,Media,Media,Muy Alta,Alta,Muy Alta,Alta,Baja,NA
36_5,Baja,Alta,Muy Alta,Media,Muy Alta,Alta,Muy Alta,Muy baja
37_1,Media,Media,Muy Alta,Alta,NA,Alta,Baja,NA
37_3,Media,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Muy baja,NA
37_4,Baja,Media,Muy Alta,Muy Alta,Muy Alta,Baja,Baja,NA
37_5,Baja,Baja,Muy Alta,Alta,Muy Alta,Baja,Baja,NA
38_1,Media,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Muy Alta,Muy baja
38_4,Media,Media,Muy Alta,Alta,Muy Alta,Alta,Muy Alta,Muy baja
38_5,Muy baja,Media,Muy Alta,Muy Alta,NA,Alta,Muy Alta,Muy baja
39_1,Media,Baja,Muy Alta,Alta,Muy Alta,Baja,Muy baja,NA
39_2,Muy baja,Baja,Muy Alta,Alta,NA,Baja,Muy Alta,Media
39_3,Muy baja,Media,Muy Alta,Media,Muy Alta,Alta,Muy Alta,Muy baja
39_4,Muy Alta,Alta,Muy Alta,Muy Alta,Muy Alta,Alta,Baja,NA
39_5,Muy baja,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Muy baja,NA
40_1,Baja,Baja,Muy Alta,Alta,Muy Alta,Alta,Muy Alta,Alta
40_2,Media,Baja,Muy Alta,Muy Alta,Muy Alta,Alta,Baja,NA
40_3,Muy baja,Baja,Muy Alta,Media,Muy Alta,Baja,Muy Alta,Muy Alta
40_4,Baja,Media,Muy Alta,Baja,NA,Baja,Muy Alta,Baja
40_5,Media,Media,Muy Alta,Muy Alta,NA,Alta,Baja,NA
41_1,Alta,Baja,Muy Alta,Media,NA,Alta,Muy Alta,Muy baja
41_2,Muy Alta,Media,Muy Alta,Muy Alta,Muy Alta,Baja,Muy Alta,Muy baja
41_3,Muy Alta,Media,Muy Alta,Media,NA,Alta,Muy Alta,Muy baja
41_4,Muy baja,Media,Muy Alta,Muy Alta,NA,Baja,Baja,NA
41_5,Media,Media,Muy Alta,Muy Alta,Muy Alta,Baja,Baja,NA
42_1,Media,Media,Muy Alta,Alta,NA,Baja,Muy Alta,Baja
42_2,Muy Alta,Media,Muy Alta,Alta,NA,Alta,Muy Alta,Muy baja
42_3,Muy baja,Alta,Muy Alta,Media,NA,Baja,Muy Alta,Baja
42_4,Muy baja,Media,Muy Alta,Media,NA,Baja,Muy Alta,Media
42_5,Media,Alta,Muy Alta,Alta,Muy Alta,Baja,Baja,NA
43_1,Media,Media,Muy Alta,Muy Alta,NA,Alta,Muy Alta,Baja
43_2,Baja,Media,Muy Alta,Media,NA,Alta,Muy Alta,Baja
43_3,Media,Media,Muy Alta,Alta,NA,Alta,Muy Alta,Muy baja
43_4,Media,Baja,Muy Alta,Muy Alta,NA,Alta,Muy Alta,Muy baja
44_1,Media,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Muy baja,NA
44_2,Muy Alta,Muy Alta,Muy Alta,Muy Alta,NA,Alta,Muy Alta,Muy baja
44_4,Media,Muy Alta,Muy Alta,Muy Alta,NA,Alta,Muy Alta,Muy baja
45_1,Media,Media,Muy Alta,Muy Alta,NA,Alta,Muy Alta,Muy baja
45_2,Alta,Baja,Muy Alta,Muy Alta,NA,Alta,Muy Alta,Muy baja
45_3,Muy Alta,Media,Muy Alta,Muy Alta,NA,Alta,Muy Alta,Baja
45_4,Media,Media,Muy Alta,Muy Alta,NA,Alta,Muy Alta,Baja
45_5,Media,Media,Muy Alta,Muy Alta,NA,Baja,Muy baja,NA
46_1,Media,Media,Muy Alta,Media,NA,Alta,Muy Alta,Muy baja
46_2,Media,Media,Muy Alta,Muy Alta,NA,Alta,Baja,NA
46_3,Media,Media,Muy Alta,Alta,Muy Alta,Alta,Muy Alta,Muy baja
46_4,Media,Media,Muy Alta,Alta,Muy Alta,Baja,Muy Alta,Baja
47_2,Muy baja,Baja,Muy Alta,Media,Muy Alta,Alta,Muy baja,NA
47_3,Alta,Media,Muy Alta,Media,NA,Alta,Baja,NA
47_4,Media,Media,Muy Alta,Muy Alta,NA,Baja,Media,Baja
47_5,Media,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Muy Alta,Muy baja
48_1,Media,Media,Muy baja,Alta,Muy Alta,Alta,Muy baja,NA
48_3,Media,Media,Muy Alta,Alta,Muy Alta,Baja,Muy Alta,Media
48_4,Media,Media,Muy Alta,Alta,Muy Alta,Alta,Baja,NA
49_1,Muy baja,Media,Muy Alta,Media,Muy Alta,Alta,Muy Alta,Muy baja
49_2,Baja,Media,Muy Alta,Baja,NA,Alta,Muy Alta,Muy baja
49_3,Muy baja,Media,Media,Alta,Muy Alta,Baja,Baja,NA
49_4,Media,Media,Muy Alta,Media,NA,Baja,Muy Alta,Muy baja
49_5,Muy baja,Media,Muy Alta,Media,Muy Alta,Alta,Muy Alta,Muy baja
50_1,Muy baja,Media,Muy Alta,Media,Muy Alta,Baja,Muy baja,NA
50_3,Muy baja,Media,Muy Alta,Media,Muy Alta,Alta,Muy Alta,Muy baja
50_4,Muy baja,Media,Muy Alta,Media,Muy Alta,Baja,Muy Alta,Baja
50_5,Muy baja,Media,Muy Alta,Media,Muy Alta,Alta,Muy Alta,Muy baja
51_1,Media,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Muy Alta,Muy baja
51_2,Media,Baja,Alta,Muy Alta,NA,Baja,Muy Alta,Muy Alta
51_3,Alta,Media,Muy Alta,Alta,Muy Alta,Baja,Muy Alta,Baja
51_4,Media,Baja,Alta,Muy Alta,Muy Alta,Baja,Muy baja,NA
51_5,Muy baja,Media,Muy Alta,Media,Muy Alta,Baja,Muy Alta,Baja
52_2,Media,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Muy Alta,Muy baja
52_3,Muy baja,Media,Muy Alta,Muy Alta,NA,Alta,Muy Alta,Muy baja
52_4,Media,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Media,Muy baja
52_5,Media,Media,Muy Alta,Muy Alta,NA,Alta,Muy Alta,Muy baja
53_1,Baja,Media,Muy Alta,Media,Muy Alta,Baja,Muy Alta,Alta
53_2,Baja,Media,Muy Alta,Baja,Muy Alta,Baja,Baja,NA
53_3,Media,Media,Muy Alta,Muy Alta,NA,Alta,Muy Alta,Muy baja
53_4,Muy Alta,Baja,Muy Alta,Baja,NA,Baja,Muy Alta,Muy Alta
53_5,Baja,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Muy Alta,Muy baja
54_1,Media,Media,Muy Alta,Media,Muy Alta,Baja,Muy Alta,Media
54_2,Media,Media,Muy Alta,Baja,NA,Alta,Muy Alta,Muy baja
54_3,Media,Media,Muy Alta,Alta,Muy Alta,Baja,Media,Muy baja
54_4,Media,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Muy Alta,Muy baja
54_5,Alta,Media,Muy Alta,Baja,Muy Alta,Alta,Muy Alta,Alta
55_1,Media,Baja,Alta,Muy Alta,Muy Alta,Baja,Muy Alta,Media
55_2,Muy baja,Media,Muy Alta,Baja,NA,Alta,Muy Alta,Muy baja
55_4,Media,Media,Muy Alta,Media,Muy Alta,Baja,Muy baja,NA
55_5,Muy baja,Baja,Muy Alta,Media,NA,Baja,Muy baja,NA
56_1,Media,Baja,Muy Alta,Muy Alta,Muy Alta,Alta,Muy baja,NA
56_2,Media,Media,Muy Alta,Baja,NA,Alta,Media,Muy baja
56_3,Media,Baja,Alta,Alta,Muy Alta,Baja,Muy baja,NA
56_5,Muy baja,Media,Muy Alta,Media,NA,Alta,Muy Alta,Muy baja
57_1,Muy baja,Media,Muy Alta,Muy Alta,Muy Alta,Baja,Muy Alta,Media
57_2,Baja,Media,Muy Alta,Media,NA,Baja,Muy baja,NA
57_4,Media,Media,Alta,Alta,Muy Alta,Baja,Muy Alta,Baja
57_5,Media,Baja,Alta,Muy Alta,Muy Alta,Baja,Baja,NA
58_1,Alta,Media,Muy Alta,Media,NA,Alta,Baja,NA
58_2,Muy baja,Media,Muy Alta,Muy Alta,NA,Baja,Muy Alta,Media
58_3,Media,Media,Muy Alta,Muy Alta,NA,Alta,Muy Alta,Muy baja
58_5,Baja,Media,Muy Alta,Media,NA,Baja,Baja,NA
59_1,Baja,Media,Muy Alta,Alta,Muy Alta,Baja,Muy Alta,Media
59_2,Baja,Media,Muy Alta,Alta,NA,Baja,Baja,NA
59_3,Muy baja,Media,Muy Alta,Media,Muy Alta,Alta,Muy Alta,Muy baja
59_4,Baja,Baja,Muy Alta,Alta,Alta,Alta,Media,Media
59_5,Muy baja,Media,Muy Alta,Media,NA,Alta,Muy Alta,Baja
60_1,Muy baja,Media,Muy Alta,Muy Alta,NA,Baja,Muy Alta,Media
60_2,Baja,Baja,Muy Alta,Media,Muy Alta,Alta,Baja,NA
60_3,Muy baja,Media,Muy Alta,Muy Alta,NA,Alta,Muy Alta,Muy baja
60_4,Muy baja,Media,Muy Alta,Media,Muy Alta,Alta,Baja,NA
60_5,Muy baja,Media,Muy Alta,Media,NA,Alta,Muy Alta,Muy baja
61_1,Muy baja,Media,Muy Alta,Muy Alta,NA,Alta,Muy Alta,Muy baja
61_2,Media,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Muy Alta,Baja
61_3,Muy baja,Media,Muy Alta,Muy Alta,Muy Baja,Alta,Media,Alta
61_4,Muy baja,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Muy Alta,Muy baja
61_5,Media,Media,Muy Alta,Muy Alta,Muy Alta,Baja,Muy Alta,Baja
62_2,Muy baja,Baja,Muy Alta,Muy Alta,Muy Alta,Alta,Muy Alta,Muy baja
62_3,Muy baja,Media,Muy Alta,Muy Alta,NA,Alta,Muy Alta,Muy baja
62_5,Muy baja,Media,Muy Alta,Alta,Muy Alta,Alta,Muy Alta,Baja
63_1,Muy Alta,Media,Muy Alta,Muy Alta,NA,Baja,Baja,NA
63_2,Muy baja,Media,Muy Alta,Muy Alta,Muy Alta,Baja,Muy baja,NA
63_3,Muy Alta,Media,Muy Alta,Media,Muy Alta,Baja,Baja,NA
63_4,Media,Media,Muy Alta,Alta,Muy Alta,Baja,Muy baja,NA
63_5,Alta,Media,Muy Alta,Muy Alta,NA,Alta,Muy Alta,Muy baja
64_1,Muy baja,Media,Muy Alta,Baja,Muy Alta,Baja,Baja,NA
64_2,Media,Media,Muy Alta,Alta,Muy Alta,Baja,Baja,NA
64_3,Muy baja,Media,Muy Alta,Alta,Muy Alta,Alta,Muy Alta,Baja
64_4,Media,Media,Muy Alta,Alta,Muy Alta,Baja,Muy Alta,Media
64_5,Media,Media,Muy Alta,Alta,Muy Alta,Alta,Muy Alta,Muy baja
65_1,Muy Alta,Media,Muy Alta,Media,Muy Alta,Alta,Alta,Media
65_2,Muy Alta,Media,Muy Alta,Alta,Muy Alta,Alta,Muy Alta,Baja
65_3,Muy Alta,Media,Muy Alta,Alta,Muy Alta,Alta,Muy baja,NA
65_4,Muy Alta,Media,Muy Alta,Alta,Muy Alta,Alta,Muy Alta,Baja
65_5,Muy Alta,Baja,Muy Alta,Alta,Muy Alta,Baja,Muy Alta,Alta
66_1,Media,Media,Muy Alta,Media,NA,Alta,Muy Alta,Baja
66_2,Muy baja,Media,Muy Alta,Media,NA,Alta,Muy Alta,Muy baja
66_3,Baja,Baja,Muy Alta,Muy Alta,NA,Baja,Muy Alta,Media
66_4,Alta,Media,Muy Alta,Alta,Muy Alta,Alta,Muy Alta,Muy baja
66_5,Media,Media,Muy Alta,Alta,Muy Alta,Alta,Muy Alta,Muy baja
67_1,Baja,Media,Muy Alta,Baja,NA,Baja,Media,Media
67_2,Muy baja,Media,Muy Alta,Baja,Muy Alta,Alta,Media,Muy baja
67_3,Muy baja,Media,Muy Alta,Media,Muy Alta,Baja,Alta,Baja
67_5,Muy baja,Baja,Muy Alta,Baja,Muy Alta,Baja,Media,Alta
68_1,Muy baja,Media,Muy Alta,Alta,NA,Alta,Alta,Media
68_2,Baja,Media,Muy Alta,Media,NA,Alta,Muy Alta,Muy baja
68_3,Muy baja,Media,Muy Alta,Alta,NA,Baja,Alta,Baja
68_4,Alta,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Muy Alta,Muy baja
68_5,Muy baja,Media,Muy Alta,Baja,NA,Alta,Muy Alta,Media
69_1,Baja,Media,Muy Alta,Alta,Muy Alta,Alta,Baja,NA
69_2,Muy baja,Media,Muy Alta,Baja,NA,Alta,Muy Alta,Muy baja
69_3,Muy baja,Media,Muy Alta,Media,Muy Alta,Alta,Muy Alta,Muy baja
69_4,Muy baja,Media,Muy Alta,Media,NA,Alta,Muy Alta,Muy baja
69_5,Media,Media,Muy Alta,Alta,Muy Alta,Baja,Muy Alta,Media
70_1,Media,Media,Muy Alta,Alta,Muy Alta,Baja,Muy Alta,Muy baja
70_3,Muy baja,Media,Muy Alta,Media,Muy Alta,Baja,Muy baja,NA
70_5,Muy baja,Media,Muy Alta,Muy baja,Muy Alta,Alta,Muy Alta,Baja
71_1,Media,Media,Muy Alta,Muy Alta,Alta,Baja,Muy Alta,Baja
71_2,Muy baja,Media,Muy Alta,Alta,Muy Alta,Baja,Muy Alta,Muy baja
71_3,Media,Media,Muy Alta,Media,NA,Baja,Muy Alta,Baja
71_4,Muy baja,Media,Muy Alta,Baja,NA,Alta,Muy Alta,Baja
71_5,Muy Alta,Media,Muy Alta,Alta,Muy Alta,Alta,Muy Alta,Media
72_1,Media,Media,Muy Alta,Media,Muy Alta,Baja,Muy Alta,Media
72_2,Muy baja,Media,Muy Alta,Media,Muy Alta,Baja,Muy Alta,Muy baja
72_3,Muy Alta,Baja,Muy Alta,Muy baja,NA,Baja,Alta,Baja
72_4,Muy baja,Media,Muy Alta,Media,Alta,Baja,Muy Alta,Media
72_5,Muy baja,Baja,Muy Alta,Baja,NA,Baja,Muy Alta,Alta
73_1,Muy baja,Media,Muy Alta,Baja,Muy Alta,Baja,Baja,NA
73_2,Baja,Media,Muy Alta,Baja,NA,Baja,Media,Alta
73_3,Baja,Baja,Muy Alta,Media,Muy Alta,Baja,Muy Alta,Media
