uid,vid,X.U.FEFF.FOLIO,VIV_SEL,HOGAR,CONSEC,P7_4_2,P7_4_3,P7_5,P7_6,P7_7,P7_8,P7_8A,P7_8B,ENT,TLOC,EST_DIS,UPM_DIS,FACTOR
784_1_1,784_1,784,1,1,1,1,NA,1,1,2,NA,1,35000,3,2,34,784,202
784_1_1,784_1,784,1,1,2,1,NA,1,3,1,50000,2,NA,3,2,34,784,202
785_10_1,785_10,785,10,1,1,2,NA,7,1,2,NA,2,NA,3,2,36,785,156
791_6_1,791_6,791,6,1,1,2,NA,5,3,2,NA,2,NA,3,2,35,791,136
792_20_1,792_20,792,20,1,1,1,NA,4,1,2,NA,2,NA,3,2,34,792,192
795_14_1,795_14,795,14,1,1,1,2,5,1,2,NA,2,NA,3,2,36,795,126
802_10_1,802_10,802,10,1,1,2,NA,2,1,2,NA,2,NA,3,2,38,802,114
802_13_1,802_13,802,13,1,1,1,NA,4,1,2,NA,2,NA,3,2,38,802,114
804_1_1,804_1,804,1,1,1,1,NA,6,1,2,NA,2,NA,3,3,40,804,116
804_10_1,804_10,804,10,1,1,8,NA,3,3,2,NA,2,NA,3,3,40,804,116
807_17_1,807_17,807,17,1,1,2,NA,3,3,2,NA,2,NA,3,3,41,807,99
808_6_1,808_6,808,6,1,1,2,NA,2,1,1,20000,2,NA,3,3,41,808,106
808_17_1,808_17,808,17,1,1,2,NA,2,1,2,NA,2,NA,3,3,41,808,106
829_15_1,829_15,829,15,1,1,1,NA,2,2,1,0,2,NA,3,4,43,829,95
831_10_1,831_10,831,10,1,1,1,NA,2,1,2,NA,1,15000,3,4,43,831,127
846_3_1,846_3,846,3,1,1,1,NA,4,1,2,NA,2,NA,3,2,34,846,432
855_5_1,855_5,855,5,1,1,1,NA,3,3,2,NA,1,11000,4,1,45,855,99
856_2_1,856_2,856,2,1,2,3,NA,8,1,2,NA,2,NA,4,1,45,856,98
856_2_1,856_2,856,2,1,1,3,NA,8,1,1,999999999,2,NA,4,1,45,856,98
856_5_1,856_5,856,5,1,2,2,NA,3,5,2,NA,1,5000,4,1,45,856,98
856_5_1,856_5,856,5,1,1,2,NA,3,5,2,NA,2,NA,4,1,45,856,98
859_1_1,859_1,859,1,1,1,2,NA,2,9,9,NA,9,NA,4,1,44,859,180
859_1_1,859_1,859,1,1,2,2,NA,99,3,2,NA,2,NA,4,1,44,859,180
876_1_1,876_1,876,1,1,1,1,NA,7,1,2,NA,2,NA,4,1,44,876,223
879_1_1,879_1,879,1,1,1,2,NA,4,1,2,NA,2,NA,4,1,45,879,129
885_5_1,885_5,885,5,1,1,2,1,3,1,2,NA,2,NA,4,1,44,885,164
891_4_1,891_4,891,4,1,1,1,NA,5,3,2,NA,2,NA,4,1,46,891,145
897_1_1,897_1,897,1,1,1,1,NA,5,1,2,NA,2,NA,4,1,45,897,127
898_1_1,898_1,898,1,1,3,1,NA,5,1,2,NA,2,NA,4,1,45,898,94
898_1_1,898_1,898,1,1,2,1,NA,5,2,2,NA,2,NA,4,1,45,898,94
898_1_1,898_1,898,1,1,1,1,NA,7,1,2,NA,2,NA,4,1,45,898,94
899_1_1,899_1,899,1,1,2,1,NA,4,1,2,NA,2,NA,4,1,45,899,110
899_1_1,899_1,899,1,1,1,3,NA,5,1,2,NA,2,NA,4,1,45,899,110
899_3_1,899_3,899,3,1,1,1,NA,11,1,2,NA,2,NA,4,1,45,899,110
900_3_1,900_3,900,3,1,1,1,NA,5,4,1,20000,1,20000,4,1,44,900,150
912_5_1,912_5,912,5,1,1,1,NA,3,1,1,15000,1,20000,4,1,45,912,146
924_3_1,924_3,924,3,1,1,5,NA,5,3,2,NA,2,NA,4,1,45,924,165
924_3_1,924_3,924,3,1,2,1,NA,8,3,2,NA,2,NA,4,1,45,924,165
926_3_1,926_3,926,3,1,1,2,NA,4,1,1,10000,1,600,4,1,44,926,166
934_1_1,934_1,934,1,1,1,2,NA,2,1,2,NA,2,NA,4,1,44,934,137
948_3_1,948_3,948,3,1,1,1,NA,3,1,2,NA,2,NA,4,1,46,948,170
953_5_1,953_5,953,5,1,1,2,NA,3,1,2,NA,2,NA,4,1,46,953,120
1005_3_1,1005_3,1005,3,1,1,1,NA,3,1,2,NA,2,NA,4,1,49,1005,129
1012_1_1,1012_1,1012,1,1,1,2,NA,4,2,2,NA,2,NA,4,1,49,1012,141
1013_1_1,1013_1,1013,1,1,1,2,NA,4,1,2,NA,2,NA,4,1,50,1013,201
1031_4_1,1031_4,1031,4,1,1,2,NA,2,1,2,NA,2,NA,4,1,51,1031,162
1031_4_1,1031_4,1031,4,1,2,1,NA,3,1,2,NA,2,NA,4,1,51,1031,162
1031_4_1,1031_4,1031,4,1,3,1,NA,2,3,2,NA,2,NA,4,1,51,1031,162
1033_3_1,1033_3,1033,3,1,1,1,NA,4,1,2,NA,2,NA,4,1,51,1033,159
1033_3_1,1033_3,1033,3,1,2,2,NA,3,3,2,NA,2,NA,4,1,51,1033,159
1033_3_1,1033_3,1033,3,1,3,2,NA,5,1,2,NA,2,NA,4,1,51,1033,159
1035_2_1,1035_2,1035,2,1,1,2,NA,3,1,1,10000,2,NA,4,1,49,1035,160
1042_8_1,1042_8,1042,8,1,1,2,NA,4,3,1,90000,2,NA,4,2,52,1042,137
1042_8_1,1042_8,1042,8,1,2,3,NA,1,3,1,20000,2,NA,4,2,52,1042,137
1042_8_1,1042_8,1042,8,1,3,2,NA,1,3,2,NA,2,NA,4,2,52,1042,137
1059_3_1,1059_3,1059,3,1,1,1,NA,1,3,2,NA,2,NA,4,3,55,1059,240
1069_14_1,1069_14,1069,14,1,1,1,NA,6,1,2,NA,2,NA,4,3,54,1069,170
1072_5_1,1072_5,1072,5,1,1,2,NA,2,1,2,NA,2,NA,4,1,49,1072,224
1086_17_1,1086_17,1086,17,1,1,1,NA,3,1,2,NA,2,NA,4,4,56,1086,172
1087_12_1,1087_12,1087,12,1,1,1,NA,3,1,1,3000,2,NA,4,4,56,1087,176
1088_18_1,1088_18,1088,18,1,1,1,NA,3,1,2,NA,2,NA,4,4,56,1088,152
1091_9_1,1091_9,1091,9,1,1,1,NA,3,1,2,NA,2,NA,4,4,56,1091,146
1091_14_1,1091_14,1091,14,1,1,1,NA,3,1,2,NA,2,NA,4,4,56,1091,146
1092_11_1,1092_11,1092,11,1,1,1,NA,3,1,1,11000,1,9000,4,4,56,1092,209
1092_18_1,1092_18,1092,18,1,1,1,NA,2,1,1,30000,2,NA,4,4,56,1092,209
1092_20_1,1092_20,1092,20,1,1,1,NA,5,1,1,2000,2,NA,4,4,56,1092,209
1127_2_1,1127_2,1127,2,1,1,1,NA,5,1,1,25000,1,10000,5,1,76,1127,697
1135_1_1,1135_1,1135,1,1,1,2,NA,5,3,2,NA,2,NA,5,1,70,1135,291
1139_2_1,1139_2,1139,2,1,1,2,NA,6,1,2,NA,2,NA,5,1,70,1139,391
1147_1_1,1147_1,1147,1,1,1,1,NA,4,1,2,NA,2,NA,5,1,69,1147,390
1147_3_1,1147_3,1147,3,1,1,2,NA,5,1,2,NA,2,NA,5,1,69,1147,390
1155_5_1,1155_5,1155,5,1,1,1,NA,4,1,2,NA,2,NA,5,1,69,1155,588
1157_1_1,1157_1,1157,1,1,1,1,NA,6,1,2,NA,2,NA,5,1,69,1157,609
1158_4_1,1158_4,1158,4,1,1,2,NA,3,1,2,NA,1,999999999,5,1,69,1158,562
1160_2_1,1160_2,1160,2,1,1,2,NA,5,1,2,NA,2,NA,5,1,68,1160,514
1170_3_1,1170_3,1170,3,1,1,1,NA,7,1,1,40000,1,15000,5,1,75,1170,719
1174_5_1,1174_5,1174,5,1,1,1,NA,6,1,2,NA,2,NA,5,1,74,1174,451
1199_2_1,1199_2,1199,2,1,1,1,3,2,1,2,NA,2,NA,5,1,58,1199,717
1265_3_1,1265_3,1265,3,1,1,1,NA,4,1,2,NA,2,NA,5,1,58,1265,760
1265_3_1,1265_3,1265,3,1,3,3,NA,4,1,2,NA,2,NA,5,1,58,1265,760
1265_3_1,1265_3,1265,3,1,2,2,NA,5,1,2,NA,2,NA,5,1,58,1265,760
1269_3_1,1269_3,1269,3,1,1,2,NA,4,1,1,50000,2,NA,5,1,59,1269,744
1281_1_1,1281_1,1281,1,1,3,1,NA,4,3,2,NA,1,200000,5,1,65,1281,678
1281_1_1,1281_1,1281,1,1,2,1,NA,4,3,2,NA,1,200000,5,1,65,1281,678
1281_1_1,1281_1,1281,1,1,1,1,NA,4,3,1,180000,1,200000,5,1,65,1281,678
1310_1_1,1310_1,1310,1,1,5,3,NA,3,3,2,NA,2,NA,5,1,63,1310,432
1310_1_1,1310_1,1310,1,1,4,3,NA,3,3,2,NA,2,NA,5,1,63,1310,432
1310_1_1,1310_1,1310,1,1,3,3,NA,3,1,2,NA,2,NA,5,1,63,1310,432
1310_1_1,1310_1,1310,1,1,2,3,NA,3,1,2,NA,2,NA,5,1,63,1310,432
1310_1_1,1310_1,1310,1,1,1,3,NA,3,1,2,NA,2,NA,5,1,63,1310,432
1341_4_2,1341_4,1341,4,2,1,1,NA,3,3,2,NA,2,NA,5,1,64,1341,304
1383_1_1,1383_1,1383,1,1,1,3,NA,99,4,2,NA,2,NA,5,2,80,1383,850
1384_6_1,1384_6,1384,6,1,1,2,NA,5,1,1,30000,2,NA,5,2,80,1384,625
1387_12_1,1387_12,1387,12,1,1,1,NA,4,1,2,NA,2,NA,5,2,80,1387,419
1388_20_1,1388_20,1388,20,1,1,1,NA,4,1,2,NA,2,NA,5,2,79,1388,504
1389_9_1,1389_9,1389,9,1,1,1,NA,6,1,2,NA,2,NA,5,2,79,1389,488
1400_6_1,1400_6,1400,6,1,1,1,NA,5,1,2,NA,1,100000,5,2,78,1400,506
1400_10_1,1400_10,1400,10,1,1,1,NA,4,2,2,NA,2,NA,5,2,78,1400,506
