...1,...2,vid,EST_DIS,UPM_DIS,FACTOR,P6_3_1,P6_3_2,P6_3_3,P6_3_4,P6_3_5,P6_3_6,P6_4_1,P6_4_2,P6_4_3,P6_4_4,P6_4_5,p2distance.3,estratos...stratumID...
113,113,50_5,2,50,212,5,5,5,5,5,5,4,5,5,5,4,28.098352324306287,Alta
114,114,51_1,1,51,224,5,5,5,5,5,5,5,5,5,5,5,28.69174158129935,Muy Alta
115,115,51_2,1,51,224,2,2,2,4,4,3,4,2,2,2,4,12.848256051774218,Muy baja
116,116,51_3,1,51,224,4,3,2,5,5,5,5,5,4,4,5,23.260701306083288,Media
117,117,51_5,1,51,224,5,5,4,5,5,5,4,5,4,4,4,26.122171327494552,Alta
118,118,52_2,3,52,232,5,5,5,5,5,5,5,5,5,5,5,28.705442258282556,Muy Alta
119,119,52_3,3,52,232,5,5,5,4,4,5,4,5,5,5,5,26.38355413096062,Alta
120,120,52_4,3,52,232,5,5,5,5,5,5,5,5,5,5,5,28.705442258282556,Muy Alta
121,121,52_5,3,52,232,5,5,5,5,5,5,5,5,5,5,5,28.705442258282556,Muy Alta
122,122,53_1,1,53,188,4,4,4,4,4,4,3,4,3,3,4,19.55611446628184,Baja
123,123,53_3,1,53,188,5,5,5,5,4,5,5,5,5,5,5,27.603427660773516,Alta
124,124,53_4,1,53,188,3,2,2,2,2,2,2,2,2,2,2,7.98017795337831,Muy baja
125,125,53_5,1,53,188,5,5,5,5,5,5,5,5,5,5,5,28.63008853487492,Muy Alta
126,126,54_1,2,54,238,3,3,4,5,5,3,3,5,5,3,4,21.747203204613506,Media
127,127,54_2,2,54,238,5,5,5,5,5,5,5,5,5,2,5,27.382383171467218,Alta
128,128,54_3,2,54,238,4,4,5,5,5,4,5,5,5,5,5,26.535271085590818,Alta
129,129,54_4,2,54,238,5,5,5,5,5,5,5,5,5,5,5,28.71571776601996,Muy Alta
130,130,54_5,2,54,238,2,2,4,4,4,4,4,3,4,4,4,18.189202867253766,Baja
131,131,55_1,1,55,212,4,4,4,4,4,4,4,4,4,4,4,21.593731763226423,Media
132,132,55_2,1,55,212,5,5,5,5,5,5,5,5,5,5,5,28.67119056582454,Muy Alta
133,133,56_2,1,56,177,5,5,5,5,5,5,5,5,5,5,5,28.61125010402301,Muy Alta
134,134,56_5,1,56,177,5,5,5,5,5,5,5,5,5,5,5,28.61125010402301,Muy Alta
135,135,57_1,1,57,195,3,5,2,5,5,5,4,4,4,4,4,23.183072762654778,Media
136,136,57_4,1,57,195,4,4,4,4,4,4,5,5,5,5,5,24.139525073192562,Media
137,137,58_2,2,58,211,4,4,4,4,4,4,4,4,4,4,4,21.592019178603522,Media
138,138,58_3,2,58,211,5,5,5,5,5,5,5,5,5,5,5,28.669477981201638,Muy Alta
139,139,59_1,2,59,205,5,5,4,4,4,4,4,3,3,4,3,21.45945158548362,Baja
140,140,59_3,2,59,205,5,4,4,5,5,5,5,4,5,5,5,26.654889272587855,Alta
141,141,59_4,2,59,205,4,3,5,5,3,5,5,3,4,5,5,22.1816663132048,Media
142,142,59_5,2,59,205,3,3,3,5,5,5,5,5,5,5,5,24.642428384236975,Media
143,143,60_1,2,60,217,4,4,4,4,4,4,4,4,4,4,3,21.602294686340926,Media
144,144,60_3,2,60,217,5,5,5,5,5,5,5,5,5,5,5,28.679753488939042,Muy Alta
145,145,60_5,2,60,217,5,4,4,4,5,5,5,5,5,5,5,26.531443258920877,Alta
146,146,61_1,2,61,193,5,5,5,5,5,5,5,5,5,5,5,28.638651457989425,Muy Alta
147,147,61_2,2,61,193,3,4,3,5,5,4,5,5,5,5,5,24.729628975642868,Media
148,148,61_3,2,61,193,4,3,2,2,2,2,5,5,5,5,5,17.14879467896297,Muy baja
149,149,61_4,2,61,193,5,5,5,5,5,5,5,5,5,5,5,28.638651457989425,Muy Alta
150,150,61_5,2,61,193,2,4,4,5,5,5,5,5,5,5,5,25.46533276078031,Alta
151,151,62_2,2,62,228,5,5,5,5,5,5,5,5,5,5,5,28.698591919790953,Muy Alta
152,152,62_3,2,62,228,5,5,5,4,5,5,5,5,5,5,5,27.976202908088673,Alta
153,153,62_5,2,62,228,5,4,4,3,5,5,5,5,5,5,4,25.82789267807051,Alta
154,154,63_5,2,63,217,5,5,3,5,5,5,5,5,5,5,5,27.533643513319372,Alta
155,155,64_3,3,64,213,4,5,3,5,5,4,4,4,5,4,3,24.603537635975016,Media
156,156,64_4,3,64,213,3,4,4,5,5,4,4,4,4,4,4,22.762028407355263,Media
157,157,64_5,3,64,213,5,5,4,5,5,5,5,4,4,5,5,26.542224020451314,Alta
158,158,65_1,2,65,229,5,5,3,5,5,4,4,2,2,2,5,20.23003464253897,Baja
159,159,65_2,2,65,229,4,4,4,5,5,4,5,5,5,5,3,25.946802836174875,Alta
160,160,65_4,2,65,229,4,4,4,5,5,4,5,5,5,5,3,25.946802836174875,Alta
