uid,vid,X.U.FEFF.FOLIO,VIV_SEL,HOGAR,N_INF,P3A1_1,P3A1_2,P4_1,P4_2_2,P7_1,ENT,TLOC,EST_DIS,UPM_DIS,FACTOR
2889_3_1,2889_3,2889,3,1,1,1,1,NA,1,2,10,2,150,2889,92
2889_4_1,2889_4,2889,4,1,2,2,NA,NA,2,2,10,2,150,2889,92
2889_5_1,2889_5,2889,5,1,1,2,NA,NA,1,2,10,2,150,2889,92
2890_2_1,2890_2,2890,2,1,1,2,NA,NA,1,2,11,1,164,2890,705
2890_3_1,2890_3,2890,3,1,1,2,NA,1,1,2,11,1,164,2890,705
2890_3_2,2890_3,2890,3,2,2,2,NA,2,NA,2,11,1,164,2890,705
2890_4_1,2890_4,2890,4,1,1,2,NA,NA,1,2,11,1,164,2890,705
2890_5_1,2890_5,2890,5,1,1,2,NA,NA,1,2,11,1,164,2890,705
2891_1_1,2891_1,2891,1,1,1,2,NA,NA,1,2,11,1,165,2891,792
2891_2_1,2891_2,2891,2,1,1,2,NA,1,1,2,11,1,165,2891,792
2891_2_2,2891_2,2891,2,2,1,2,NA,2,NA,2,11,1,165,2891,792
2891_3_1,2891_3,2891,3,1,2,2,NA,NA,2,2,11,1,165,2891,792
2891_4_1,2891_4,2891,4,1,1,2,NA,NA,1,2,11,1,165,2891,792
2891_5_1,2891_5,2891,5,1,1,2,NA,NA,1,2,11,1,165,2891,792
2892_1_1,2892_1,2892,1,1,1,1,1,NA,1,2,11,1,164,2892,767
2892_2_1,2892_2,2892,2,1,1,2,NA,NA,1,2,11,1,164,2892,767
2892_3_1,2892_3,2892,3,1,1,2,NA,NA,1,2,11,1,164,2892,767
2892_4_1,2892_4,2892,4,1,1,2,NA,NA,1,2,11,1,164,2892,767
2892_5_1,2892_5,2892,5,1,2,2,NA,NA,2,2,11,1,164,2892,767
2893_2_1,2893_2,2893,2,1,3,2,NA,NA,3,2,11,1,164,2893,672
2893_3_1,2893_3,2893,3,1,2,2,NA,NA,2,2,11,1,164,2893,672
2893_4_1,2893_4,2893,4,1,2,2,NA,NA,2,1,11,1,164,2893,672
2894_2_1,2894_2,2894,2,1,2,1,1,NA,2,2,11,1,165,2894,808
2894_4_1,2894_4,2894,4,1,2,2,NA,NA,2,1,11,1,165,2894,808
2894_5_1,2894_5,2894,5,1,2,2,NA,NA,2,2,11,1,165,2894,808
2895_1_1,2895_1,2895,1,1,1,2,NA,NA,1,2,11,1,165,2895,993
2895_2_1,2895_2,2895,2,1,1,2,NA,NA,1,2,11,1,165,2895,993
2895_3_1,2895_3,2895,3,1,1,1,1,NA,1,2,11,1,165,2895,993
2895_4_1,2895_4,2895,4,1,1,2,NA,NA,1,2,11,1,165,2895,993
2895_5_1,2895_5,2895,5,1,1,2,NA,NA,1,2,11,1,165,2895,993
2896_1_1,2896_1,2896,1,1,1,1,1,1,1,2,11,1,164,2896,756
2896_1_2,2896_1,2896,1,2,1,2,NA,2,NA,2,11,1,164,2896,756
2896_1_3,2896_1,2896,1,3,1,1,1,2,NA,2,11,1,164,2896,756
2896_2_1,2896_2,2896,2,1,2,2,NA,NA,2,2,11,1,164,2896,756
2896_3_1,2896_3,2896,3,1,7,2,NA,NA,7,2,11,1,164,2896,756
2896_4_1,2896_4,2896,4,1,2,2,NA,NA,2,2,11,1,164,2896,756
2896_5_1,2896_5,2896,5,1,2,1,1,NA,2,2,11,1,164,2896,756
2897_1_1,2897_1,2897,1,1,1,2,NA,NA,1,2,11,1,164,2897,855
2897_2_1,2897_2,2897,2,1,1,2,NA,NA,1,2,11,1,164,2897,855
2897_3_1,2897_3,2897,3,1,1,2,NA,NA,1,2,11,1,164,2897,855
2897_4_1,2897_4,2897,4,1,1,2,NA,1,1,2,11,1,164,2897,855
2897_4_2,2897_4,2897,4,2,1,2,NA,2,NA,2,11,1,164,2897,855
2897_5_1,2897_5,2897,5,1,1,2,NA,NA,1,2,11,1,164,2897,855
2898_1_1,2898_1,2898,1,1,1,2,NA,NA,1,2,11,1,164,2898,737
2898_2_1,2898_2,2898,2,1,1,2,NA,NA,1,2,11,1,164,2898,737
2898_3_1,2898_3,2898,3,1,1,2,NA,NA,1,2,11,1,164,2898,737
2898_4_1,2898_4,2898,4,1,1,2,NA,NA,1,2,11,1,164,2898,737
2898_5_1,2898_5,2898,5,1,1,2,NA,NA,1,2,11,1,164,2898,737
2899_1_1,2899_1,2899,1,1,2,1,1,NA,1,2,11,1,164,2899,730
2899_2_1,2899_2,2899,2,1,2,2,NA,NA,2,2,11,1,164,2899,730
2899_3_1,2899_3,2899,3,1,1,2,NA,NA,1,2,11,1,164,2899,730
2899_4_1,2899_4,2899,4,1,1,2,NA,NA,1,2,11,1,164,2899,730
2899_5_1,2899_5,2899,5,1,3,2,NA,NA,1,2,11,1,164,2899,730
2900_3_1,2900_3,2900,3,1,1,2,NA,NA,1,2,11,1,165,2900,805
2900_4_1,2900_4,2900,4,1,1,1,2,NA,1,2,11,1,165,2900,805
2900_5_1,2900_5,2900,5,1,2,1,1,NA,2,1,11,1,165,2900,805
2901_1_1,2901_1,2901,1,1,1,2,NA,NA,1,2,11,1,164,2901,728
2901_2_1,2901_2,2901,2,1,2,2,NA,1,2,2,11,1,164,2901,728
2901_2_2,2901_2,2901,2,2,1,2,NA,2,NA,2,11,1,164,2901,728
2901_3_1,2901_3,2901,3,1,1,2,NA,NA,1,2,11,1,164,2901,728
2901_4_1,2901_4,2901,4,1,1,2,NA,NA,1,2,11,1,164,2901,728
2901_5_1,2901_5,2901,5,1,2,2,NA,NA,2,2,11,1,164,2901,728
2902_1_1,2902_1,2902,1,1,1,2,NA,NA,1,2,11,1,165,2902,854
2902_3_1,2902_3,2902,3,1,1,2,NA,NA,1,2,11,1,165,2902,854
2902_4_1,2902_4,2902,4,1,3,2,NA,NA,3,2,11,1,165,2902,854
2902_5_1,2902_5,2902,5,1,2,2,NA,NA,2,1,11,1,165,2902,854
2903_1_1,2903_1,2903,1,1,2,2,NA,NA,2,2,11,1,165,2903,918
2903_3_1,2903_3,2903,3,1,3,2,NA,NA,3,1,11,1,165,2903,918
2903_5_1,2903_5,2903,5,1,1,2,NA,NA,1,2,11,1,165,2903,918
2904_1_1,2904_1,2904,1,1,1,2,NA,NA,1,2,11,1,164,2904,706
2904_2_1,2904_2,2904,2,1,3,1,1,NA,3,2,11,1,164,2904,706
2904_3_1,2904_3,2904,3,1,2,2,NA,NA,2,2,11,1,164,2904,706
2904_4_1,2904_4,2904,4,1,1,2,NA,NA,1,2,11,1,164,2904,706
2904_5_1,2904_5,2904,5,1,1,1,1,NA,1,2,11,1,164,2904,706
2905_1_1,2905_1,2905,1,1,1,2,NA,NA,1,2,11,1,165,2905,945
2905_2_1,2905_2,2905,2,1,1,2,NA,NA,1,2,11,1,165,2905,945
2905_3_1,2905_3,2905,3,1,5,2,NA,NA,1,2,11,1,165,2905,945
2905_5_1,2905_5,2905,5,1,2,2,NA,NA,1,2,11,1,165,2905,945
2906_1_1,2906_1,2906,1,1,2,2,NA,NA,2,2,11,1,165,2906,981
2906_3_1,2906_3,2906,3,1,2,2,NA,NA,2,2,11,1,165,2906,981
2906_4_1,2906_4,2906,4,1,2,2,NA,NA,2,2,11,1,165,2906,981
2906_5_1,2906_5,2906,5,1,1,2,NA,NA,1,2,11,1,165,2906,981
2907_1_1,2907_1,2907,1,1,1,1,1,NA,1,1,11,1,166,2907,1086
2907_2_1,2907_2,2907,2,1,1,2,NA,NA,1,1,11,1,166,2907,1086
2907_4_1,2907_4,2907,4,1,1,2,NA,NA,1,2,11,1,166,2907,1086
2907_5_1,2907_5,2907,5,1,2,2,NA,NA,2,2,11,1,166,2907,1086
2908_1_1,2908_1,2908,1,1,2,2,NA,NA,2,2,11,1,164,2908,697
2908_2_1,2908_2,2908,2,1,1,2,NA,NA,1,2,11,1,164,2908,697
2908_3_1,2908_3,2908,3,1,1,2,NA,NA,1,2,11,1,164,2908,697
2908_4_1,2908_4,2908,4,1,1,2,NA,NA,1,2,11,1,164,2908,697
2908_5_1,2908_5,2908,5,1,4,2,NA,NA,1,2,11,1,164,2908,697
2909_1_1,2909_1,2909,1,1,1,2,NA,NA,1,2,11,1,165,2909,766
2909_2_1,2909_2,2909,2,1,1,2,NA,NA,1,2,11,1,165,2909,766
2909_3_1,2909_3,2909,3,1,1,2,NA,NA,1,2,11,1,165,2909,766
2909_4_1,2909_4,2909,4,1,2,2,NA,NA,2,1,11,1,165,2909,766
2909_5_1,2909_5,2909,5,1,4,2,NA,NA,1,2,11,1,165,2909,766
2910_1_1,2910_1,2910,1,1,2,1,1,NA,2,2,11,1,166,2910,1117
2910_2_1,2910_2,2910,2,1,1,2,NA,NA,1,2,11,1,166,2910,1117
2910_3_1,2910_3,2910,3,1,2,2,NA,NA,2,2,11,1,166,2910,1117
2910_4_1,2910_4,2910,4,1,1,2,NA,NA,1,2,11,1,166,2910,1117
2910_5_1,2910_5,2910,5,1,3,2,NA,NA,1,2,11,1,166,2910,1117
2911_1_1,2911_1,2911,1,1,1,2,NA,NA,1,2,11,1,165,2911,794
2911_2_1,2911_2,2911,2,1,1,1,1,NA,1,2,11,1,165,2911,794
2911_3_1,2911_3,2911,3,1,1,2,NA,NA,2,2,11,1,165,2911,794
2911_4_1,2911_4,2911,4,1,2,2,NA,NA,1,2,11,1,165,2911,794
2912_2_1,2912_2,2912,2,1,1,2,NA,NA,1,2,11,1,166,2912,1021
2912_3_1,2912_3,2912,3,1,1,2,NA,NA,1,2,11,1,166,2912,1021
2912_4_1,2912_4,2912,4,1,1,1,1,NA,1,1,11,1,166,2912,1021
2913_1_1,2913_1,2913,1,1,3,1,2,NA,3,2,11,1,166,2913,802
2913_2_1,2913_2,2913,2,1,2,1,1,NA,2,2,11,1,166,2913,802
2913_4_1,2913_4,2913,4,1,1,2,NA,NA,1,2,11,1,166,2913,802
2913_5_1,2913_5,2913,5,1,1,2,NA,NA,1,2,11,1,166,2913,802
2914_1_1,2914_1,2914,1,1,1,1,1,NA,1,2,11,1,166,2914,791
2914_2_1,2914_2,2914,2,1,1,2,NA,NA,1,2,11,1,166,2914,791
2914_3_1,2914_3,2914,3,1,1,2,NA,NA,1,2,11,1,166,2914,791
2914_4_1,2914_4,2914,4,1,1,2,NA,NA,1,2,11,1,166,2914,791
2914_5_1,2914_5,2914,5,1,1,2,NA,NA,1,2,11,1,166,2914,791
2915_2_1,2915_2,2915,2,1,3,2,NA,NA,3,2,11,1,163,2915,788
2915_3_1,2915_3,2915,3,1,2,2,NA,NA,2,1,11,1,163,2915,788
2915_4_1,2915_4,2915,4,1,2,1,1,NA,2,2,11,1,163,2915,788
2915_5_1,2915_5,2915,5,1,2,1,1,1,2,2,11,1,163,2915,788
2915_5_2,2915_5,2915,5,2,2,1,1,2,NA,2,11,1,163,2915,788
2916_1_1,2916_1,2916,1,1,2,2,NA,NA,2,2,11,1,161,2916,840
2916_2_1,2916_2,2916,2,1,1,2,NA,NA,1,2,11,1,161,2916,840
2916_3_1,2916_3,2916,3,1,3,2,NA,NA,3,1,11,1,161,2916,840
2916_5_1,2916_5,2916,5,1,1,1,1,NA,1,2,11,1,161,2916,840
2917_2_1,2917_2,2917,2,1,1,2,NA,NA,1,2,11,1,161,2917,721
2917_4_1,2917_4,2917,4,1,1,1,1,NA,1,2,11,1,161,2917,721
2917_5_1,2917_5,2917,5,1,1,2,NA,NA,1,1,11,1,161,2917,721
2918_1_1,2918_1,2918,1,1,1,2,NA,NA,1,2,11,1,162,2918,832
2918_2_1,2918_2,2918,2,1,2,2,NA,NA,2,2,11,1,162,2918,832
2918_3_1,2918_3,2918,3,1,1,1,1,NA,1,2,11,1,162,2918,832
2918_4_1,2918_4,2918,4,1,2,1,1,1,2,2,11,1,162,2918,832
2918_4_2,2918_4,2918,4,2,2,1,1,2,NA,2,11,1,162,2918,832
2918_5_1,2918_5,2918,5,1,1,2,NA,NA,1,2,11,1,162,2918,832
2919_1_1,2919_1,2919,1,1,1,2,NA,NA,1,2,11,1,161,2919,1145
2919_2_1,2919_2,2919,2,1,3,1,1,NA,3,2,11,1,161,2919,1145
2919_3_1,2919_3,2919,3,1,2,1,1,NA,2,2,11,1,161,2919,1145
2919_5_1,2919_5,2919,5,1,1,1,1,NA,1,2,11,1,161,2919,1145
2920_1_1,2920_1,2920,1,1,1,2,NA,NA,1,2,11,1,163,2920,922
2920_2_1,2920_2,2920,2,1,4,2,NA,NA,4,2,11,1,163,2920,922
2920_3_1,2920_3,2920,3,1,2,1,1,NA,2,2,11,1,163,2920,922
2920_4_1,2920_4,2920,4,1,2,2,NA,NA,2,2,11,1,163,2920,922
2920_5_1,2920_5,2920,5,1,2,2,NA,NA,2,2,11,1,163,2920,922
2921_1_1,2921_1,2921,1,1,1,2,NA,NA,1,2,11,1,161,2921,1065
2921_2_1,2921_2,2921,2,1,2,2,NA,NA,2,2,11,1,161,2921,1065
2921_3_1,2921_3,2921,3,1,1,2,NA,NA,1,1,11,1,161,2921,1065
2921_4_1,2921_4,2921,4,1,1,2,NA,NA,1,2,11,1,161,2921,1065
2921_5_1,2921_5,2921,5,1,1,2,NA,NA,1,1,11,1,161,2921,1065
2922_2_1,2922_2,2922,2,1,2,2,NA,NA,2,2,11,1,163,2922,776
2922_3_1,2922_3,2922,3,1,1,2,NA,NA,1,2,11,1,163,2922,776
2922_5_1,2922_5,2922,5,1,1,2,NA,NA,1,1,11,1,163,2922,776
2923_1_1,2923_1,2923,1,1,1,1,1,NA,1,2,11,1,162,2923,756
2923_2_1,2923_2,2923,2,1,2,1,1,NA,2,2,11,1,162,2923,756
2923_3_1,2923_3,2923,3,1,1,2,NA,NA,1,2,11,1,162,2923,756
2923_4_1,2923_4,2923,4,1,1,2,NA,NA,1,2,11,1,162,2923,756
2923_5_1,2923_5,2923,5,1,1,2,NA,NA,1,2,11,1,162,2923,756
2924_2_1,2924_2,2924,2,1,1,2,NA,NA,1,2,11,1,162,2924,889
2924_3_1,2924_3,2924,3,1,2,2,NA,NA,2,2,11,1,162,2924,889
2924_4_1,2924_4,2924,4,1,2,2,NA,NA,2,2,11,1,162,2924,889
2924_5_1,2924_5,2924,5,1,2,2,NA,NA,2,2,11,1,162,2924,889
2925_1_1,2925_1,2925,1,1,2,1,1,NA,2,1,11,1,161,2925,798
2925_2_1,2925_2,2925,2,1,1,2,NA,NA,1,2,11,1,161,2925,798
2925_4_1,2925_4,2925,4,1,2,2,NA,NA,2,2,11,1,161,2925,798
2925_5_1,2925_5,2925,5,1,1,1,1,NA,1,2,11,1,161,2925,798
2926_1_1,2926_1,2926,1,1,1,2,NA,NA,1,2,11,1,161,2926,888
2926_2_1,2926_2,2926,2,1,1,2,NA,NA,1,2,11,1,161,2926,888
2926_3_1,2926_3,2926,3,1,2,2,NA,NA,2,1,11,1,161,2926,888
2926_4_1,2926_4,2926,4,1,2,1,1,NA,2,2,11,1,161,2926,888
2926_5_1,2926_5,2926,5,1,2,2,NA,NA,2,2,11,1,161,2926,888
2927_1_1,2927_1,2927,1,1,1,1,1,NA,1,2,11,1,162,2927,755
2927_2_1,2927_2,2927,2,1,2,2,NA,1,2,2,11,1,162,2927,755
2927_2_2,2927_2,2927,2,2,1,2,NA,2,NA,2,11,1,162,2927,755
2927_3_1,2927_3,2927,3,1,2,2,NA,NA,2,2,11,1,162,2927,755
2927_4_1,2927_4,2927,4,1,1,2,NA,NA,1,2,11,1,162,2927,755
2928_1_1,2928_1,2928,1,1,1,1,1,NA,2,2,11,1,163,2928,920
2928_2_1,2928_2,2928,2,1,1,2,NA,NA,1,2,11,1,163,2928,920
2928_3_1,2928_3,2928,3,1,1,2,NA,NA,1,1,11,1,163,2928,920
2928_4_1,2928_4,2928,4,1,2,2,NA,NA,2,1,11,1,163,2928,920
2929_1_1,2929_1,2929,1,1,2,2,NA,NA,2,1,11,1,161,2929,776
2929_2_1,2929_2,2929,2,1,1,2,NA,NA,1,1,11,1,161,2929,776
2929_3_1,2929_3,2929,3,1,1,2,NA,1,1,2,11,1,161,2929,776
2929_3_2,2929_3,2929,3,2,1,2,NA,2,NA,2,11,1,161,2929,776
2929_4_1,2929_4,2929,4,1,2,2,NA,1,2,2,11,1,161,2929,776
2929_4_2,2929_4,2929,4,2,3,1,1,2,NA,2,11,1,161,2929,776
2929_5_1,2929_5,2929,5,1,1,1,1,NA,1,1,11,1,161,2929,776
2930_1_1,2930_1,2930,1,1,4,2,NA,NA,4,2,11,1,161,2930,880
2930_2_1,2930_2,2930,2,1,1,2,NA,NA,1,2,11,1,161,2930,880
2930_3_1,2930_3,2930,3,1,2,2,NA,NA,2,2,11,1,161,2930,880
2930_4_1,2930_4,2930,4,1,2,1,1,NA,2,2,11,1,161,2930,880
2930_5_1,2930_5,2930,5,1,3,2,NA,NA,3,2,11,1,161,2930,880
2931_1_1,2931_1,2931,1,1,1,1,1,NA,1,2,11,1,161,2931,673
2931_2_1,2931_2,2931,2,1,6,1,1,NA,6,2,11,1,161,2931,673
2931_3_1,2931_3,2931,3,1,1,2,NA,1,1,2,11,1,161,2931,673
2931_3_2,2931_3,2931,3,2,1,1,1,2,NA,2,11,1,161,2931,673
2931_4_1,2931_4,2931,4,1,1,1,1,NA,1,2,11,1,161,2931,673
2931_5_1,2931_5,2931,5,1,2,9,NA,NA,2,2,11,1,161,2931,673
2932_2_1,2932_2,2932,2,1,2,2,NA,NA,2,2,11,1,161,2932,473
2932_3_1,2932_3,2932,3,1,1,2,NA,NA,1,2,11,1,161,2932,473
2932_4_1,2932_4,2932,4,1,1,1,1,NA,1,2,11,1,161,2932,473
2933_1_1,2933_1,2933,1,1,1,2,NA,NA,1,2,11,1,162,2933,576
2933_2_1,2933_2,2933,2,1,1,2,NA,NA,1,2,11,1,162,2933,576
2933_3_1,2933_3,2933,3,1,1,1,1,NA,1,2,11,1,162,2933,576
2933_4_1,2933_4,2933,4,1,2,2,NA,NA,2,2,11,1,162,2933,576
2933_5_1,2933_5,2933,5,1,2,2,NA,NA,2,2,11,1,162,2933,576
2934_1_1,2934_1,2934,1,1,1,2,NA,NA,1,2,11,1,162,2934,868
2934_3_1,2934_3,2934,3,1,1,2,NA,NA,1,1,11,1,162,2934,868
2934_4_1,2934_4,2934,4,1,2,2,NA,NA,2,2,11,1,162,2934,868
2934_5_1,2934_5,2934,5,1,1,2,NA,NA,1,2,11,1,162,2934,868
2935_1_1,2935_1,2935,1,1,1,1,1,NA,1,2,11,1,161,2935,681
2935_2_1,2935_2,2935,2,1,1,2,NA,NA,1,2,11,1,161,2935,681
2935_3_1,2935_3,2935,3,1,1,1,1,NA,1,2,11,1,161,2935,681
2935_4_1,2935_4,2935,4,1,2,1,1,NA,2,2,11,1,161,2935,681
2935_5_1,2935_5,2935,5,1,1,2,NA,NA,1,2,11,1,161,2935,681
2936_1_1,2936_1,2936,1,1,1,1,1,NA,1,2,11,1,161,2936,714
2936_2_1,2936_2,2936,2,1,1,2,NA,NA,1,2,11,1,161,2936,714
2936_3_1,2936_3,2936,3,1,1,2,NA,NA,1,2,11,1,161,2936,714
2936_4_1,2936_4,2936,4,1,1,2,NA,NA,1,2,11,1,161,2936,714
2936_5_1,2936_5,2936,5,1,1,1,1,NA,1,2,11,1,161,2936,714
2937_1_1,2937_1,2937,1,1,1,2,NA,NA,1,2,11,1,162,2937,966
2937_2_1,2937_2,2937,2,1,1,2,NA,NA,1,2,11,1,162,2937,966
2937_3_1,2937_3,2937,3,1,2,1,1,NA,2,2,11,1,162,2937,966
2937_4_1,2937_4,2937,4,1,2,1,1,NA,2,2,11,1,162,2937,966
2937_5_1,2937_5,2937,5,1,1,2,NA,NA,1,2,11,1,162,2937,966
2938_1_1,2938_1,2938,1,1,1,2,NA,NA,1,2,11,1,162,2938,708
2938_2_1,2938_2,2938,2,1,1,2,NA,NA,1,2,11,1,162,2938,708
2938_4_1,2938_4,2938,4,1,2,2,NA,NA,2,2,11,1,162,2938,708
2938_5_1,2938_5,2938,5,1,2,2,NA,NA,2,2,11,1,162,2938,708
2939_1_1,2939_1,2939,1,1,1,2,NA,NA,1,2,11,1,161,2939,941
2939_2_1,2939_2,2939,2,1,2,1,1,NA,2,2,11,1,161,2939,941
2939_3_1,2939_3,2939,3,1,2,2,NA,NA,2,2,11,1,161,2939,941
2939_4_1,2939_4,2939,4,1,1,2,NA,NA,1,1,11,1,161,2939,941
2939_5_1,2939_5,2939,5,1,1,1,1,NA,1,2,11,1,161,2939,941
2940_1_1,2940_1,2940,1,1,1,2,NA,NA,1,2,11,1,161,2940,902
2940_2_1,2940_2,2940,2,1,2,2,NA,NA,2,2,11,1,161,2940,902
2940_3_1,2940_3,2940,3,1,1,2,NA,NA,1,2,11,1,161,2940,902
2940_4_1,2940_4,2940,4,1,3,2,NA,NA,3,2,11,1,161,2940,902
2940_5_1,2940_5,2940,5,1,1,2,NA,NA,1,2,11,1,161,2940,902
2941_1_1,2941_1,2941,1,1,1,2,NA,NA,1,2,11,1,157,2941,821
2941_2_1,2941_2,2941,2,1,2,2,NA,NA,1,2,11,1,157,2941,821
2941_3_1,2941_3,2941,3,1,2,2,NA,NA,1,2,11,1,157,2941,821
2941_4_1,2941_4,2941,4,1,1,2,NA,NA,1,2,11,1,157,2941,821
2941_5_1,2941_5,2941,5,1,1,2,NA,NA,1,2,11,1,157,2941,821
2942_1_1,2942_1,2942,1,1,2,2,NA,NA,1,2,11,1,157,2942,836
2942_2_1,2942_2,2942,2,1,2,2,NA,NA,1,2,11,1,157,2942,836
2942_3_1,2942_3,2942,3,1,1,2,NA,NA,1,1,11,1,157,2942,836
2942_4_1,2942_4,2942,4,1,2,2,NA,NA,1,2,11,1,157,2942,836
2942_5_1,2942_5,2942,5,1,1,2,NA,NA,1,2,11,1,157,2942,836
2943_1_1,2943_1,2943,1,1,2,2,NA,NA,2,2,11,1,156,2943,773
2943_2_1,2943_2,2943,2,1,1,2,NA,NA,1,2,11,1,156,2943,773
2943_3_1,2943_3,2943,3,1,1,2,NA,NA,1,2,11,1,156,2943,773
2943_4_1,2943_4,2943,4,1,1,2,NA,NA,1,2,11,1,156,2943,773
2943_5_1,2943_5,2943,5,1,2,2,NA,NA,1,1,11,1,156,2943,773
2944_1_1,2944_1,2944,1,1,1,2,NA,NA,2,2,11,1,157,2944,783
2944_2_1,2944_2,2944,2,1,1,2,NA,NA,1,2,11,1,157,2944,783
2944_3_1,2944_3,2944,3,1,1,2,NA,NA,1,2,11,1,157,2944,783
2944_4_1,2944_4,2944,4,1,1,2,NA,NA,1,2,11,1,157,2944,783
2944_5_1,2944_5,2944,5,1,2,2,NA,NA,1,1,11,1,157,2944,783
2945_1_1,2945_1,2945,1,1,1,2,NA,NA,1,2,11,1,156,2945,883
2945_2_1,2945_2,2945,2,1,1,1,2,NA,1,1,11,1,156,2945,883
2945_3_1,2945_3,2945,3,1,1,2,NA,NA,1,1,11,1,156,2945,883
2945_5_1,2945_5,2945,5,1,8,1,1,NA,8,2,11,1,156,2945,883
2946_1_1,2946_1,2946,1,1,2,2,NA,NA,1,2,11,1,157,2946,833
2946_3_1,2946_3,2946,3,1,1,2,NA,1,1,2,11,1,157,2946,833
2946_3_2,2946_3,2946,3,2,2,2,NA,2,NA,2,11,1,157,2946,833
2946_3_3,2946_3,2946,3,3,2,2,NA,2,NA,2,11,1,157,2946,833
2946_4_1,2946_4,2946,4,1,2,2,NA,NA,1,1,11,1,157,2946,833
2946_5_1,2946_5,2946,5,1,2,2,NA,NA,2,2,11,1,157,2946,833
2947_1_1,2947_1,2947,1,1,1,2,NA,1,1,2,11,1,156,2947,812
2947_1_2,2947_1,2947,1,2,1,2,NA,2,NA,2,11,1,156,2947,812
2947_2_1,2947_2,2947,2,1,2,2,NA,NA,2,2,11,1,156,2947,812
2947_3_1,2947_3,2947,3,1,1,1,1,NA,1,2,11,1,156,2947,812
2947_5_1,2947_5,2947,5,1,2,2,NA,NA,2,2,11,1,156,2947,812
2948_2_1,2948_2,2948,2,1,1,2,NA,NA,1,1,11,1,157,2948,1135
2948_4_1,2948_4,2948,4,1,1,2,NA,NA,1,1,11,1,157,2948,1135
2949_1_1,2949_1,2949,1,1,1,2,NA,NA,1,2,11,1,156,2949,842
2949_2_1,2949_2,2949,2,1,1,2,NA,NA,1,1,11,1,156,2949,842
2949_3_1,2949_3,2949,3,1,1,2,NA,NA,1,2,11,1,156,2949,842
2949_4_1,2949_4,2949,4,1,2,2,NA,NA,2,2,11,1,156,2949,842
2950_1_1,2950_1,2950,1,1,1,2,NA,NA,1,2,11,1,156,2950,680
2950_2_1,2950_2,2950,2,1,1,2,NA,NA,1,2,11,1,156,2950,680
2950_3_1,2950_3,2950,3,1,1,2,NA,NA,1,2,11,1,156,2950,680
2950_4_1,2950_4,2950,4,1,5,2,NA,2,NA,2,11,1,156,2950,680
2950_4_2,2950_4,2950,4,2,1,2,NA,1,1,2,11,1,156,2950,680
2950_5_1,2950_5,2950,5,1,1,1,1,NA,1,2,11,1,156,2950,680
2951_1_1,2951_1,2951,1,1,1,2,NA,1,1,2,11,1,156,2951,851
2951_1_2,2951_1,2951,1,2,5,2,NA,2,NA,2,11,1,156,2951,851
2951_2_1,2951_2,2951,2,1,1,2,NA,NA,1,2,11,1,156,2951,851
2951_3_1,2951_3,2951,3,1,3,2,NA,NA,3,2,11,1,156,2951,851
2951_4_1,2951_4,2951,4,1,1,1,1,NA,1,2,11,1,156,2951,851
2951_5_1,2951_5,2951,5,1,1,2,NA,2,NA,2,11,1,156,2951,851
2951_5_2,2951_5,2951,5,2,1,2,NA,1,1,2,11,1,156,2951,851
2951_5_3,2951_5,2951,5,3,1,2,NA,2,NA,2,11,1,156,2951,851
2952_1_1,2952_1,2952,1,1,4,2,NA,NA,4,2,11,1,156,2952,959
2952_2_1,2952_2,2952,2,1,1,2,NA,NA,1,2,11,1,156,2952,959
2952_4_1,2952_4,2952,4,1,3,2,NA,NA,1,1,11,1,156,2952,959
2952_5_1,2952_5,2952,5,1,1,1,1,NA,1,2,11,1,156,2952,959
2953_1_1,2953_1,2953,1,1,1,2,NA,NA,1,2,11,1,156,2953,781
2953_2_1,2953_2,2953,2,1,2,2,NA,NA,2,2,11,1,156,2953,781
2953_3_1,2953_3,2953,3,1,1,2,NA,NA,1,2,11,1,156,2953,781
2953_4_1,2953_4,2953,4,1,1,2,NA,NA,1,1,11,1,156,2953,781
2953_5_1,2953_5,2953,5,1,1,2,NA,NA,1,2,11,1,156,2953,781
2954_1_1,2954_1,2954,1,1,2,1,1,1,2,2,11,1,156,2954,983
2954_1_2,2954_1,2954,1,2,2,1,1,2,NA,2,11,1,156,2954,983
2954_2_1,2954_2,2954,2,1,6,1,2,NA,3,2,11,1,156,2954,983
2954_3_1,2954_3,2954,3,1,2,2,NA,NA,2,2,11,1,156,2954,983
2954_4_1,2954_4,2954,4,1,1,2,NA,NA,1,2,11,1,156,2954,983
2954_5_1,2954_5,2954,5,1,1,2,NA,NA,1,1,11,1,156,2954,983
2955_1_1,2955_1,2955,1,1,1,2,NA,NA,1,2,11,1,158,2955,833
2955_2_1,2955_2,2955,2,1,1,2,NA,NA,1,2,11,1,158,2955,833
2955_4_1,2955_4,2955,4,1,1,2,NA,NA,1,2,11,1,158,2955,833
2956_1_1,2956_1,2956,1,1,4,1,1,NA,1,1,11,1,158,2956,849
2956_4_1,2956_4,2956,4,1,2,2,NA,NA,2,2,11,1,158,2956,849
2956_5_1,2956_5,2956,5,1,1,2,NA,NA,1,2,11,1,158,2956,849
2957_1_1,2957_1,2957,1,1,2,2,NA,NA,1,2,11,1,156,2957,816
2957_2_1,2957_2,2957,2,1,5,2,NA,NA,1,2,11,1,156,2957,816
2957_3_1,2957_3,2957,3,1,2,2,NA,NA,2,2,11,1,156,2957,816
