"","vid","EST_DIS","UPM_DIS","FACTOR","P6_3_1","P6_3_2","P6_3_3","P6_3_4","P6_3_5","P6_3_6","P6_4_1","P6_4_2","P6_4_3","P6_4_4","P6_4_5"
"89","42_3",2,42,204,2,2,2,1,2,1,1,1,1,1,4
"90","42_4",2,42,204,1,1,2,1,2,1,3,2,2,2,3
"91","43_1",2,43,226,1,1,1,1,2,2,1,2,1,1,3
"92","43_2",2,43,226,2,2,2,2,2,2,1,1,1,1,1
"93","43_3",2,43,226,1,1,1,1,1,1,1,1,1,1,1
"94","43_4",2,43,226,1,1,1,2,2,2,1,1,1,1,1
"95","44_2",2,44,212,1,2,1,1,1,1,1,1,1,1,1
"96","44_4",2,44,212,1,2,2,1,1,1,1,1,1,1,1
"97","45_1",2,45,187,1,1,1,1,1,1,1,1,1,1,1
"98","45_2",2,45,187,1,1,1,1,1,1,1,1,1,1,1
"99","45_3",2,45,187,1,1,1,1,1,1,1,2,2,1,4
"100","45_4",2,45,187,2,2,2,2,2,1,1,1,1,1,1
"101","46_1",2,46,212,1,3,1,1,1,1,1,1,1,1,1
"102","46_3",2,46,212,1,1,3,1,1,1,1,1,1,1,1
"103","46_4",2,46,212,2,2,2,1,1,1,2,2,2,2,2
"104","47_4",2,47,188,1,1,1,1,1,1,4,1,1,1,3
"105","47_5",2,47,188,1,1,1,1,1,1,1,1,1,1,1
"106","48_3",1,48,320,3,3,3,1,1,1,1,3,3,1,1
"107","49_1",1,49,171,1,1,2,1,1,1,1,1,1,1,1
"108","49_2",1,49,171,1,1,3,1,1,1,1,1,1,1,1
"109","49_4",1,49,171,1,1,2,1,1,2,1,1,1,1,1
"110","49_5",1,49,171,2,2,1,1,1,1,1,1,1,1,1
"111","50_3",2,50,212,1,1,1,1,1,1,1,1,1,1,1
"112","50_4",2,50,212,2,3,3,1,1,2,1,1,1,1,1
"113","50_5",2,50,212,1,1,1,1,1,1,2,1,1,1,2
"114","51_1",1,51,224,1,1,1,1,1,1,1,1,1,1,1
"115","51_2",1,51,224,4,4,4,2,2,3,2,4,4,4,2
"116","51_3",1,51,224,2,3,4,1,1,1,1,1,2,2,1
"117","51_5",1,51,224,1,1,2,1,1,1,2,1,2,2,2
"118","52_2",3,52,232,1,1,1,1,1,1,1,1,1,1,1
"119","52_3",3,52,232,1,1,1,2,2,1,2,1,1,1,1
"120","52_4",3,52,232,1,1,1,1,1,1,1,1,1,1,1
"121","52_5",3,52,232,1,1,1,1,1,1,1,1,1,1,1
"122","53_1",1,53,188,2,2,2,2,2,2,3,2,3,3,2
"123","53_3",1,53,188,1,1,1,1,2,1,1,1,1,1,1
"124","53_4",1,53,188,3,4,4,4,4,4,4,4,4,4,4
"125","53_5",1,53,188,1,1,1,1,1,1,1,1,1,1,1
"126","54_1",2,54,238,3,3,2,1,1,3,3,1,1,3,2
"127","54_2",2,54,238,1,1,1,1,1,1,1,1,1,4,1
"128","54_3",2,54,238,2,2,1,1,1,2,1,1,1,1,1
"129","54_4",2,54,238,1,1,1,1,1,1,1,1,1,1,1
"130","54_5",2,54,238,4,4,2,2,2,2,2,3,2,2,2
"131","55_1",1,55,212,2,2,2,2,2,2,2,2,2,2,2
"132","55_2",1,55,212,1,1,1,1,1,1,1,1,1,1,1
"133","56_2",1,56,177,1,1,1,1,1,1,1,1,1,1,1
"134","56_5",1,56,177,1,1,1,1,1,1,1,1,1,1,1
"135","57_1",1,57,195,3,1,4,1,1,1,2,2,2,2,2
"136","57_4",1,57,195,2,2,2,2,2,2,1,1,1,1,1
"137","58_2",2,58,211,2,2,2,2,2,2,2,2,2,2,2
"138","58_3",2,58,211,1,1,1,1,1,1,1,1,1,1,1
"139","59_1",2,59,205,1,1,2,2,2,2,2,3,3,2,3
