Estado,credito,acc_bien,acc_mal,aseq_bien,aseq_mal,cul_bien,cul_mal,habit_bien,habit_mal,satis_bien,satis_mal,serv_bien,serv_mal,ten_bien,ten_mal,ubi_bien,ubi_mal
Aguascalientes,Infonavit,0.26133865173669096,0.738661348263309,0.7202071293837781,0.27979287061622193,0.47604916319248375,0.5239508368075162,0.9753823603618756,0.024617639638124304,0.7318371319068158,0.2681628680931842,1,0,1,0,0.8274963055518845,0.17250369444811553
Aguascalientes,Ninguno,0.31166826725202357,0.6883317327479764,0.7125386808127925,0.2874613191872075,0.5870680324995046,0.41293196750049543,0.8453682108504443,0.15463178914955564,0.44478361610341305,0.5552163838965869,0.9828318165881618,0.017168183411838234,0.5206132528467554,0.4793867471532446,0.6794599167695614,0.32054008323043853
Aguascalientes,Otro,0.29818190621444307,0.7018180937855569,0.5937492434696299,0.4062507565303701,0.6639310528481855,0.33606894715181446,0.955455491805263,0.04454450819473697,0.8151160820199966,0.1848839179800034,0.9719902195753747,0.028009780424625368,0.9960539375892706,0.003946062410729416,0.7402377321035175,0.25976226789648243
Baja California,Infonavit,0.426339461502787,0.573660538497213,0.8313149167403155,0.16868508325968445,0.3705340345289243,0.6294659654710757,0.8834976942798891,0.11650230572011096,0.7350653214445096,0.2649346785554904,0.9978474112057123,0.002152588794287764,0.9971561326904735,0.002843867309526518,0.8425285043008024,0.1574714956991976
Baja California,Ninguno,0.5585310085446639,0.44146899145533613,0.8410450036924411,0.1589549963075589,0.4488832661998964,0.5511167338001036,0.62648049742019,0.37351950257981,0.36488666104125617,0.6351133389587439,0.9457927603660844,0.05420723963391559,0.47427354436379177,0.5257264556362082,0.7970773991988076,0.20292260080119237
Baja California,Otro,0.4250701195299227,0.5749298804700773,0.7989705749298804,0.20102942507011953,0.6532526414202849,0.3467473585797151,0.895338433544781,0.104661566455219,0.8809325143506278,0.1190674856493722,0.9707458305268767,0.02925416947312336,0.9924904245373116,0.007509575462688368,0.8174077387833885,0.18259226121661154
Baja California Sur,Infonavit,0.39644731530076704,0.603552684699233,0.773039233677102,0.22696076632289794,0.4789151099203582,0.5210848900796418,0.9199911916908283,0.08000880830917165,0.6453187506881491,0.35468124931185085,1,0,0.996109663449187,0.0038903365508129333,0.7750211032407237,0.22497889675927624
Baja California Sur,Ninguno,0.47301111215255,0.52698888784745,0.8383530685995771,0.16164693140042283,0.41144645442142863,0.5885535455785713,0.6636777371616626,0.33632226283833744,0.3362181189531457,0.6637818810468543,0.8760739838160403,0.12392601618395975,0.5097062100998739,0.490293789900126,0.6967330063215338,0.30326699367846616
Baja California Sur,Otro,0.38692564012627145,0.6130743598737285,0.8092774465099964,0.1907225534900035,0.4601455629603648,0.5398544370396352,0.8789459838653104,0.12105401613468958,0.6714749210803227,0.3285250789196773,0.960233251490705,0.039766748509294986,0.9953963521571378,0.004603647842862153,0.8288319887758681,0.1711680112241319
Campeche,Infonavit,0.42591295209738156,0.5740870479026184,0.7794903231456345,0.22050967685436554,0.4429897539189071,0.557010246081093,0.9656712496716,0.034328750328400034,0.6068394780628776,0.39316052193712236,0.9816971713810316,0.018302828618968387,0.9936509326560995,0.0063490673439005165,0.7106576758034854,0.28934232419651457
Campeche,Ninguno,0.4848250291458823,0.5151749708541177,0.7796189056437896,0.22038109435621045,0.5301253750740592,0.4698746249259408,0.5677761213997669,0.43222387860023315,0.35604800947957876,0.6439519905204212,0.8877310169523919,0.11226898304760813,0.7043843051812778,0.2956156948187222,0.6613057355273971,0.33869426447260287
Campeche,Otro,0.4459331651954603,0.5540668348045398,0.8084410466582598,0.19155895334174022,0.5797209962168979,0.4202790037831021,0.7111049810844893,0.2888950189155107,0.5889423076923077,0.4110576923076923,0.9479429382093316,0.052057061790668345,1,0,0.7197745901639344,0.2802254098360656
CDMX,Infonavit,0.3845301553789379,0.6154698446210621,0.538757491951877,0.461242508048123,0.6997548485033545,0.30024515149664555,0.9293684513579299,0.0706315486420701,0.9314360992122,0.0685639007878,1,0,1,0,0.940622737146995,0.05937726285300507
CDMX,Ninguno,0.4909611360343778,0.5090388639656223,0.6714466556553264,0.3285533443446736,0.5491647886732501,0.45083521132674986,0.8361622796273874,0.16383772037261254,0.38063179314544066,0.6193682068545593,0.9905722689193256,0.009427731080674398,0.4045867073059776,0.5954132926940224,0.8790404561774319,0.12095954382256811
CDMX,Otro,0.44714919906889605,0.552850800931104,0.6352936016366376,0.3647063983633624,0.5705298708296913,0.4294701291703087,0.9190641340138036,0.08093586598619636,0.9263011801711201,0.07369881982887988,0.9942604898007776,0.005739510199222409,0.9936088423545777,0.006391157645422333,0.8829196311926089,0.11708036880739119
Chiapas,Infonavit,0.30444532936516255,0.6955546706348374,0.7239745981179133,0.27602540188208663,0.4371764508624484,0.5628235491375516,0.7164085259782449,0.28359147402175505,0.8218514870161172,0.1781485129838828,1,0,0.9836312954540691,0.016368704545930878,0.6961415127952549,0.303858487204745
Chiapas,Ninguno,0.5966600995085802,0.4033399004914198,0.7341566966394961,0.2658433033605039,0.4531165316137915,0.5468834683862085,0.2950612268201523,0.7049387731798478,0.3852809052914304,0.6147190947085696,0.8587178403013886,0.1412821596986113,0.7118495969099881,0.288150403090012,0.35031223651036497,0.649687763489635
Chiapas,Otro,0.6106962689980865,0.3893037310019135,0.8628078833602856,0.13719211663971445,0.42187187928846165,0.5781281207115383,0.35344333271053324,0.6465566672894667,0.573147867768808,0.42685213223119195,0.900652651517592,0.09934734848240805,1,0,0.44911830838911687,0.5508816916108831
Chihuahua,Infonavit,0.2693413579323003,0.7306586420676997,0.7559889084077105,0.24401109159228945,0.4720780192684906,0.5279219807315094,0.8483138101352575,0.15168618986474244,0.7300520706143703,0.2699479293856298,0.9939618568964023,0.006038143103597678,1,0,0.7911976241305153,0.20880237586948472
Chihuahua,Ninguno,0.33180946508237524,0.6681905349176247,0.7603655157474507,0.23963448425254927,0.5131679493296087,0.48683205067039126,0.571348264584283,0.428651735415717,0.4409299494598463,0.5590700505401537,0.9540553722336144,0.04594462776638568,0.537582179246775,0.462417820753225,0.6530032386630182,0.34699676133698176
Chihuahua,Otro,0.30512208419904807,0.6948779158009519,0.6236019627779497,0.3763980372220503,0.6626954304996832,0.33730456950031684,0.8999823173157685,0.10001768268423147,0.8778789620264356,0.12212103797356438,0.9755021145543227,0.02449788544567732,0.9909891988270486,0.009010801172951388,0.7238996212958461,0.27610037870415394
Coahuila,Infonavit,0.3835017776858868,0.6164982223141132,0.823723289104022,0.17627671089597802,0.5378908577891831,0.46210914221081695,0.9335506285751352,0.0664493714248649,0.7817074703347401,0.21829252966525992,0.9985040682047602,0.0014959317952397747,0.9982770433252659,0.0017229566747341582,0.766979231277542,0.23302076872245803
