X,Estado,Indice_Habitabilidad,Indice_Accesibilidad,Indice_Servicios,Indice_Ubicacion,,,,
1,02,61.21392075,22.98220268,77.92664979,18.53364849,,,,
2,02,62.95285515,23.51822674,77.92664979,31.27362449,,,,
3,02,64.85740605,23.51822674,77.92664979,0.15557306,,,,
4,02,62.43606065,21.90242582,77.92664979,0.142433295,,,,
5,02,66.06848531,22.89983362,77.92664979,0.150133957,,,,
6,02,60.98338505,23.51822674,77.92664979,0.151298518,,,,
7,02,64.85740605,23.51822674,77.92664979,49.95408686,,,,
8,02,64.85740605,23.51822674,77.92664979,0.155386715,,,,
9,02,61.22498139,23.51822674,77.92664979,18.53283347,,,,
10,02,62.43606065,23.51822674,77.92664979,0.155321191,,,,
11,02,66.06848531,23.51822674,77.92664979,0.148050669,,,,
12,02,66.06848531,22.89983362,77.92664979,18.52587574,,,,
13,02,66.06848531,23.51822674,77.92664979,0.151905162,,,,
14,02,66.06848531,22.98220268,77.92664979,0.156636476,,,,
15,02,64.85740605,21.90242582,77.92664979,0.154545821,,,,
16,02,64.85740605,22.89983362,77.92664979,0.147717635,,,,
17,02,60.98338505,22.98220268,77.92664979,0.13683893,,,,
18,02,66.06848531,22.98220268,77.92664979,0.148138268,,,,
19,01,64.85740605,23.51822674,77.92664979,49.94522396,,,,
20,01,62.43606065,23.51822674,77.92664979,0.152946418,,,,
21,01,61.47559201,21.90242582,77.92664979,49.89279268,,,,
22,01,66.06848531,52.51295321,77.92664979,0.148648183,,,,
23,01,66.06848531,51.89456008,77.92664979,0.155501644,,,,
24,02,66.06848531,23.51822674,77.92664979,0.156636476,,,,
25,02,66.06848531,23.51822674,77.92664979,18.47033233,,,,
26,02,60.98338505,51.89456008,79.58118437,0.153045739,,,,
27,02,66.06848531,23.51822674,77.92664979,0.151854933,,,,
28,02,62.95285515,50.89715228,77.92664979,18.46551414,,,,
29,02,66.06848531,22.89983362,77.92664979,0.148195685,,,,
30,02,64.85740605,52.51295321,77.92664979,0.143861054,,,,
31,02,61.21392075,22.98220268,77.92664979,0.149409248,,,,
32,02,59.32043049,22.98220268,77.92664979,49.96436037,,,,
33,02,61.21392075,51.89456008,77.92664979,18.48559004,,,,
34,01,60.26451274,52.51295321,77.92664979,0.138069808,,,,
35,01,64.1427094,52.51295321,77.92664979,0.13212524,,,,
36,01,66.06848531,22.98220268,77.92664979,0.156636476,,,,
37,01,66.06848531,22.98220268,77.92664979,49.88799332,,,,
38,01,66.06848531,51.89456008,77.92664979,0.156636476,,,,
39,01,66.06848531,23.51822674,77.92664979,18.51789744,,,,
40,01,64.85740605,21.90242582,78.02293214,0.113437409,,,,
41,01,64.85740605,22.89983362,77.92664979,0.143626486,,,,
42,01,66.06848531,23.51822674,77.92664979,0.147407829,,,,
43,01,64.85740605,22.98220268,77.92664979,0.154166657,,,,
44,01,62.43606065,23.51822674,77.92664979,0.156636476,,,,
45,01,66.06848531,22.98220268,77.92664979,0.144190993,,,,
46,01,60.51028474,22.89983362,77.92664979,0.146268712,,,,
47,01,66.06848531,23.51822674,77.92664979,0.154323299,,,,
48,01,59.5498161,23.51822674,77.92664979,0.148521862,,,,
49,01,64.85740605,30.14287664,77.92664979,0.151534955,,,,
50,01,62.95285515,21.90242582,77.92664979,0.149618746,,,,
51,01,61.47559201,50.89715228,77.92664979,0.150841609,,,,
52,01,56.62102745,21.90242582,71.54045616,0.147630228,,,,
53,01,64.1427094,23.51822674,77.92664979,31.28441001,,,,
54,01,61.47559201,23.51822674,78.02293214,0.15232837,,,,
55,01,56.39049175,23.51822674,77.92664979,0.156636476,,,,
56,02,66.06848531,21.90242582,77.92664979,0.120693629,,,,
57,02,66.06848531,22.89983362,77.92664979,0.1475848,,,,
58,02,61.47559201,23.51822674,77.92664979,0.148696807,,,,
59,02,66.06848531,23.51822674,77.92664979,0.151693551,,,,
60,02,64.1427094,52.51295321,77.92664979,0.144265049,,,,
61,01,66.06848531,22.98220268,77.92664979,18.51507645,,,,
62,01,62.95285515,23.51822674,77.92664979,0.149597211,,,,
63,01,64.85740605,28.82311352,77.92664979,0.152278278,,,,
64,01,64.85740605,23.51822674,77.92664979,0.142383357,,,,
65,01,61.47559201,52.51295321,77.92664979,0.149133602,,,,
66,02,66.06848531,21.90242582,77.92664979,0.148990474,,,,
67,02,64.85740605,21.90242582,77.92664979,0.14956905,,,,
68,02,64.85740605,38.26384105,77.92664979,0.129407808,,,,
69,02,64.1427094,44.6880266,77.92664979,0.151534944,,,,
70,02,66.06848531,22.89983362,77.92664979,0.156636476,,,,
71,02,59.5498161,35.82918265,77.92664979,0.14089019,,,,
72,02,66.06848531,22.89983362,77.92664979,0.147667184,,,,
73,02,61.21392075,37.14894577,77.92664979,18.465711,,,,
74,02,66.06848531,23.51822674,77.92664979,0.155623152,,,,
