cve,descrip
1,Casa única en el terreno
2,Casa que comparte terreno con otra(s)
3,Casa dúplex
4,Departamento en edificio
5,Vivienda en vecindad o cuartería
6,Vivienda en cuarto de azotea de un edificio
7,Local no construido para habitación
