cve,descrip
1,Cambiarse a una mejor zona o vivienda
2,Estar más cerca del trabajo
3,Necesita o quiere más espacio en la vivienda
4,Colonia o barrio inseguros
5,Vecinos molestos
6,No aceptan mascotas
7,Otro
8,Independizarse/Tener su casa propia
