cve,descrip
1,Fue herencia (la vivienda o el terreno)
2,Por inversión
3,Para aprovechar un crédito
4,"Es la que pudo comprar (con crédito, subsidio o recursos propios)"
5,"Por las características de la vivienda (tamaño, dimensión o tipo)"
6,Por las vías de acceso y cercanía a servicios
7,"Por motivos personales (independizarse, creció en ese lugar, cercanía a familia, etcétera)"
8,Seguridad de la zona
9,Otra
98,No responde
