vid,EST_DIS,UPM_DIS,FACTOR
63_5,2,63,217
64_1,3,64,213
64_2,3,64,213
64_3,3,64,213
64_4,3,64,213
64_5,3,64,213
65_1,2,65,229
65_2,2,65,229
65_3,2,65,229
65_4,2,65,229
65_5,2,65,229
66_1,2,66,221
66_2,2,66,221
66_3,2,66,221
66_4,2,66,221
66_5,2,66,221
67_1,2,67,200
67_2,2,67,200
67_3,2,67,200
67_5,2,67,200
68_1,2,68,225
68_2,2,68,225
68_3,2,68,225
68_4,2,68,225
68_5,2,68,225
69_1,2,69,192
69_2,2,69,192
69_3,2,69,192
69_4,2,69,192
69_5,2,69,192
70_1,1,70,172
70_3,1,70,172
70_5,1,70,172
71_1,2,71,192
71_2,2,71,192
71_3,2,71,192
71_4,2,71,192
71_5,2,71,192
72_1,1,72,203
72_2,1,72,203
72_3,1,72,203
72_4,1,72,203
72_5,1,72,203
73_1,2,73,226
73_2,2,73,226
73_3,2,73,226
73_4,2,73,226
73_5,2,73,226
74_2,2,74,239
74_3,2,74,239
74_5,2,74,239
75_1,3,75,221
75_2,3,75,221
75_3,3,75,221
75_4,3,75,221
76_1,3,76,233
76_2,3,76,233
76_3,3,76,233
76_4,3,76,233
76_5,3,76,233
77_1,2,77,212
77_2,2,77,212
77_3,2,77,212
77_4,2,77,212
77_5,2,77,212
78_1,2,78,235
78_2,2,78,235
78_3,2,78,235
78_4,2,78,235
79_1,1,79,215
79_2,1,79,215
79_3,1,79,215
79_4,1,79,215
79_5,1,79,215
80_1,2,80,178
80_2,2,80,178
80_3,2,80,178
80_4,2,80,178
80_5,2,80,178
81_1,2,81,239
81_2,2,81,239
81_3,2,81,239
81_4,2,81,239
81_5,2,81,239
82_1,2,82,242
82_2,2,82,242
82_3,2,82,242
83_1,3,83,227
83_3,3,83,227
83_4,3,83,227
84_1,2,84,207
84_2,2,84,207
84_3,2,84,207
84_5,2,84,207
85_1,2,85,197
85_2,2,85,197
85_3,2,85,197
85_4,2,85,197
85_5,2,85,197
86_1,1,86,138
86_2,1,86,138
86_3,1,86,138
86_4,1,86,138
86_5,1,86,138
87_1,3,87,223
87_2,3,87,223
87_3,3,87,223
87_4,3,87,223
87_5,3,87,223
88_2,3,88,239
88_3,3,88,239
88_4,3,88,239
88_5,3,88,239
89_1,3,89,231
89_2,3,89,231
89_3,3,89,231
89_4,3,89,231
89_5,3,89,231
90_2,3,90,210
90_3,3,90,210
90_4,3,90,210
90_5,3,90,210
91_1,3,91,210
91_3,3,91,210
91_4,3,91,210
91_5,3,91,210
92_1,1,92,246
92_2,1,92,246
92_3,1,92,246
92_4,1,92,246
92_5,1,92,246
93_1,1,93,230
93_2,1,93,230
93_3,1,93,230
93_4,1,93,230
93_5,1,93,230
94_1,2,94,222
94_3,2,94,222
94_5,2,94,222
95_1,2,95,224
95_2,2,95,224
95_3,2,95,224
95_4,2,95,224
95_5,2,95,224
96_1,2,96,214
96_2,2,96,214
96_3,2,96,214
96_4,2,96,214
96_5,2,96,214
97_1,2,97,211
97_2,2,97,211
97_3,2,97,211
97_5,2,97,211
98_1,2,98,240
98_2,2,98,240
98_3,2,98,240
98_4,2,98,240
98_5,2,98,240
99_1,2,99,225
99_2,2,99,225
99_3,2,99,225
99_4,2,99,225
99_5,2,99,225
100_1,2,100,227
100_2,2,100,227
100_3,2,100,227
100_4,2,100,227
101_1,1,101,190
101_2,1,101,190
101_3,1,101,190
101_4,1,101,190
101_5,1,101,190
102_1,1,102,217
102_2,1,102,217
102_3,1,102,217
102_4,1,102,217
102_5,1,102,217
103_1,1,103,210
103_2,1,103,210
103_3,1,103,210
103_4,1,103,210
103_5,1,103,210
104_1,1,104,112
104_2,1,104,112
104_3,1,104,112
104_4,1,104,112
104_5,1,104,112
105_1,1,105,177
105_2,1,105,177
105_3,1,105,177
105_4,1,105,177
105_5,1,105,177
106_1,1,106,203
106_2,1,106,203
106_4,1,106,203
106_5,1,106,203
107_2,1,107,227
107_4,1,107,227
107_5,1,107,227
108_1,2,108,216
108_2,2,108,216
108_3,2,108,216
108_4,2,108,216
108_5,2,108,216
109_2,3,109,198
109_4,3,109,198
109_5,3,109,198
110_2,2,110,213
110_3,2,110,213
110_4,2,110,213
110_5,2,110,213
111_2,2,111,239
111_3,2,111,239
111_4,2,111,239
111_5,2,111,239
112_1,2,112,184
112_3,2,112,184
112_4,2,112,184
113_1,2,113,199
113_2,2,113,199
113_3,2,113,199
113_4,2,113,199
113_5,2,113,199
114_1,2,114,207
114_2,2,114,207
114_3,2,114,207
114_4,2,114,207
114_5,2,114,207
115_1,2,115,190
115_2,2,115,190
115_3,2,115,190
115_4,2,115,190
115_5,2,115,190
116_1,2,116,209
116_2,2,116,209
116_3,2,116,209
116_4,2,116,209
117_1,1,117,219
117_3,1,117,219
117_4,1,117,219
117_5,1,117,219
118_1,1,118,211
118_2,1,118,211
118_5,1,118,211
119_1,3,119,216
119_2,3,119,216
119_3,3,119,216
119_4,3,119,216
119_5,3,119,216
120_1,3,120,259
120_2,3,120,259
120_3,3,120,259
120_4,3,120,259
120_5,3,120,259
121_1,2,121,223
121_2,2,121,223
121_4,2,121,223
