vid,EST_DIS,UPM_DIS,FACTOR
2580_2,136,2580,2010
2580_3,136,2580,2010
2580_4,136,2580,2010
2581_1,136,2581,1493
2581_2,136,2581,1493
2581_3,136,2581,1493
2581_5,136,2581,1493
2582_1,136,2582,1909
2582_2,136,2582,1909
2582_3,136,2582,1909
2582_4,136,2582,1909
2582_5,136,2582,1909
2583_2,136,2583,2295
2583_3,136,2583,2295
2583_4,136,2583,2295
2583_5,136,2583,2295
2584_1,138,2584,949
2584_2,138,2584,949
2584_3,138,2584,949
2584_4,138,2584,949
2584_5,138,2584,949
2585_2,138,2585,1657
2585_3,138,2585,1657
2585_4,138,2585,1657
2585_5,138,2585,1657
2586_1,138,2586,1338
2586_2,138,2586,1338
2586_3,138,2586,1338
2586_4,138,2586,1338
2586_5,138,2586,1338
2587_1,138,2587,1186
2587_2,138,2587,1186
2587_3,138,2587,1186
2587_4,138,2587,1186
2587_5,138,2587,1186
2588_1,138,2588,1760
2588_2,138,2588,1760
2588_3,138,2588,1760
2588_4,138,2588,1760
2588_5,138,2588,1760
2589_1,138,2589,1624
2589_2,138,2589,1624
2589_3,138,2589,1624
2589_4,138,2589,1624
2589_5,138,2589,1624
2590_1,139,2590,1994
2590_3,139,2590,1994
2590_4,139,2590,1994
2590_5,139,2590,1994
2591_1,139,2591,2058
2591_2,139,2591,2058
2591_3,139,2591,2058
2591_4,139,2591,2058
2591_5,139,2591,2058
2592_1,139,2592,1795
2592_2,139,2592,1795
2592_3,139,2592,1795
2592_4,139,2592,1795
2592_5,139,2592,1795
2593_1,136,2593,1611
2593_2,136,2593,1611
2593_3,136,2593,1611
2593_4,136,2593,1611
2593_5,136,2593,1611
2594_1,136,2594,2167
2594_4,136,2594,2167
2595_1,135,2595,1576
2595_3,135,2595,1576
2595_4,135,2595,1576
2595_5,135,2595,1576
2596_1,137,2596,1932
2596_2,137,2596,1932
2596_3,137,2596,1932
2596_4,137,2596,1932
2596_5,137,2596,1932
2597_1,136,2597,1880
2597_5,136,2597,1880
2598_1,135,2598,1370
2598_2,135,2598,1370
2598_3,135,2598,1370
2598_4,135,2598,1370
2598_5,135,2598,1370
2599_1,136,2599,2509
2599_2,136,2599,2509
2599_3,136,2599,2509
2599_4,136,2599,2509
2599_5,136,2599,2509
2600_3,136,2600,1697
2600_4,136,2600,1697
2601_2,136,2601,2265
2601_3,136,2601,2265
2601_4,136,2601,2265
2601_5,136,2601,2265
2602_1,136,2602,2066
2602_2,136,2602,2066
2602_3,136,2602,2066
2602_4,136,2602,2066
2602_5,136,2602,2066
2603_1,140,2603,1763
2603_2,140,2603,1763
2603_3,140,2603,1763
2603_5,140,2603,1763
2603_6,140,2603,1763
2603_7,140,2603,1763
2603_8,140,2603,1763
2603_9,140,2603,1763
2603_10,140,2603,1763
2604_1,140,2604,729
2604_3,140,2604,729
2604_4,140,2604,729
2604_5,140,2604,729
2604_6,140,2604,729
2604_7,140,2604,729
2604_8,140,2604,729
2604_9,140,2604,729
2604_10,140,2604,729
2605_1,136,2605,16
2605_2,136,2605,16
2605_3,136,2605,16
2605_4,136,2605,16
2605_5,136,2605,16
2606_1,136,2606,21
2606_2,136,2606,21
2606_4,136,2606,21
2606_5,136,2606,21
2607_1,136,2607,7
2607_2,136,2607,7
2607_3,136,2607,7
2607_4,136,2607,7
2607_5,136,2607,7
2608_1,136,2608,7
2608_2,136,2608,7
2608_4,136,2608,7
2608_5,136,2608,7
2609_1,136,2609,37
2609_2,136,2609,37
2609_3,136,2609,37
2609_4,136,2609,37
2609_5,136,2609,37
2609_7,136,2609,37
2609_8,136,2609,37
2609_9,136,2609,37
2609_10,136,2609,37
2610_1,136,2610,8
2610_2,136,2610,8
2610_3,136,2610,8
2610_4,136,2610,8
2610_5,136,2610,8
2611_1,136,2611,8
2611_2,136,2611,8
2611_3,136,2611,8
2611_4,136,2611,8
2611_5,136,2611,8
2612_2,136,2612,8
2612_3,136,2612,8
2612_4,136,2612,8
2612_5,136,2612,8
2613_1,136,2613,26
2613_2,136,2613,26
2613_3,136,2613,26
2613_4,136,2613,26
2613_5,136,2613,26
2613_6,136,2613,26
2613_7,136,2613,26
2613_8,136,2613,26
2613_10,136,2613,26
2614_1,136,2614,11
2614_2,136,2614,11
2614_3,136,2614,11
2614_5,136,2614,11
2615_1,136,2615,18
2615_2,136,2615,18
2615_3,136,2615,18
2615_4,136,2615,18
2615_5,136,2615,18
2616_1,136,2616,7
2616_3,136,2616,7
2616_4,136,2616,7
2616_5,136,2616,7
2617_1,136,2617,19
2617_2,136,2617,19
2617_3,136,2617,19
2617_4,136,2617,19
2617_5,136,2617,19
2618_1,136,2618,21
2618_2,136,2618,21
2618_3,136,2618,21
2618_4,136,2618,21
2618_5,136,2618,21
2619_1,136,2619,11
2619_2,136,2619,11
2619_3,136,2619,11
2619_4,136,2619,11
2619_5,136,2619,11
2619_6,136,2619,11
2619_7,136,2619,11
2619_8,136,2619,11
2619_9,136,2619,11
2619_10,136,2619,11
2620_1,136,2620,4
2620_2,136,2620,4
2620_3,136,2620,4
2620_4,136,2620,4
2620_5,136,2620,4
2621_1,136,2621,10
2621_2,136,2621,10
2621_3,136,2621,10
2621_4,136,2621,10
2621_5,136,2621,10
2622_1,143,2622,265
2622_2,143,2622,265
2622_3,143,2622,265
2622_4,143,2622,265
2622_5,143,2622,265
2623_2,143,2623,261
2623_3,143,2623,261
2623_5,143,2623,261
2624_1,144,2624,343
2624_2,144,2624,343
2624_3,144,2624,343
2624_4,144,2624,343
2624_5,144,2624,343
2625_1,144,2625,397
2625_2,144,2625,397
2625_3,144,2625,397
2625_4,144,2625,397
2625_5,144,2625,397
2626_1,143,2626,277
2626_2,143,2626,277
2626_4,143,2626,277
2626_5,143,2626,277
2627_1,143,2627,188
2627_3,143,2627,188
2627_5,143,2627,188
2628_2,143,2628,290
2628_3,143,2628,290
2628_4,143,2628,290
2628_5,143,2628,290
2629_1,144,2629,349
2629_2,144,2629,349
2629_3,144,2629,349
2629_5,144,2629,349
2630_3,143,2630,165
2630_4,143,2630,165
2630_5,143,2630,165
2631_1,143,2631,253
2631_3,143,2631,253
2631_5,143,2631,253
2632_1,143,2632,257
2632_2,143,2632,257
2632_3,143,2632,257
2632_5,143,2632,257
2633_1,143,2633,253
2633_3,143,2633,253
2633_4,143,2633,253
2633_5,143,2633,253
2634_1,142,2634,282
2634_2,142,2634,282
2634_3,142,2634,282
2634_5,142,2634,282
2635_1,142,2635,240
2635_2,142,2635,240
2635_4,142,2635,240
2635_5,142,2635,240
2636_1,143,2636,294
2636_4,143,2636,294
2637_2,143,2637,303
2637_3,143,2637,303
2637_4,143,2637,303
2637_5,143,2637,303
2638_1,144,2638,729
2638_2,144,2638,729
2638_5,144,2638,729
2639_1,144,2639,537
2639_2,144,2639,537
2639_3,144,2639,537
2639_4,144,2639,537
2639_5,144,2639,537
2640_2,142,2640,260
2640_3,142,2640,260
2641_2,142,2641,274
2641_3,142,2641,274
2641_4,142,2641,274
2641_5,142,2641,274
2642_1,142,2642,272
2642_2,142,2642,272
2642_3,142,2642,272
2642_4,142,2642,272
2642_5,142,2642,272
2643_1,143,2643,250
2643_3,143,2643,250
2643_4,143,2643,250
2643_5,143,2643,250
2644_2,142,2644,265
2644_3,142,2644,265
2645_2,143,2645,277
2645_3,143,2645,277
2645_4,143,2645,277
2645_5,143,2645,277
2646_1,142,2646,323
2646_2,142,2646,323
2646_3,142,2646,323
2646_5,142,2646,323
2647_1,143,2647,287
2647_2,143,2647,287
2647_5,143,2647,287
2648_1,144,2648,354
2648_3,144,2648,354
2648_4,144,2648,354
2648_5,144,2648,354
2649_2,142,2649,265
2649_3,142,2649,265
2649_4,142,2649,265
2649_5,142,2649,265
2650_1,143,2650,253
2650_3,143,2650,253
2650_4,143,2650,253
2650_5,143,2650,253
2651_3,143,2651,282
2651_4,143,2651,282
2651_5,143,2651,282
2652_1,143,2652,258
2652_2,143,2652,258
2652_3,143,2652,258
2652_4,143,2652,258
2652_5,143,2652,258
2653_1,143,2653,264
2653_2,143,2653,264
2653_3,143,2653,264
2653_4,143,2653,264
2653_5,143,2653,264
2654_1,143,2654,257
2654_2,143,2654,257
2654_4,143,2654,257
2654_5,143,2654,257
2655_2,142,2655,241
2655_3,142,2655,241
2655_4,142,2655,241
2655_5,142,2655,241
2656_1,143,2656,244
2656_2,143,2656,244
2656_3,143,2656,244
2656_4,143,2656,244
2656_5,143,2656,244
2657_1,143,2657,271
2657_2,143,2657,271
2657_3,143,2657,271
2657_5,143,2657,271
2658_1,143,2658,271
2658_2,143,2658,271
2658_3,143,2658,271
2658_4,143,2658,271
2658_5,143,2658,271
2659_1,142,2659,260
2659_2,142,2659,260
2659_3,142,2659,260
2659_5,142,2659,260
2660_1,142,2660,297
2660_2,142,2660,297
2660_3,142,2660,297
2660_4,142,2660,297
2660_5,142,2660,297
2661_1,143,2661,239
2661_2,143,2661,239
2661_3,143,2661,239
2661_4,143,2661,239
2661_5,143,2661,239
2662_1,143,2662,277
2662_2,143,2662,277
2662_3,143,2662,277
2662_4,143,2662,277
2662_5,143,2662,277
2663_1,143,2663,289
2663_2,143,2663,289
2663_3,143,2663,289
2663_4,143,2663,289
2664_4,143,2664,288
2664_5,143,2664,288
2665_1,143,2665,260
2665_2,143,2665,260
2665_3,143,2665,260
2665_5,143,2665,260
2666_1,143,2666,327
2666_3,143,2666,327
2666_5,143,2666,327
2667_1,143,2667,282
2667_2,143,2667,282
2667_3,143,2667,282
2667_4,143,2667,282
2667_5,143,2667,282
2668_1,142,2668,317
2668_4,142,2668,317
2668_5,142,2668,317
2669_4,143,2669,252
2669_5,143,2669,252
2670_2,143,2670,296
2670_4,143,2670,296
2670_5,143,2670,296
2671_1,142,2671,331
2671_2,142,2671,331
2671_3,142,2671,331
2671_4,142,2671,331
2671_5,142,2671,331
2672_1,143,2672,270
2672_2,143,2672,270
2672_3,143,2672,270
2672_4,143,2672,270
2672_5,143,2672,270
2673_1,143,2673,270
2673_2,143,2673,270
2673_3,143,2673,270
2673_4,143,2673,270
2673_5,143,2673,270
2674_1,143,2674,285
2674_2,143,2674,285
2674_4,143,2674,285
2674_5,143,2674,285
2675_1,143,2675,289
2675_2,143,2675,289
2675_3,143,2675,289
2675_4,143,2675,289
2675_5,143,2675,289
2676_1,143,2676,267
2676_2,143,2676,267
2676_3,143,2676,267
2676_4,143,2676,267
2677_1,142,2677,297
2677_2,142,2677,297
2677_3,142,2677,297
2677_4,142,2677,297
2678_1,142,2678,292
2678_2,142,2678,292
2678_3,142,2678,292
2678_4,142,2678,292
2678_5,142,2678,292
2679_1,144,2679,340
2680_1,142,2680,295
2680_2,142,2680,295
2680_4,142,2680,295
2680_5,142,2680,295
2681_1,142,2681,318
2681_2,142,2681,318
2681_3,142,2681,318
2681_4,142,2681,318
2681_5,142,2681,318
2682_1,142,2682,280
2682_2,142,2682,280
2682_3,142,2682,280
2682_4,142,2682,280
2682_5,142,2682,280
2683_2,143,2683,275
2683_3,143,2683,275
2683_5,143,2683,275
2684_1,142,2684,402
2684_2,142,2684,402
2684_3,142,2684,402
2684_4,142,2684,402
2684_5,142,2684,402
2685_1,142,2685,357
2685_2,142,2685,357
2685_3,142,2685,357
2685_4,142,2685,357
2685_5,142,2685,357
2686_3,144,2686,357
2686_4,144,2686,357
2686_5,144,2686,357
2687_1,143,2687,358
2687_2,143,2687,358
2687_3,143,2687,358
2687_4,143,2687,358
2687_5,143,2687,358
2688_1,143,2688,298
2688_2,143,2688,298
2688_3,143,2688,298
2688_4,143,2688,298
2688_5,143,2688,298
2689_1,142,2689,290
2689_2,142,2689,290
2689_3,142,2689,290
2689_4,142,2689,290
2690_1,143,2690,272
2690_2,143,2690,272
2690_3,143,2690,272
2690_5,143,2690,272
2691_2,143,2691,275
2691_3,143,2691,275
2691_4,143,2691,275
2691_5,143,2691,275
2692_1,143,2692,266
2692_2,143,2692,266
2692_3,143,2692,266
2692_5,143,2692,266
2693_1,143,2693,297
2693_2,143,2693,297
2693_3,143,2693,297
2693_4,143,2693,297
2694_2,142,2694,305
2694_4,142,2694,305
2694_5,142,2694,305
2695_1,142,2695,261
2695_2,142,2695,261
2695_3,142,2695,261
2695_4,142,2695,261
2695_5,142,2695,261
2696_1,142,2696,288
2696_2,142,2696,288
2696_3,142,2696,288
2696_4,142,2696,288
2696_5,142,2696,288
2697_1,143,2697,285
2697_2,143,2697,285
2697_3,143,2697,285
2697_4,143,2697,285
2697_5,143,2697,285
2698_1,143,2698,307
2698_2,143,2698,307
2698_3,143,2698,307
2698_4,143,2698,307
2698_5,143,2698,307
2699_1,143,2699,336
2699_2,143,2699,336
2699_4,143,2699,336
2699_5,143,2699,336
2700_1,143,2700,395
2700_3,143,2700,395
2700_4,143,2700,395
2700_5,143,2700,395
2701_1,142,2701,309
2701_2,142,2701,309
2701_3,142,2701,309
2701_4,142,2701,309
2701_5,142,2701,309
2702_1,142,2702,316
2702_2,142,2702,316
2702_3,142,2702,316
2702_4,142,2702,316
2702_5,142,2702,316
2703_1,143,2703,356
2703_2,143,2703,356
2703_3,143,2703,356
2703_4,143,2703,356
2703_5,143,2703,356
2704_1,142,2704,301
2704_2,142,2704,301
2704_3,142,2704,301
2704_4,142,2704,301
2704_5,142,2704,301
2705_1,142,2705,341
2705_3,142,2705,341
2705_5,142,2705,341
2706_1,142,2706,291
2706_3,142,2706,291
2706_4,142,2706,291
2706_5,142,2706,291
2707_1,143,2707,321
2707_2,143,2707,321
2707_4,143,2707,321
2707_5,143,2707,321
2708_1,142,2708,338
2708_2,142,2708,338
2708_3,142,2708,338
2708_4,142,2708,338
2708_5,142,2708,338
2709_1,142,2709,373
2709_2,142,2709,373
2709_3,142,2709,373
2709_4,142,2709,373
2710_1,143,2710,282
2710_2,143,2710,282
2710_3,143,2710,282
2710_4,143,2710,282
2710_5,143,2710,282
2711_1,142,2711,246
2711_3,142,2711,246
2711_4,142,2711,246
2711_5,142,2711,246
2712_1,142,2712,277
2712_2,142,2712,277
2712_3,142,2712,277
2712_4,142,2712,277
2712_5,142,2712,277
2713_1,142,2713,261
2713_3,142,2713,261
2713_4,142,2713,261
2713_5,142,2713,261
2714_1,142,2714,441
2714_3,142,2714,441
2714_4,142,2714,441
2714_5,142,2714,441
2715_1,143,2715,266
2715_3,143,2715,266
2715_4,143,2715,266
2715_5,143,2715,266
2716_1,143,2716,267
2716_2,143,2716,267
2716_4,143,2716,267
2716_5,143,2716,267
2717_1,144,2717,348
2717_2,144,2717,348
2717_3,144,2717,348
2717_5,144,2717,348
2718_1,142,2718,266
2718_2,142,2718,266
2718_3,142,2718,266
2718_4,142,2718,266
2718_5,142,2718,266
2719_2,144,2719,396
2719_3,144,2719,396
2720_1,143,2720,350
2720_2,143,2720,350
2720_3,143,2720,350
2721_2,144,2721,613
2721_3,144,2721,613
2721_4,144,2721,613
2721_5,144,2721,613
2722_1,144,2722,647
2722_4,144,2722,647
2722_5,144,2722,647
2723_3,144,2723,311
2723_4,144,2723,311
2723_5,144,2723,311
2724_2,144,2724,389
2724_3,144,2724,389
2724_4,144,2724,389
2724_5,144,2724,389
2725_1,144,2725,357
2725_2,144,2725,357
2725_3,144,2725,357
2725_4,144,2725,357
2725_5,144,2725,357
2726_1,144,2726,379
2726_2,144,2726,379
2726_3,144,2726,379
2727_1,144,2727,441
2727_3,144,2727,441
2727_4,144,2727,441
2727_5,144,2727,441
2728_1,143,2728,276
2728_2,143,2728,276
2728_4,143,2728,276
2728_5,143,2728,276
2729_1,143,2729,277
2729_2,143,2729,277
2729_4,143,2729,277
2729_5,143,2729,277
2730_1,142,2730,285
2730_2,142,2730,285
2730_3,142,2730,285
2730_4,142,2730,285
2730_5,142,2730,285
2731_1,142,2731,341
2731_2,142,2731,341
2731_3,142,2731,341
2731_4,142,2731,341
2731_5,142,2731,341
2732_1,144,2732,386
2732_2,144,2732,386
2732_4,144,2732,386
2732_5,144,2732,386
2733_1,143,2733,266
2733_2,143,2733,266
2733_3,143,2733,266
2733_4,143,2733,266
2733_5,143,2733,266
2734_1,143,2734,331
2734_3,143,2734,331
2734_5,143,2734,331
2735_1,144,2735,313
2735_2,144,2735,313
2735_3,144,2735,313
2735_4,144,2735,313
2735_5,144,2735,313
2736_1,143,2736,266
2736_2,143,2736,266
2736_3,143,2736,266
2736_4,143,2736,266
2737_1,142,2737,282
2737_2,142,2737,282
2737_4,142,2737,282
2737_5,142,2737,282
2738_1,144,2738,395
2738_2,144,2738,395
2738_3,144,2738,395
2738_4,144,2738,395
2738_5,144,2738,395
2739_1,143,2739,392
2739_2,143,2739,392
2739_3,143,2739,392
2739_4,143,2739,392
2739_5,143,2739,392
2740_1,141,2740,628
2740_2,141,2740,628
2740_3,141,2740,628
2740_4,141,2740,628
2740_5,141,2740,628
2741_2,141,2741,1144
2741_3,141,2741,1144
2741_5,141,2741,1144
2742_2,145,2742,271
2742_3,145,2742,271
2742_4,145,2742,271
2742_5,145,2742,271
2743_1,146,2743,244
2743_2,146,2743,244
2743_3,146,2743,244
2743_4,146,2743,244
2744_1,146,2744,265
2744_2,146,2744,265
2744_3,146,2744,265
2744_4,146,2744,265
2744_5,146,2744,265
2745_1,146,2745,275
2745_2,146,2745,275
2745_3,146,2745,275
2745_4,146,2745,275
2745_5,146,2745,275
2746_1,145,2746,223
2746_2,145,2746,223
2746_3,145,2746,223
2746_4,145,2746,223
2746_5,145,2746,223
2747_1,145,2747,195
2747_2,145,2747,195
2747_3,145,2747,195
2747_4,145,2747,195
2747_5,145,2747,195
2748_1,145,2748,300
2748_2,145,2748,300
2748_3,145,2748,300
2748_4,145,2748,300
2748_5,145,2748,300
2749_1,146,2749,280
2749_2,146,2749,280
2749_3,146,2749,280
2749_4,146,2749,280
2749_5,146,2749,280
2750_1,146,2750,213
2750_2,146,2750,213
2750_3,146,2750,213
2750_4,146,2750,213
2750_5,146,2750,213
2751_2,146,2751,234
2751_3,146,2751,234
2751_4,146,2751,234
2751_5,146,2751,234
2752_1,146,2752,289
2752_2,146,2752,289
2752_3,146,2752,289
2752_5,146,2752,289
2753_1,146,2753,280
2753_2,146,2753,280
2753_3,146,2753,280
2753_4,146,2753,280
2753_5,146,2753,280
2754_1,145,2754,261
2754_2,145,2754,261
2754_3,145,2754,261
2754_4,145,2754,261
2755_1,145,2755,323
2755_2,145,2755,323
2755_3,145,2755,323
2755_4,145,2755,323
2756_1,146,2756,267
2756_2,146,2756,267
2756_3,146,2756,267
2756_4,146,2756,267
2757_1,146,2757,74
2757_2,146,2757,74
2757_3,146,2757,74
2757_4,146,2757,74
2757_5,146,2757,74
2758_1,146,2758,250
2758_2,146,2758,250
2758_3,146,2758,250
2758_4,146,2758,250
2758_5,146,2758,250
2759_2,146,2759,265
2759_3,146,2759,265
2759_4,146,2759,265
2759_5,146,2759,265
2760_1,146,2760,235
2760_2,146,2760,235
2760_3,146,2760,235
2760_4,146,2760,235
2760_5,146,2760,235
2761_1,145,2761,257
2761_2,145,2761,257
2761_3,145,2761,257
2761_4,145,2761,257
2761_5,145,2761,257
2762_1,145,2762,283
2762_2,145,2762,283
2762_3,145,2762,283
2762_4,145,2762,283
2762_5,145,2762,283
2763_1,145,2763,205
2763_2,145,2763,205
2763_3,145,2763,205
2763_4,145,2763,205
2763_5,145,2763,205
2764_2,146,2764,255
2764_3,146,2764,255
2764_5,146,2764,255
2765_1,147,2765,346
2765_3,147,2765,346
2765_4,147,2765,346
2765_5,147,2765,346
2766_1,146,2766,278
2766_2,146,2766,278
2766_3,146,2766,278
2766_4,146,2766,278
2766_5,146,2766,278
2767_1,145,2767,305
2767_2,145,2767,305
2767_3,145,2767,305
2767_4,145,2767,305
2767_5,145,2767,305
2768_1,145,2768,262
2768_2,145,2768,262
2768_3,145,2768,262
2768_4,145,2768,262
2768_5,145,2768,262
2769_1,146,2769,256
2769_2,146,2769,256
2769_3,146,2769,256
2770_1,145,2770,280
2770_2,145,2770,280
2770_3,145,2770,280
2770_4,145,2770,280
2770_5,145,2770,280
2771_1,147,2771,337
2771_2,147,2771,337
2771_3,147,2771,337
2771_5,147,2771,337
2772_1,145,2772,266
2772_2,145,2772,266
2772_3,145,2772,266
2772_4,145,2772,266
2772_5,145,2772,266
2773_1,146,2773,283
2773_2,146,2773,283
2773_3,146,2773,283
2773_4,146,2773,283
2773_5,146,2773,283
2774_2,146,2774,251
2774_3,146,2774,251
2774_4,146,2774,251
2775_1,146,2775,271
2775_2,146,2775,271
2775_3,146,2775,271
2775_4,146,2775,271
2775_5,146,2775,271
2776_1,145,2776,302
2776_2,145,2776,302
2776_3,145,2776,302
2776_4,145,2776,302
2776_5,145,2776,302
2777_1,145,2777,255
2777_2,145,2777,255
2777_3,145,2777,255
2777_5,145,2777,255
2778_1,145,2778,279
2778_2,145,2778,279
2778_3,145,2778,279
2778_4,145,2778,279
2778_5,145,2778,279
2779_3,146,2779,240
2779_5,146,2779,240
2780_1,147,2780,306
2781_2,146,2781,262
2781_3,146,2781,262
2781_4,146,2781,262
2781_5,146,2781,262
2782_1,147,2782,296
2782_2,147,2782,296
2782_3,147,2782,296
2782_4,147,2782,296
2782_5,147,2782,296
2783_2,147,2783,314
2783_3,147,2783,314
2783_4,147,2783,314
2784_1,146,2784,294
2784_2,146,2784,294
2784_3,146,2784,294
2784_4,146,2784,294
2784_5,146,2784,294
2785_1,146,2785,239
2785_2,146,2785,239
2785_3,146,2785,239
2785_4,146,2785,239
2785_5,146,2785,239
2786_1,146,2786,275
2786_2,146,2786,275
2786_3,146,2786,275
2786_4,146,2786,275
2786_5,146,2786,275
2787_1,145,2787,333
2787_2,145,2787,333
2787_3,145,2787,333
2787_4,145,2787,333
2787_5,145,2787,333
2788_1,145,2788,241
2788_2,145,2788,241
2788_3,145,2788,241
2788_4,145,2788,241
2788_5,145,2788,241
2789_1,145,2789,226
2789_3,145,2789,226
2789_4,145,2789,226
2790_1,145,2790,236
2790_2,145,2790,236
2790_3,145,2790,236
2790_5,145,2790,236
2791_2,146,2791,246
2791_3,146,2791,246
2791_4,146,2791,246
2791_5,146,2791,246
2792_1,145,2792,259
2792_2,145,2792,259
2792_3,145,2792,259
2792_4,145,2792,259
2792_5,145,2792,259
2793_2,146,2793,258
2793_3,146,2793,258
2793_5,146,2793,258
2794_1,146,2794,261
2794_2,146,2794,261
2794_3,146,2794,261
2794_4,146,2794,261
2794_5,146,2794,261
2795_1,145,2795,252
2795_2,145,2795,252
2795_3,145,2795,252
2795_4,145,2795,252
2796_1,146,2796,249
2796_2,146,2796,249
2796_3,146,2796,249
2796_4,146,2796,249
2796_5,146,2796,249
2797_2,145,2797,208
2797_4,145,2797,208
2797_5,145,2797,208
2798_1,145,2798,227
2798_2,145,2798,227
2798_3,145,2798,227
2798_4,145,2798,227
2799_1,145,2799,193
2799_2,145,2799,193
2799_3,145,2799,193
2799_4,145,2799,193
2799_5,145,2799,193
2800_1,145,2800,215
2800_2,145,2800,215
2800_3,145,2800,215
2800_4,145,2800,215
2801_1,147,2801,340
2801_2,147,2801,340
2801_3,147,2801,340
2802_1,147,2802,277
2802_3,147,2802,277
2802_4,147,2802,277
2802_5,147,2802,277
2803_1,145,2803,247
2803_2,145,2803,247
2803_3,145,2803,247
2803_4,145,2803,247
2803_5,145,2803,247
2804_3,145,2804,253
2804_4,145,2804,253
2804_5,145,2804,253
2805_1,150,2805,234
2805_2,150,2805,234
2805_4,150,2805,234
2805_5,150,2805,234
2805_7,150,2805,234
2805_8,150,2805,234
2805_9,150,2805,234
2805_10,150,2805,234
2805_11,150,2805,234
2805_12,150,2805,234
2805_13,150,2805,234
2805_14,150,2805,234
2805_15,150,2805,234
2805_16,150,2805,234
2805_17,150,2805,234
2805_18,150,2805,234
2805_19,150,2805,234
2805_20,150,2805,234
2806_1,150,2806,265
2806_2,150,2806,265
2806_3,150,2806,265
2806_4,150,2806,265
2806_5,150,2806,265
2806_6,150,2806,265
2806_7,150,2806,265
2806_8,150,2806,265
2806_9,150,2806,265
2806_10,150,2806,265
2806_11,150,2806,265
2806_13,150,2806,265
2806_14,150,2806,265
2806_15,150,2806,265
2806_16,150,2806,265
2806_17,150,2806,265
2806_18,150,2806,265
2806_20,150,2806,265
2807_1,148,2807,350
2807_2,148,2807,350
2807_3,148,2807,350
2807_4,148,2807,350
2807_5,148,2807,350
2808_2,148,2808,297
2808_4,148,2808,297
2809_1,148,2809,283
2809_3,148,2809,283
2810_1,148,2810,327
2810_3,148,2810,327
2810_4,148,2810,327
2810_5,148,2810,327
2811_1,148,2811,302
2811_3,148,2811,302
2811_4,148,2811,302
2811_5,148,2811,302
2812_1,148,2812,352
2812_3,148,2812,352
2812_4,148,2812,352
2812_5,148,2812,352
2813_1,148,2813,317
2813_2,148,2813,317
2813_3,148,2813,317
2813_4,148,2813,317
2813_5,148,2813,317
2814_1,148,2814,333
2814_2,148,2814,333
2814_3,148,2814,333
2814_4,148,2814,333
2814_5,148,2814,333
2815_1,148,2815,296
2815_2,148,2815,296
2815_3,148,2815,296
2815_4,148,2815,296
2815_5,148,2815,296
2816_1,148,2816,370
2816_2,148,2816,370
2816_3,148,2816,370
2816_4,148,2816,370
2817_1,148,2817,360
2817_2,148,2817,360
2817_3,148,2817,360
2817_4,148,2817,360
2818_1,148,2818,265
2818_2,148,2818,265
2818_3,148,2818,265
2818_4,148,2818,265
2818_5,148,2818,265
2819_1,148,2819,324
2819_2,148,2819,324
2819_3,148,2819,324
2819_4,148,2819,324
2819_5,148,2819,324
2820_1,148,2820,343
2820_2,148,2820,343
2820_3,148,2820,343
2820_4,148,2820,343
2821_1,148,2821,307
2821_2,148,2821,307
2821_3,148,2821,307
2821_4,148,2821,307
2822_1,148,2822,249
2822_2,148,2822,249
2822_3,148,2822,249
2822_4,148,2822,249
2822_5,148,2822,249
2823_1,148,2823,346
2823_2,148,2823,346
2823_4,148,2823,346
2824_1,148,2824,227
2824_3,148,2824,227
2824_4,148,2824,227
2824_5,148,2824,227
2825_1,148,2825,275
2825_2,148,2825,275
2825_3,148,2825,275
2825_4,148,2825,275
2825_5,148,2825,275
2826_1,150,2826,278
2826_2,150,2826,278
2826_3,150,2826,278
2826_4,150,2826,278
2826_6,150,2826,278
2826_7,150,2826,278
2826_8,150,2826,278
2826_9,150,2826,278
2826_10,150,2826,278
2826_11,150,2826,278
2826_12,150,2826,278
2826_13,150,2826,278
2826_14,150,2826,278
2826_15,150,2826,278
2826_16,150,2826,278
2826_18,150,2826,278
2826_19,150,2826,278
2826_20,150,2826,278
2827_1,150,2827,238
2827_3,150,2827,238
2827_4,150,2827,238
2827_5,150,2827,238
2827_6,150,2827,238
2827_8,150,2827,238
2827_10,150,2827,238
2827_11,150,2827,238
2827_13,150,2827,238
2827_15,150,2827,238
2827_16,150,2827,238
2827_17,150,2827,238
2827_18,150,2827,238
2827_19,150,2827,238
2827_20,150,2827,238
2828_1,150,2828,241
2828_2,150,2828,241
2828_3,150,2828,241
2828_4,150,2828,241
2828_5,150,2828,241
2828_6,150,2828,241
2828_7,150,2828,241
2828_8,150,2828,241
2828_9,150,2828,241
2828_10,150,2828,241
2828_11,150,2828,241
2828_12,150,2828,241
2828_13,150,2828,241
2828_14,150,2828,241
2828_16,150,2828,241
2828_17,150,2828,241
2828_18,150,2828,241
2828_19,150,2828,241
2828_20,150,2828,241
2829_1,151,2829,255
2829_3,151,2829,255
2829_4,151,2829,255
2829_5,151,2829,255
2829_6,151,2829,255
2829_8,151,2829,255
2829_9,151,2829,255
2829_11,151,2829,255
2829_12,151,2829,255
2829_13,151,2829,255
2829_14,151,2829,255
2829_16,151,2829,255
2829_17,151,2829,255
2829_18,151,2829,255
2829_19,151,2829,255
2829_20,151,2829,255
2830_1,151,2830,370
2830_2,151,2830,370
