cve,descrip
1,Material de desecho
2,Lámina de cartón
3,Lámina metálica
4,Lámina de asbesto
5,Lámina de fibrocemento
6,Palma o paja
7,Madera o tejamanil
8,Terrado con viguería
9,Teja
10,Losa de concreto o viguetas con bovedilla
