cve,descrip
1,Material de desecho
2,Lámina de cartón
3,Lámina de asbesto o metálica
4,"Carrizo, bambú o palma"
5,Embarro o bajareque
6,Madera
7,Adobe
8,"Tabique, ladrillo, block, piedra, cantera, cemento o concreto"
