cve,descrip
1,Se compró nueva
2,Se compró usada
3,Se mandó construir con un albañil o trabajador por su cuenta
4,Se mandó construir con un ingeniero o arquitecto
5,Se mandó hacer con una empresa constructora
6,La construyó alguna persona de este hogar
7,Se obtuvo de otra manera
